create_time,destination_id,exit_code,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.assume_sorted,parameters.chromInfo,parameters.dbkey,parameters.deviations,parameters.hist_width,parameters.inputFile,parameters.inputFile.values,parameters.metric_accumulation_level,parameters.min_pct,parameters.reference_source.__current_case__,parameters.reference_source.ref_file,parameters.reference_source.ref_file.__class__,parameters.reference_source.ref_file.value,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,parameters.validation_stringency,ref_file,ref_file_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-02-29 16:08:49.117703,slurm_normal_16gb,,main_w2_handler0,2612600,11968862,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1624872490,bam,6200911.roundup,slurm,,corral-repl,,,"""True""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""10.0""","""""",23533393,,"[""ALL_READS""]","""0.05""",0,mm10,,,,cached,"""LENIENT""",,,,28341242,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectInsertSizeMetrics/1.136.0,1.136.0,,2016-02-29 16:14:24.813595,27560,335.695892
2016-02-24 09:07:55.112193,slurm_normal_16gb,,main_w2_handler0,2609492,11917620,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",708251428,bam,6159365.roundup,slurm,,corral-repl,,,"""True""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""10.0""","""""",23485287,,"[""ALL_READS""]","""0.05""",0,hg19,,,,cached,"""LENIENT""",,,,27500014,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectInsertSizeMetrics/1.136.0,1.136.0,,2016-02-24 16:52:19.758232,65887,27864.646039000003
2016-03-29 02:59:55.531236,slurm_normal_16gb,,main_w1_handler0,2193308,12266268,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2684449331,bam,6478486.roundup,slurm,,corral-repl,,"""4f9fbac4f55a11e5a90b005056a52a46""","""True""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""10.0""","""""",24037274,,"[""ALL_READS""]","""0.05""",0,,UnvalidatedValue,mm10,,cached,"""LENIENT""",,,,29184089,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectInsertSizeMetrics/1.136.0,1.136.0,,2016-03-29 07:51:46.758616,57275,17511.22738
2016-07-25 12:31:45.300046,slurm_normal_16gb,,main_w1_handler0,2775001,13484254,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2476626528,bam,7700171.roundup,slurm,,corral-repl,,,"""true""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""10.0""","""""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52f9b7d0a130ef0fd'}]","[""ALL_READS""]","""0.05""",1,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ed4fa1582d6d2ae9'}]",history,"""LENIENT""",27203948.0,fasta,,31103068,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectInsertSizeMetrics/1.136.0,1.136.0,,2016-07-25 12:35:29.580330,70632,224.28028400000002
