create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,ownFile,ownFile_filetype,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.params.__current_case__,parameters.params.anchor_length,parameters.params.bowtie2_settings.__current_case__,parameters.params.bowtie2_settings.b2_settings,parameters.params.bowtie2_settings.preset.__current_case__,parameters.params.bowtie2_settings.preset.b2_preset,parameters.params.bowtie2_settings.preset.b2_preset_select,parameters.params.bowtie_n,parameters.params.coverage_search.__current_case__,parameters.params.coverage_search.max_coverage_intron,parameters.params.coverage_search.min_coverage_intron,parameters.params.coverage_search.use_search,parameters.params.fusion_search.__current_case__,parameters.params.fusion_search.anchor_len,parameters.params.fusion_search.do_search,parameters.params.fusion_search.ignore_chromosomes,parameters.params.fusion_search.min_dist,parameters.params.fusion_search.multipairs,parameters.params.fusion_search.multireads,parameters.params.fusion_search.read_mismatches,parameters.params.indel_search.__current_case__,parameters.params.indel_search.allow_indel_search,parameters.params.indel_search.max_deletion_length,parameters.params.indel_search.max_insertion_length,parameters.params.library_type,parameters.params.max_intron_length,parameters.params.max_multihits,parameters.params.max_segment_intron,parameters.params.microexon_search,parameters.params.min_intron_length,parameters.params.min_segment_intron,parameters.params.output_unmapped,parameters.params.own_junctions.__current_case__,parameters.params.own_junctions.gene_model_ann.__current_case__,parameters.params.own_junctions.gene_model_ann.gene_annotation_model.values,parameters.params.own_junctions.gene_model_ann.use_annotations,parameters.params.own_junctions.no_novel_juncs,parameters.params.own_junctions.raw_juncs.__current_case__,parameters.params.own_junctions.raw_juncs.raw_juncs.values,parameters.params.own_junctions.raw_juncs.use_juncs,parameters.params.own_junctions.use_junctions,parameters.params.read_edit_dist,parameters.params.read_mismatches,parameters.params.read_realign_edit_dist,parameters.params.seg_length,parameters.params.seg_mismatches,parameters.params.settingsType,parameters.params.splice_mismatches,parameters.readGroup.__current_case__,parameters.readGroup.specReadGroup,parameters.refGenomeSource.__current_case__,parameters.refGenomeSource.genomeSource,parameters.refGenomeSource.index,parameters.refGenomeSource.ownFile.values,parameters.singlePaired.__current_case__,parameters.singlePaired.input1.values,parameters.singlePaired.input2.values,parameters.singlePaired.mate_inner_distance,parameters.singlePaired.mate_std_dev,parameters.singlePaired.report_discordant_pairs,parameters.singlePaired.sPaired,params|own_junctions|gene_annotation_model,params|own_junctions|gene_annotation_model_filetype,params|own_junctions|raw_juncs,params|own_junctions|raw_juncs_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-02-05 03:46:20.943096,slurm_multi,,main_w3_handler2,3416556,18254422,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",15778870283,fastqsanger,15778870283.0,fastqsanger,12341052,slurm,,corral-repl,,,,0,no,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preSet,,1,no,0,indexed,oryCun1,,1,"[{'src': 'hda', 'id': 33662470}]","[{'src': 'hda', 'id': 33662469}]",300,20,Yes,paired,,,,,,43673676.0,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/2.1.0,2.1.0,,2018-02-06 10:11:12.657989,121295,109491.71489300001
2017-02-10 21:20:55.767073,reserved_multi,,main_w4_handler2,2990893,15008060,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",26590589359,fastqsanger,,,9164212.roundup,slurm,,corral-repl,,,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,8,0.0,No,,,,No,2.0,,,No,1.0,10,Yes,,100,5,5,2,0.0,No,,,fr-unstranded,500000,20,500000,Yes,70,50,false,1.0,,,,,,,,No,2,2,1000,25,2,full,0,1,no,0,indexed,hg19,,0,"[{'src': 'hda', 'id': 28301377}]",,,,,single,,,,,,34652796.0,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/2.1.0,2.1.0,,2017-02-11 09:29:38.950348,5254,43723.183275
2016-09-19 04:26:18.732628,slurm_multi_dynamic_walltime,,main_w3_handler2,2743840,13878389,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",36910540942,fastqsanger,,,8101702,slurm,,corral-repl,,,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preSet,,1,no,0,indexed,hg19,,0,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5536be0f8ae4e9b67'}]",,,,,single,,,,,,32486354.0,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/2.1.0,2.1.0,,2016-09-19 11:01:33.170361,86276,23714.437733000002
2017-02-06 21:27:21.994475,slurm_multi_dynamic_walltime,,main_w3_handler2,2984241,14964755,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",13245317202,fastqsanger,13245317202.0,fastqsanger,9123733,slurm,,corral-repl,184563953.0,fasta,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preSet,,1,no,1,history,,"[{'src': 'hda', 'id': 28232618}]",1,"[{'src': 'hda', 'id': 28232562}]","[{'src': 'hda', 'id': 28232563}]",120,20,Yes,paired,,,,,,35849146.0,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/2.1.0,2.1.0,,2017-02-07 05:40:40.568222,96255,29598.573747000002
2017-08-25 15:33:05.428595,slurm_multi_dynamic_walltime,,main_w4_handler2,3217304,16659908,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2196492574,fastqsanger,,,10732082,slurm,,corral-repl,13723165766.0,fasta,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preSet,,1,no,1,history,,"[{'src': 'hda', 'id': 30986113}]",0,"[{'src': 'hda', 'id': 30986237}]",,,,,single,,,,,,39876560.0,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/2.1.0,2.1.0,,2017-08-25 16:58:09.949986,109841,5104.521391
2017-08-25 15:33:06.998004,slurm_multi_dynamic_walltime,,main_w3_handler2,3217304,16659911,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2196492574,fastqsanger,,,10732855,slurm,,corral-repl,13725373601.0,fasta,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preSet,,1,no,1,history,,"[{'src': 'hda', 'id': 30986129}]",0,"[{'src': 'hda', 'id': 30986237}]",,,,,single,,,,,,39876560.0,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/2.1.0,2.1.0,,2017-08-25 17:14:54.971693,109841,6107.973689
2016-07-02 05:29:14.351307,slurm_multi_dynamic_walltime,,main_w1_handler2,2754596,13311855,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5248094749,fastqsanger,,,7514106,slurm,,corral-repl,,,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,8,0.0,No,,,,No,0.0,,,auto,1.0,20,Yes,,10000000,2,2,2,1.0,Yes,3,3,fr-unstranded,500000,20,500000,No,70,50,false,1.0,,,,,,,,No,2,2,1000,25,2,full,0,1,no,0,indexed,mm10,,0,"[{'src': 'hda', 'id': 'bbd44e69cb8906b50781affca1358acb'}]",,,,,single,,,,,,31191189.0,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/2.1.0,2.1.0,,2016-07-02 07:54:33.154212,80162,8718.802905
2017-03-14 14:02:00.063018,slurm_multi_dynamic_walltime,,main_w4_handler2,2889238,15292091,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",26590589359,fastqsanger,,,9435441,slurm,,corral-repl,,,,1,yes,slurm_multi,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,8,0.0,No,,,,No,2.0,,,No,1.0,10,Yes,,100,5,5,2,0.0,No,,,fr-unstranded,500000,20,500000,Yes,70,50,false,1.0,,,,,,,,No,2,2,1000,25,2,full,0,1,no,0,indexed,hg19,,0,"[{'src': 'hda', 'id': 28368515}]",,,,,single,,,,,,36617026.0,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/2.1.0,2.1.0,,2017-03-15 04:44:28.371127,94532,52948.308109000005
2017-01-24 04:24:18.815740,slurm_multi_dynamic_walltime,,main_w3_handler2,2804944,14853967,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",502001260,fastqsanger,,,9014198,slurm,,corral-repl,13724148371.0,fasta,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preSet,,1,no,1,history,,"[{'src': 'hda', 'id': 28044638}]",0,"[{'src': 'hda', 'id': 28049041}]",,,,,single,,,,,,34745055.0,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/2.1.0,2.1.0,,2017-01-24 10:32:02.988740,89189,22064.173000000003
2018-02-10 19:08:43.116299,slurm_multi,,main_w4_handler2,3420740,18338215,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",15968129395,fastqsanger,15968129395.0,fastqsanger,12422555,slurm,,corral-repl,,,,1,yes,slurm_multi,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,8,0.0,No,,,,No,0.0,,,auto,0.0,,No,,,,,,1.0,Yes,3,3,fr-firststrand,500000,20,500000,No,70,50,true,1.0,,,,,,,,No,2,2,1000,25,2,full,0,1,no,0,indexed,oryCun1,,1,"[{'src': 'hda', 'id': 33729563}]","[{'src': 'hda', 'id': 33729561}]",300,20,Yes,paired,,,,,,43756350.0,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/2.1.0,2.1.0,,2018-02-11 04:37:27.280964,116860,34124.164665000004
