create_time,destination_id,exit_code,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input,parameters.input.values,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-09-30 17:55:45.560071,slurm_normal,,main_w1_handler0,2434963,10472523,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",36340165642,fastqsanger,4748754.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21075514,,,25357014.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastx_collapser/cshl_fastx_collapser/1.0.0,1.0.0,,2015-09-30 18:09:07.981625,60145,802.421554
2017-06-22 15:51:15.884941,slurm_normal,,main_w4_handler0,3161010,16165978,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9073462782,fasta,10243293.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 30068466}]",,38864463.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastx_collapser/cshl_fastx_collapser/1.0.0,1.0.0,,2017-06-22 15:53:14.173255,91624,118.28831400000001
2016-07-18 16:20:41.815241,reserved,,main_w1_handler0,2768949,13433710,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7458487226,fasta,7645134.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b519ea37595845d521'}]",,30731085.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastx_collapser/cshl_fastx_collapser/1.0.0,1.0.0,,2016-07-18 16:34:58.393598,5254,856.5783570000001
2016-10-18 02:55:02.369362,slurm_normal,,main_w3_handler0,2841432,14104112,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",15270848207,fastqsanger,8319056.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/ce10.len""","""ce10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51371c25d1d77f4a4'}]",,33423812.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastx_collapser/cshl_fastx_collapser/1.0.0,1.0.0,,2016-10-18 03:10:18.746352,91484,916.3769900000001
2015-02-14 23:10:57.363735,rodeo_normal,,main_w2_handler0,2206566,8727927,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",19325739702,fasta,2762867.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18514696,,,19817784.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastx_collapser/cshl_fastx_collapser/1.0.0,1.0.0,,2015-02-14 23:14:48.720800,3741,231.357065
2016-01-11 06:34:19.609836,slurm_normal,,main_w2_handler0,998401,11451182,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",15589236899,fasta,5717250.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",22833303,,,27335282.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastx_collapser/cshl_fastx_collapser/1.0.0,1.0.0,,2016-01-11 06:37:15.416783,22975,175.806947
2017-05-24 09:40:45.013395,slurm_normal,,main_w4_handler0,3122619,15925408,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",19139000343,fastqsanger,10023346.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29723361}]",,38131878.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastx_collapser/cshl_fastx_collapser/1.0.0,1.0.0,,2017-05-24 09:52:11.173865,50184,686.16047
2018-01-28 13:24:17.220974,slurm_normal,,main_w4_handler0,3335769,18179209,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",13449890211,fasta,12261030,slurm,,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33535181}]",,42256144.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastx_collapser/cshl_fastx_collapser/1.0.0,1.0.0,,2018-01-28 13:27:28.285974,116870,191.065
2017-01-06 19:49:42.805219,slurm_normal,,main_w3_handler0,2946462,14705615,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",41476609771,fasta,8875313.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27836317}]",,35190799.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastx_collapser/cshl_fastx_collapser/1.0.0,1.0.0,,2017-01-06 19:52:06.041740,97643,143.236521
2017-01-17 21:34:25.698407,slurm_normal,,main_w3_handler1,2959258,14793708,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",31147972126,fastqsanger,8958262.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 27968610}]",,35396622.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastx_collapser/cshl_fastx_collapser/1.0.0,1.0.0,,2017-01-18 03:46:40.026487,59970,22334.328080000003
