create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.globaldifferences,parameters.input1,parameters.input1.values,parameters.input2,parameters.input2.values,parameters.out_format1,parameters.out_format2,parameters.out_format3,parameters.wordsize,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-01-12 19:37:55.116744,slurm_normal,,main_w4_handler1,2936681,14752371,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",233085327,fasta,161469244,fasta,8917025.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""",,"[{'src': 'hda', 'id': 27909591}]",,"[{'src': 'hda', 'id': 27908541}]","""excel""","""gff""","""gff""","""20""",,35281501,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: diffseq22/5.0.0,5.0.0,,2017-01-12 19:39:49.370572,5613,114.25382800000001
2016-11-15 11:23:25.245859,slurm_normal,,main_w3_handler0,2892417,14343635,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",419890973,fasta,418342647,fasta,8549745.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""no""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58290dfe3974368b5'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5622b954457fd05c2'}]","""diffseq""","""gff""","""gff""","""20""",,33817569,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: diffseq22/5.0.0,5.0.0,,2016-11-15 11:24:46.566885,92443,81.321026
2015-08-16 00:33:46.255450,slurm_normal,,main_w1_handler1,2409240,10127154,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",369856092,fasta,369871767,fasta,4400069.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""",20784258,,20781579,,"""diffseq""","""gff""","""gff""","""20""",,24695213,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: diffseq22/5.0.0,5.0.0,,2015-08-16 19:27:16.753333,65190,68010.497883
