chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.field1,parameters.field2,parameters.input1,parameters.input1.values,parameters.input2,parameters.input2.values,parameters.mode,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-08-10 13:02:55.850590,slurm_normal,,main_w1_handler0,2210340,10091766,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4733103976,tabular,15711371768,tabular,4367473.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""5""","""5""",20732840,,20732412,,"""N""",,24610722,error,comp1,1.0.2,,2015-08-10 13:22:48.813716,59804,1192.963126
,,2015-03-04 19:43:10.582566,rodeo_normal,,main_w2_handler0,2216170,8865912,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8176483806,sam,8168973863,sam,3015632.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","""3""","""3""",18613382,,18613384,,"""V""",,21588066,error,comp1,1.0.2,,2015-03-04 19:59:22.599894,52703,972.017328
,,2015-11-15 00:18:35.452317,slurm_normal,,main_w2_handler1,2507138,10904320,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9684795277,txt,7391674888,txt,5158053.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""1""","""1""",22006442,,22006444,,"""N""",,26255142,error,comp1,1.0.2,,2015-11-15 01:00:35.818236,73374,2520.3659190000003
,,2017-07-20 20:29:27.454845,reserved,,main_w3_handler1,2434822,16378990,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",56331299125,vcf,21529894835,pileup,10444005.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""1""","""1""",,"[{'src': 'hda', 'id': 23284919}]",,"[{'src': 'hda', 'id': 23284926}]","""N""",,39408830,error,comp1,1.0.2,,2017-07-20 20:58:12.455344,5254,1725.0004990000002
,,2016-10-24 20:54:35.956778,slurm_normal,,main_w4_handler1,2848593,14162027,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",57768763,vcf,34097504089,vcf,8374461.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""3""","""3""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b544c2f82a5e606ab0'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f893441681a9e75c'}]","""N""",,33563326,error,comp1,1.0.2,,2016-10-24 21:16:57.507501,67496,1341.550723
,,2015-09-03 20:13:04.201783,slurm_normal,,main_w1_handler0,2182129,10254581,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3235750054,sam,2055085100,sam,4541919.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""","""3""","""3""",18273398,,21000787,,"""V""",,24941446,error,comp1,1.0.2,,2015-09-03 20:18:15.370360,29148,311.168577
,,2015-03-04 19:12:44.968265,rodeo_normal,,main_w2_handler0,2216170,8865631,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8176483806,sam,8168973863,sam,3015155.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","""3""","""3""",18613382,,18613384,,"""V""",,21588066,error,comp1,1.0.2,,2015-03-04 19:38:27.574307,52703,1542.6060420000001
,,2015-08-23 17:06:27.782922,slurm_normal,,main_w1_handler1,2415727,10180535,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",25151504508,bed,21578584474,bed,4455830.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""1""","""1""",20875247,,20875255,,"""N""",,24795112,error,comp1,1.0.2,,2015-08-24 07:26:35.906597,68073,51608.123675
,,2017-02-08 10:48:14.671713,slurm_normal,,main_w3_handler0,2983419,14981305,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8892073810,tabular,2,tabular,9138683.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""1""","""1""",,"[{'src': 'hda', 'id': 28246600}]",,"[{'src': 'hda', 'id': 28246889}]","""N""",,35885030,error,comp1,1.0.2,,2017-02-08 10:53:18.130894,3641,303.459181
,,2016-11-19 17:40:16.947185,slurm_normal,,main_w4_handler1,2901367,14385485,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4058366,bed,22270495431,interval,8591173.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""1""","""1""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b50c914603d0472c18'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ad5affcc77384051'}]","""N""",,34349817,error,comp1,1.0.2,,2016-11-19 18:00:39.776935,95329,1222.82975
