create_time,destination_id,exit_code,gtf_input,gtf_input_filetype,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,mask_file,mask_file_filetype,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.additional.__current_case__,parameters.additional.frag_len_std_dev,parameters.additional.frag_mean_len,parameters.additional.sAdditional,parameters.advanced_settings.__current_case__,parameters.advanced_settings.library_type,parameters.advanced_settings.mask_file,parameters.advanced_settings.max_bundle_frags,parameters.advanced_settings.max_mle_iterations,parameters.advanced_settings.sAdvanced,parameters.bias_correction.__current_case__,parameters.bias_correction.do_bias_correction,parameters.bias_correction.seq_source.__current_case__,parameters.bias_correction.seq_source.index,parameters.bias_correction.seq_source.index_source,parameters.bias_correction.seq_source.ref_file,parameters.chromInfo,parameters.dbkey,parameters.gtf_input,parameters.gtf_input.values,parameters.length_correction,parameters.multiread_correct,parameters.samples,ref_file,ref_file_filetype,runner_name,samples_0|sample,samples_0|sample_filetype,samples_10|sample,samples_10|sample_filetype,samples_11|sample,samples_11|sample_filetype,samples_12|sample,samples_12|sample_filetype,samples_13|sample,samples_13|sample_filetype,samples_14|sample,samples_14|sample_filetype,samples_15|sample,samples_15|sample_filetype,samples_16|sample,samples_16|sample_filetype,samples_17|sample,samples_17|sample_filetype,samples_18|sample,samples_18|sample_filetype,samples_19|sample,samples_19|sample_filetype,samples_1|sample,samples_1|sample_filetype,samples_20|sample,samples_20|sample_filetype,samples_21|sample,samples_21|sample_filetype,samples_22|sample,samples_22|sample_filetype,samples_23|sample,samples_23|sample_filetype,samples_24|sample,samples_24|sample_filetype,samples_25|sample,samples_25|sample_filetype,samples_26|sample,samples_26|sample_filetype,samples_27|sample,samples_27|sample_filetype,samples_28|sample,samples_28|sample_filetype,samples_29|sample,samples_29|sample_filetype,samples_2|sample,samples_2|sample_filetype,samples_30|sample,samples_30|sample_filetype,samples_31|sample,samples_31|sample_filetype,samples_32|sample,samples_32|sample_filetype,samples_33|sample,samples_33|sample_filetype,samples_34|sample,samples_34|sample_filetype,samples_35|sample,samples_35|sample_filetype,samples_36|sample,samples_36|sample_filetype,samples_37|sample,samples_37|sample_filetype,samples_38|sample,samples_38|sample_filetype,samples_39|sample,samples_39|sample_filetype,samples_3|sample,samples_3|sample_filetype,samples_40|sample,samples_40|sample_filetype,samples_41|sample,samples_41|sample_filetype,samples_42|sample,samples_42|sample_filetype,samples_43|sample,samples_43|sample_filetype,samples_44|sample,samples_44|sample_filetype,samples_45|sample,samples_45|sample_filetype,samples_46|sample,samples_46|sample_filetype,samples_4|sample,samples_4|sample_filetype,samples_5|sample,samples_5|sample_filetype,samples_6|sample,samples_6|sample_filetype,samples_7|sample,samples_7|sample_filetype,samples_8|sample,samples_8|sample_filetype,samples_9|sample,samples_9|sample_filetype,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-10-30 15:41:04.760767,slurm_normal,,462399357,gtf,main_w2_handler0,2461352,10773762,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5032140.roundup,slurm,,,,corral-repl,,,,0,,,No,0.0,,,,,No,1,No,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",21771748,,"""""","""False""","[{""sample"": 21572409, ""__index__"": 0}, {""sample"": 21572416, ""__index__"": 1}]",,,,3111054151,bam,,,,,,,,,,,,,,,,,,,,,3866417462.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24721201,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffquant/cuffquant/2.2.1.0,2.2.1.0,,2015-10-30 17:28:51.650156,58466,6466.889389000001
2015-08-17 06:44:09.009482,slurm_normal,,1330273532,gtf,main_w2_handler0,2374101,10131733,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4403478.roundup,slurm,,,,corral-repl,,,,0,,,No,0.0,,,,,No,1,No,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20773067,,"""""","""False""","[{""sample"": 20484590, ""__index__"": 0}]",,,,1223628786,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24121586,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffquant/cuffquant/2.2.1.0,2.2.1.0,,2015-08-17 06:46:31.029266,51071,142.01978400000002
2016-09-16 19:40:40.534205,slurm_multi,,1230562011,gtf,main_w3_handler2,2769329,13868550,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8091904,slurm,,,,corral-repl,,0.0,no,0,,,No,0.0,,,,,No,0,Yes,0.0,hg38,cached,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f0d7641642f02adb'}]","""""","""false""","[{""sample"": {""values"": [{""src"": ""hda"", ""id"": ""bbd44e69cb8906b527bf741db526ea6a""}]}, ""__index__"": 0}]",,,,1383844846,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32870387,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffquant/cuffquant/2.2.1.0,2.2.1.0,,2016-09-16 20:30:11.114379,41053,2970.580174
2016-09-08 15:22:02.648890,slurm_multi,,1180742720,gtf,main_w3_handler2,2813922,13807836,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8028755,slurm,,,,corral-repl,,0.0,no,0,,,No,0.0,,,,,No,1,No,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b538aaa873bf1195f7'}]","""""","""false""","[{""sample"": {""values"": [{""src"": ""hda"", ""id"": ""bbd44e69cb8906b5f1121a7565036c24""}]}, ""__index__"": 0}]",,,,340487,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32197835,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffquant/cuffquant/2.2.1.0,2.2.1.0,,2016-09-08 15:33:42.506751,88481,699.8578610000001
2015-08-26 17:25:05.327701,slurm_normal,,89985589,gtf,main_w1_handler2,2419388,10205700,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4477890.roundup,slurm,,,,corral-repl,,,,0,,,No,0.0,,,,,No,0,Yes,0.0,mm10,cached,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",20915851,,"""""","""True""","[{""sample"": 20907894, ""__index__"": 0}]",,,,6269870146,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24745788,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffquant/cuffquant/2.2.1.0,2.2.1.0,,2015-08-27 05:02:10.678127,56262,41825.350426000005
2015-08-13 19:09:12.630611,slurm_normal,,313397913,gtf,main_w1_handler0,2385469,10112134,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4385778.roundup,slurm,,,,corral-repl,,,,0,,,No,0.0,,,,,No,0,Yes,0.0,mm10,cached,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",20758812,,"""""","""True""","[{""sample"": 20495777, ""__index__"": 0}, {""sample"": 20495747, ""__index__"": 1}]",,,,2456067997,bam,,,,,,,,,,,,,,,,,,,,,2327766651.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23255313,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffquant/cuffquant/2.2.1.0,2.2.1.0,,2015-08-13 21:09:47.092341,57602,7234.461730000001
2015-11-18 13:27:32.376168,slurm_normal,,2024402,gtf,main_w1_handler2,2509304,10935747,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5190470.roundup,slurm,,,,corral-repl,,,,0,,,No,,,,,,,1,No,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",22046115,,"""""","""False""","[{""sample"": 22046165, ""__index__"": 0}, {""sample"": 22046164, ""__index__"": 1}, {""sample"": 22046152, ""__index__"": 2}, {""sample"": 22046151, ""__index__"": 3}, {""sample"": 22046147, ""__index__"": 4}, {""sample"": 22046118, ""__index__"": 5}]",,,,1060412661,bam,,,,,,,,,,,,,,,,,,,,,971917334.0,bam,,,,,,,,,,,,,,,,,,,,,1199569556.0,bam,,,,,,,,,,,,,,,,,,,,,845806593.0,bam,,,,,,,,,,,,,,,1025858763.0,bam,907675465.0,bam,,,,,,,,,26330071,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffquant/cuffquant/2.2.1.0,2.2.1.0,,2015-11-18 14:16:44.086593,73083,2951.710425
2015-10-24 00:33:16.564997,slurm_normal,,84170934,gtf,main_w2_handler1,2418835,10708855,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4971658.roundup,slurm,,,,corral-repl,,,,0,,,No,0.0,,,,,No,0,Yes,0.0,mm10,cached,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",21671124,,"""""","""True""","[{""sample"": 21513867, ""__index__"": 0}, {""sample"": 21513833, ""__index__"": 1}, {""sample"": 21513848, ""__index__"": 2}, {""sample"": 21513793, ""__index__"": 3}, {""sample"": 21513799, ""__index__"": 4}, {""sample"": 21513815, ""__index__"": 5}, {""sample"": 21513820, ""__index__"": 6}]",,,,1581204606,bam,,,,,,,,,,,,,,,,,,,,,2594730605.0,bam,,,,,,,,,,,,,,,,,,,,,2003016464.0,bam,,,,,,,,,,,,,,,,,,,,,2520626304.0,bam,,,,,,,,,,,,,,,2329160370.0,bam,1888322934.0,bam,1765185872.0,bam,,,,,,,24834799,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffquant/cuffquant/2.2.1.0,2.2.1.0,,2015-10-24 01:02:25.314961,68175,1748.749964
2015-09-29 06:34:31.027733,slurm_normal,,542397650,gtf,main_w1_handler1,2454176,10456631,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4733795.roundup,slurm,,,,corral-repl,,,,0,,,No,0.0,,,,,No,0,Yes,0.0,hg19,cached,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",21318136,,"""""","""True""","[{""sample"": 21318228, ""__index__"": 0}, {""sample"": 21318229, ""__index__"": 1}]",,,,1712707302,bam,,,,,,,,,,,,,,,,,,,,,1560503408.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25198581,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffquant/cuffquant/2.2.1.0,2.2.1.0,,2015-09-29 06:45:38.179912,57352,667.152179
2015-08-27 19:17:16.965554,slurm_normal,,89985589,gtf,main_w1_handler2,2419388,10212425,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4482512.roundup,slurm,,,,corral-repl,,,,0,,,No,0.0,,,,,No,0,Yes,0.0,mm10,cached,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",20915851,,"""""","""True""","[{""sample"": 20907894, ""__index__"": 0}]",,,,6269870146,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24745788,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffquant/cuffquant/2.2.1.0,2.2.1.0,,2015-08-27 20:49:38.589193,56262,5541.623639
