create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,otu,otu_filetype,param_filename,parameters.as_datasets,parameters.chromInfo,parameters.dbkey,parameters.fontsize,parameters.numotu,parameters.scale,parameters.sorted,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-04-10 12:55:58.705650,slurm_normal,,main_w4_handler0,3060390,15540622,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9665908.roundup,slurm,,corral-repl,190783079,fastq.gz,,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""24""","""0""","""""","""""",,37248666,error,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_heatmap_bin/1.21.0,1.21.0,,2017-04-10 12:58:47.046284,101737.0,168.34063400000002
2017-04-24 08:17:22.388812,slurm_normal,,main_w4_handler0,3082839,15659074,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9775336.roundup,slurm,,corral-repl,64328,tabular,,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""24""","""0""","""""","""""",,37494683,error,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_heatmap_bin/1.21.0,1.21.0,,2017-04-24 08:20:05.664853,104531.0,163.27604100000002
2017-02-22 14:18:26.593762,slurm_normal,,main_w3_handler1,2989980,15107472,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9262302.roundup,slurm,,corral-repl,694269,tabular,,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""24""","""0""","""""","""""",,35932052,error,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_heatmap_bin/1.21.0,1.21.0,,2017-02-22 14:22:34.190392,,247.59663
2017-04-14 01:46:51.659450,slurm_normal,,main_w4_handler1,3072632,15584184,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9706308.roundup,slurm,,corral-repl,6313,mothur.axes,,"""true""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""24""","""0""","""log10""","""topotu""",,37321317,error,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_heatmap_bin/1.21.0,1.21.0,,2017-04-14 01:48:48.616660,,116.95721
2017-04-13 09:01:27.729055,slurm_normal,,main_w3_handler0,3070221,15573192,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9696325.roundup,slurm,,corral-repl,3577166,tabular,,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""24""","""0""","""""","""""",,37305142,error,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_heatmap_bin/1.21.0,1.21.0,,2017-04-13 09:03:42.048188,103955.0,134.31913300000002
2017-05-28 02:56:42.242503,slurm_normal,,main_w3_handler0,3129723,15953784,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10051686.roundup,slurm,,corral-repl,1359533,tabular,,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""24""","""0""","""""","""""",,38254669,error,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_heatmap_bin/1.21.0,1.21.0,,2017-05-28 02:58:12.591557,106721.0,90.34905400000001
2017-03-07 05:46:04.822253,slurm_normal,,main_w3_handler1,2664901,15226393,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9374818.roundup,slurm,,corral-repl,6811107,tabular,,"""false""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""24""","""0""","""""","""""",,36475741,error,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_heatmap_bin/1.21.0,1.21.0,,2017-03-07 05:47:42.416825,82267.0,97.594572
2017-06-12 20:41:45.317456,slurm_normal,,main_w3_handler0,3151567,16085953,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10172453.roundup,slurm,,corral-repl,153815,fastq,,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""24""","""0""","""""","""""",,38614704,error,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_heatmap_bin/1.21.0,1.21.0,,2017-06-12 21:36:07.762822,,3262.4453660000004
2017-05-17 19:08:36.907201,slurm_normal,,main_w4_handler0,3108901,15870965,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9971304.roundup,slurm,,corral-repl,11244150,tabular,,"""false""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""24""","""0""","""""","""""",,37078845,error,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_heatmap_bin/1.21.0,1.21.0,,2017-05-17 19:22:53.456500,17286.0,856.549299
2017-05-18 10:49:59.519753,slurm_normal,,main_w3_handler1,3116399,15877835,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9977625.roundup,slurm,,corral-repl,12730,tabular,,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""24""","""0""","""""","""""",,38051209,error,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_heatmap_bin/1.21.0,1.21.0,,2017-05-18 10:52:38.395337,29139.0,158.875584
2017-05-04 19:27:25.643965,slurm_normal,,main_w3_handler0,3098962,15752108,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9860760.roundup,slurm,,corral-repl,18296,tabular,,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""24""","""0""","""log2""","""topotu""",,37764697,error,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_heatmap_bin/1.21.0,1.21.0,,2017-05-04 19:29:06.706085,,101.06212000000001
2017-04-10 12:55:58.258754,slurm_normal,,main_w4_handler0,3060390,15540621,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9665909.roundup,slurm,,corral-repl,1889150,fastq.gz,,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""24""","""0""","""""","""""",,37248666,error,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_heatmap_bin/1.21.0,1.21.0,,2017-04-10 13:01:58.611299,101737.0,360.352545
2017-02-19 11:53:01.489195,slurm_normal,,main_w4_handler0,2992026,15078580,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9234129.roundup,slurm,,corral-repl,43839,txt,,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""24""","""0""","""""","""""",,35987227,error,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_heatmap_bin/1.21.0,1.21.0,,2017-02-19 11:56:52.628894,62426.0,231.139699
