corData,corData_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.corData.values,parameters.corMethod,parameters.dbkey,parameters.outFileCorMatrix,parameters.outFileFormat,parameters.plotting_type.__current_case__,parameters.plotting_type.colorMap,parameters.plotting_type.plotNumbers,parameters.plotting_type.plotTitle,parameters.plotting_type.whatToPlot,parameters.plotting_type.zMax,parameters.plotting_type.zMin,parameters.removeOutliers,parameters.skipZeros,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
142636610,deeptools_coverage_matrix,2016-06-17 09:58:43.732102,slurm_normal,,main_w1_handler0,2643013,13191962,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7376765.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5a4aec2aba939409b'}]","""spearman""","""mm10""","""false""","""png""",0,RdYlBu,false,,heatmap,,,"""false""","""false""",,30748407,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.2.3.0,2.2.3.0,,2016-06-17 10:06:03.277018,37946,439.544916
162114453,deeptools_coverage_matrix,2016-07-06 19:27:01.321558,slurm_normal,,main_w1_handler0,2758971,13347599,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7556221.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10Patch1.len""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5a592ce57a02f35d1'}]","""spearman""","""mm10Patch1""","""false""","""png""",0,RdYlBu,false,,heatmap,,,"""false""","""false""",,31306781,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.2.3.0,2.2.3.0,,2016-07-06 19:59:18.162073,77468,1936.840515
162114453,deeptools_coverage_matrix,2016-07-06 19:27:15.198148,slurm_normal,,main_w1_handler0,2758971,13347601,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7556222.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10Patch1.len""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5a592ce57a02f35d1'}]","""pearson""","""mm10Patch1""","""false""","""png""",0,RdYlBu,false,,heatmap,,,"""false""","""false""",,31306781,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.2.3.0,2.2.3.0,,2016-07-06 19:59:03.826474,77468,1908.628326
162114453,deeptools_coverage_matrix,2016-07-08 09:27:54.279953,slurm_normal,,main_w2_handler0,2758971,13360380,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7570323.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10Patch1.len""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5a592ce57a02f35d1'}]","""spearman""","""mm10Patch1""","""false""","""png""",0,RdYlBu,false,,heatmap,,,"""false""","""false""",,31306781,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.2.3.0,2.2.3.0,,2016-07-08 09:29:26.203288,77468,91.92333500000001
1185267,deeptools_coverage_matrix,2016-10-01 18:21:28.219593,slurm_normal,,main_w3_handler1,2694982,13988508,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8208052.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/Zea_mays_B73_RefGen_v2.len""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5138c6f77b74f9edb'}]","""pearson""","""Zea_mays_B73_RefGen_v2""","""false""","""png""",0,ocean_r,true,Pearson_noskip0s_oceanR,heatmap,1.0,0.0,"""false""","""false""",,33372236,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.2.3.0,2.2.3.0,,2016-10-01 18:26:04.513721,84133,276.294128
167152811,deeptools_coverage_matrix,2016-07-12 21:20:00.129612,slurm_normal,,main_w1_handler1,2751890,13390232,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7601690.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5258639d63edb24dc'}]","""pearson""","""?""","""true""","""pdf""",0,RdYlBu,true,,heatmap,,,"""false""","""false""",,31135985,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.2.3.0,2.2.3.0,,2016-07-12 21:22:19.374004,86712,139.244392
1185267,deeptools_coverage_matrix,2016-10-01 17:28:14.999691,slurm_normal,,main_w4_handler1,2694982,13988368,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8207915.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/Zea_mays_B73_RefGen_v2.len""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5138c6f77b74f9edb'}]","""pearson""","""Zea_mays_B73_RefGen_v2""","""false""","""png""",0,Blues,true,,heatmap,,,"""false""","""false""",,33372236,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.2.3.0,2.2.3.0,,2016-10-01 17:33:07.253447,84133,292.253756
907494616,deeptools_coverage_matrix,2016-09-29 13:52:39.701441,slurm_normal,,main_w4_handler0,2811244,13974115,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8193269.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5a423cd9f181033db'}]","""spearman""","""hg19""","""false""","""pdf""",0,hot,true,,heatmap,,,"""false""","""false""",,32866886,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.2.3.0,2.2.3.0,,2016-09-29 13:56:29.229227,60415,229.52778600000002
11005919,deeptools_coverage_matrix,2016-10-02 18:04:21.834237,slurm_normal,,main_w4_handler0,2694982,13991390,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8210789.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/Zea_mays_B73_RefGen_v2.len""","[{'src': 'hda', 'id': 'bbd44e69cb8906b53d7263318da767e7'}]","""pearson""","""Zea_mays_B73_RefGen_v2""","""false""","""png""",0,RdYlBu,true,Pearson_1bp_bins,heatmap,,,"""false""","""false""",,33372236,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.2.3.0,2.2.3.0,,2016-10-02 18:07:25.159205,84133,183.324968
47248209,deeptools_coverage_matrix,2016-06-20 13:05:29.339827,slurm_normal,,main_w2_handler0,2744133,13210203,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7394765.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","[{'src': 'hda', 'id': 'bbd44e69cb8906b56f8ed42a6b2bcfd0'}]","""pearson""","""sacCer3""","""false""","""png""",0,RdYlBu,true,,heatmap,,,"""false""","""false""",,30959408,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.2.3.0,2.2.3.0,,2016-06-20 13:30:28.221834,10211,1498.8820070000002
