create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-02-20 07:22:07.341902,rodeo_normal,,main_w1_handler1,2197521,8773873,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2706291659,fasta,2845384.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/oryza_sativa_japonica_nipponbare_IRGSP4.0.len""","""oryza_sativa_japonica_nipponbare_IRGSP4.0""",18583067,,,21131894,error,toolshed.g2.bx.psu.edu/repos/devteam/fasta_concatenate_by_species/fasta_concatenate0/0.0.0,0.0.0,,2015-02-20 07:25:00.277657,59339,172.935755
2015-12-07 13:36:17.125235,slurm_normal,,main_w1_handler2,2513986,11110448,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",26373990677,fasta,5375994.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",22188910,,,25797914,error,toolshed.g2.bx.psu.edu/repos/devteam/fasta_concatenate_by_species/fasta_concatenate0/0.0.0,0.0.0,,2015-12-07 13:40:27.775184,71592,250.64994900000002
2016-01-28 12:05:26.347707,slurm_normal,,main_w1_handler2,2540476,11621836,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",548513678,fasta,5886143.roundup,slurm,,corral-repl,,,"""/galaxy-repl/main/files/012/705/dataset_12705174.dat""","""Mt4""",23057308,,,27199189,error,toolshed.g2.bx.psu.edu/repos/devteam/fasta_concatenate_by_species/fasta_concatenate0/0.0.0,0.0.0,,2016-01-28 12:08:58.787686,61115,212.43997900000002
2015-01-13 09:45:44.691758,rodeo_normal,,main_w1_handler0,2171985,8537497,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4322949564,fasta,754294.rodeo,slurm,,corral-repl,,"""f0fa0fd09b0811e49bb5005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",18194858,,,20472362,error,toolshed.g2.bx.psu.edu/repos/devteam/fasta_concatenate_by_species/fasta_concatenate0/0.0.0,0.0.0,,2015-01-13 09:57:15.133189,8911,690.4414310000001
2016-01-28 12:19:16.150986,slurm_normal,,main_w1_handler2,2540476,11621912,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",548513678,fasta,5886223.roundup,slurm,,corral-repl,,,"""/galaxy-repl/main/files/012/705/dataset_12705174.dat""","""Mt4""",23057308,,,27199189,error,toolshed.g2.bx.psu.edu/repos/devteam/fasta_concatenate_by_species/fasta_concatenate0/0.0.0,0.0.0,,2016-01-28 12:22:28.066403,61115,191.91541700000002
2016-01-29 11:10:19.876751,slurm_normal,,main_w2_handler1,2431357,11630059,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",548513678,fasta,5893947.roundup,slurm,,corral-repl,,,"""/galaxy-repl/main/files/012/433/dataset_12433568.dat""","""Complete""",23078140,,,27864330,error,toolshed.g2.bx.psu.edu/repos/devteam/fasta_concatenate_by_species/fasta_concatenate0/0.0.0,0.0.0,,2016-01-29 11:14:24.735666,68732,244.85891500000002
2015-11-20 14:24:39.199527,slurm_normal,,main_w2_handler0,2307361,10960798,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2644942401,fasta,5221316.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",22090566,,,26364531,error,toolshed.g2.bx.psu.edu/repos/devteam/fasta_concatenate_by_species/fasta_concatenate0/0.0.0,0.0.0,,2015-11-20 14:27:33.371218,63554,174.171691
2017-02-09 03:31:05.922561,slurm_normal,,main_w3_handler1,2988198,14991535,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2495313931,fasta,9148505.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 28275492}]",,35907847,error,toolshed.g2.bx.psu.edu/repos/devteam/fasta_concatenate_by_species/fasta_concatenate0/0.0.0,0.0.0,,2017-02-09 03:33:11.710161,78571,125.78760000000001
2016-01-15 13:51:07.330193,slurm_normal,,main_w1_handler2,2540476,11512473,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",559067393,fasta,5781019.roundup,slurm,,corral-repl,,,"""/galaxy-repl/main/files/012/705/dataset_12705174.dat""","""Mt4""",22894671,,,27199189,error,toolshed.g2.bx.psu.edu/repos/devteam/fasta_concatenate_by_species/fasta_concatenate0/0.0.0,0.0.0,,2016-01-15 13:54:38.394988,61115,211.064795
2017-03-08 03:11:38.797606,slurm_normal,,main_w3_handler1,3019773,15238366,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4246284340,fasta,9386576.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 28647889}]",,36474068,error,toolshed.g2.bx.psu.edu/repos/devteam/fasta_concatenate_by_species/fasta_concatenate0/0.0.0,0.0.0,,2017-03-08 03:14:00.672805,101427,141.875199
