create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.advancedOpt.__current_case__,parameters.advancedOpt.averageTypeBins,parameters.advancedOpt.binSize,parameters.advancedOpt.maxThreshold,parameters.advancedOpt.minThreshold,parameters.advancedOpt.missingDataAsZero,parameters.advancedOpt.scale,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.skipZeros,parameters.advancedOpt.sortRegions,parameters.advancedOpt.sortUsing,parameters.chromInfo,parameters.dbkey,parameters.mode.__current_case__,parameters.mode.afterRegionStartLength,parameters.mode.beforeRegionStartLength,parameters.mode.mode_select,parameters.mode.nanAfterEnd,parameters.mode.referencePoint,parameters.mode.regionBodyLength,parameters.mode.regionStartLength.__current_case__,parameters.mode.regionStartLength.afterRegionStartLength,parameters.mode.regionStartLength.beforeRegionStartLength,parameters.mode.regionStartLength.regionStartLength_select,parameters.mode.regionStartLength.unscaled3prime,parameters.mode.regionStartLength.unscaled5prime,parameters.output.__current_case__,parameters.output.saveMatrix,parameters.output.saveSortedRegions,parameters.output.showOutputSettings,parameters.regionsFiles,parameters.scoreFileName,parameters.scoreFileName.values,regionsFiles_0|regionsFile,regionsFiles_0|regionsFile_filetype,runner_name,scoreFileName,scoreFileName1,scoreFileName10,scoreFileName10_filetype,scoreFileName11,scoreFileName11_filetype,scoreFileName1_filetype,scoreFileName2,scoreFileName2_filetype,scoreFileName3,scoreFileName3_filetype,scoreFileName4,scoreFileName4_filetype,scoreFileName5,scoreFileName5_filetype,scoreFileName6,scoreFileName6_filetype,scoreFileName7,scoreFileName7_filetype,scoreFileName8,scoreFileName8_filetype,scoreFileName9,scoreFileName9_filetype,scoreFileName_filetype,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-04-06 20:47:14.439827,slurm_normal,,main_w2_handler1,2659847,12356597,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6561173.roundup,slurm,,corral-repl,,,,0,,,,,,,no,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,5000,5000,reference-point,False,center,,,,,,,,0,,,no,"[{""__index__"": 0, ""regionsFile"": 24172533}]","""24169258,24169260,24169261,24169263,24169264,24169266,24169267,24169269,24169270,24169272,24169274""",,7879247,bed,,105961752,105961752,116257219.0,bigwig,105516822.0,bigwig,bigwig,696135917.0,bigwig,84864129.0,bigwig,767239902.0,bigwig,260057999.0,bigwig,1977065906.0,bigwig,125494349.0,bigwig,203405530.0,bigwig,153877056.0,bigwig,bigwig,29445088,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.2.2.0,2.2.2.0,,2016-04-07 17:45:48.920860,43829.0,75514.481033
2016-03-22 21:43:56.580139,slurm_normal,,main_w2_handler1,2502268,12230734,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6445182.roundup,slurm,,corral-repl,,,,1,mean,50,,,False,,yes,False,descend,mean,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",0,,,scale-regions,,,5000,1.0,1000,1000,yes,0,0,1,False,False,yes,"[{""__index__"": 0, ""regionsFile"": 23984349}]","""23984350""",,114544253,bed,,85105117,85105117,,,,,bigwig,,,,,,,,,,,,,,,,,bigwig,27214380,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.2.2.0,2.2.2.0,,2016-03-23 00:44:22.572781,2621.0,10825.992642000001
2016-04-21 10:14:08.592985,slurm_normal,,main_w2_handler1,2677909,12547309,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6735550.roundup,slurm,,corral-repl,,,,0,,,,,,,no,,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",1,1000,1000,reference-point,false,center,,,,,,,,0,,,no,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": ""bbd44e69cb8906b5fd06171bd94cd29f""}]}}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b505f62b5cb60746ee'}]",1332807536,bed,,208633036,208633036,,,,,bigwig,,,,,,,,,,,,,,,,,bigwig,28776799,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.2.2.0,2.2.2.0,,2016-04-21 10:16:55.169772,67495.0,166.57678700000002
2016-03-29 15:08:22.720485,slurm_normal,,main_w1_handler2,1639242,12272785,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6481556.roundup,slurm,,corral-repl,,,,0,,,,,,,no,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,5000,5000,reference-point,False,center,,,,,,,,0,,,no,"[{""__index__"": 0, ""regionsFile"": 24035454}]","""24033710""",,190006595,bed,,5777277074,5777277074,,,,,bigwig,,,,,,,,,,,,,,,,,bigwig,28626146,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.2.2.0,2.2.2.0,,2016-03-29 15:21:26.306946,31997.0,783.5864610000001
2016-05-12 17:35:11.337626,slurm_multi,,main_w2_handler2,2703040,12873918,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7073553,slurm,,corral-repl,,0.0,no,0,,,,,,,no,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,,,scale-regions,,,500,0.0,,,no,,,0,,,no,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": ""bbd44e69cb8906b5a71cf2cfc6ad5203""}]}}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51040e5886899ccd1'}]",692064812,bed,,253210962,253210962,,,,,bigwig,,,,,,,,,,,,,,,,,bigwig,28622206,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.2.2.0,2.2.2.0,,2016-05-12 18:26:41.827522,68038.0,3090.489896
2016-04-03 14:03:51.993165,slurm_normal,,main_w1_handler0,2640546,12325401,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6532106.roundup,slurm,,corral-repl,,,,0,,,,,,,no,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,scale-regions,,,500,0.0,,,no,,,0,,,no,"[{""__index__"": 0, ""regionsFile"": 24120209}]","""24120216,24120217,24120218,24120219""",,6443281948,bed,,17427075,17427075,,,,,bigwig,0.0,bigwig,0.0,bigwig,14339648.0,bigwig,,,,,,,,,,,bigwig,29093227,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.2.2.0,2.2.2.0,,2016-04-03 14:05:52.003520,80993.0,120.010355
2016-04-21 10:10:33.296876,slurm_normal,,main_w1_handler0,2677909,12547275,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6735508.roundup,slurm,,corral-repl,,,,0,,,,,,,no,,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",1,1000,1000,reference-point,false,center,,,,,,,,0,,,no,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": ""bbd44e69cb8906b5fd06171bd94cd29f""}]}}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b505f62b5cb60746ee'}]",1332807536,bed,,208633036,208633036,,,,,bigwig,,,,,,,,,,,,,,,,,bigwig,28776799,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.2.2.0,2.2.2.0,,2016-04-21 10:13:33.312439,67495.0,180.01556300000001
2016-04-01 13:53:32.923336,slurm_normal,,main_w1_handler0,1639242,12311371,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6518547.roundup,slurm,,corral-repl,,,,0,,,,,,,no,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,25000,25000,reference-point,False,center,,,,,,,,0,,,no,"[{""__index__"": 0, ""regionsFile"": 24084875}]","""23928179""",,3178506,bed,,105961752,105961752,,,,,bigwig,,,,,,,,,,,,,,,,,bigwig,28626146,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.2.2.0,2.2.2.0,,2016-04-02 00:19:20.085218,31997.0,37547.161882
2016-03-25 16:53:18.731669,slurm_normal,,main_w1_handler1,2641849,12253143,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6464501.roundup,slurm,,corral-repl,,,,1,mean,50,,,False,,yes,False,descend,mean,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",0,,,scale-regions,,,500,0.0,,,no,,,1,False,True,yes,"[{""__index__"": 0, ""regionsFile"": 24017843}]","""24017928""",,797518277,bed,,63966849,63966849,,,,,bigwig,,,,,,,,,,,,,,,,,bigwig,29028521,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.2.2.0,2.2.2.0,,2016-03-25 16:55:23.387680,69337.0,124.656011
2016-05-11 15:40:30.765200,slurm_normal,,main_w2_handler0,2701305,12857399,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7057874.roundup,slurm,,corral-repl,,,,0,,,,,,,no,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,,,scale-regions,,,500,0.0,,,no,,,0,,,no,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": ""bbd44e69cb8906b5e889de2b36c8a929""}]}}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54e06a7a2d185a1c9'}]",2549969704,bed,,311852733,311852733,,,,,bigwig,,,,,,,,,,,,,,,,,bigwig,28622206,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.2.2.0,2.2.2.0,,2016-05-11 15:43:16.678342,68038.0,165.91314200000002
