create_time,destination_id,exit_code,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.inputFile.values,parameters.inputFile|__identifier__,parameters.max_diff_rate,parameters.max_group_ratio,parameters.min_identical_bases,parameters.min_mean_quality,parameters.optical_duplicate_pixel_distance,parameters.read_name_regex,parameters.validation_stringency,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-05-05 12:18:49.498892,slurm_normal_16gb,,main_w1_handler0,2692840,12792541,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5968975931,bam,6991953.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5c044ba16d2623b9c'}]","""Sample_23122015_CONA""","""0.03""","""500""","""5""","""20""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""LENIENT""",,30052059,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_EstimateLibraryComplexity/1.136.0,1.136.0,,2016-05-05 12:43:34.774594,83756,1485.2757020000001
2016-07-12 07:42:18.134466,slurm_normal_16gb,,main_w1_handler0,2717113,13382918,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2841173616,bam,7594842.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/rn6.len""","""rn6""","[{'src': 'hda', 'id': 'bbd44e69cb8906b552637e13cc6af281'}]",,"""0.03""","""500""","""5""","""20""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""LENIENT""",,30983209,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_EstimateLibraryComplexity/1.136.0,1.136.0,,2016-07-12 09:10:59.512427,50398,5321.377961
2016-07-08 08:19:41.653524,slurm_normal_16gb,,main_w1_handler1,2760014,13359659,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2793723975,bam,7569556.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b54e899f2908b1200a'}]",,"""0.03""","""500""","""5""","""20""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""LENIENT""",,31339193,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_EstimateLibraryComplexity/1.136.0,1.136.0,,2016-07-08 08:25:41.659898,65622,360.00637400000005
2016-07-08 08:23:08.487666,slurm_normal_16gb,,main_w2_handler1,2760014,13359722,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5352759810,bam,7569579.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b569ec6ffffaa5077b'}]",,"""0.03""","""500""","""5""","""20""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""LENIENT""",,31339193,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_EstimateLibraryComplexity/1.136.0,1.136.0,,2016-07-08 08:29:50.442139,65622,401.954473
2016-04-21 15:00:27.082923,slurm_normal_16gb,,main_w2_handler1,2586387,12550366,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2217008499,bam,6741163.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5203a7cf17d2b59a7'}]",,"""0.03""","""500""","""5""","""20""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""LENIENT""",,29549360,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_EstimateLibraryComplexity/1.136.0,1.136.0,,2016-04-21 17:52:54.676976,15202,10347.594053
2016-05-05 12:23:09.538626,slurm_normal_16gb,,main_w2_handler1,2692860,12792590,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2278275762,bam,6992200.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","[{'src': 'hda', 'id': 'bbd44e69cb8906b561e78761f6f3a7a6'}]","""Sample_17122015_BDS""","""0.03""","""500""","""5""","""20""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""LENIENT""",,30052078,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_EstimateLibraryComplexity/1.136.0,1.136.0,,2016-05-05 13:03:18.337559,83758,2408.798933
2016-04-21 15:00:13.003144,slurm_normal_16gb,,main_w2_handler0,2586387,12550338,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2302886211,bam,6739614.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5f4af7601450ec6a3'}]",,"""0.03""","""500""","""5""","""20""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""LENIENT""",,29549360,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_EstimateLibraryComplexity/1.136.0,1.136.0,,2016-04-21 15:42:27.389544,15202,2534.3864000000003
2016-07-12 07:42:15.264138,slurm_normal_16gb,,main_w2_handler0,2717113,13382915,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2567627787,bam,7594770.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/rn6.len""","""rn6""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5d4143f0510deeb98'}]",,"""0.03""","""500""","""5""","""20""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""LENIENT""",,30983209,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_EstimateLibraryComplexity/1.136.0,1.136.0,,2016-07-12 09:01:12.551500,50398,4737.287362
2016-07-12 07:42:20.620683,slurm_normal_16gb,,main_w2_handler1,2717113,13382921,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2914472700,bam,7594882.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/rn6.len""","""rn6""","[{'src': 'hda', 'id': 'bbd44e69cb8906b525bcf5b5f8eccf23'}]",,"""0.03""","""500""","""5""","""20""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""LENIENT""",,30983209,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_EstimateLibraryComplexity/1.136.0,1.136.0,,2016-07-12 09:18:57.183000,50398,5796.562317000001
2016-07-12 07:42:23.353648,slurm_normal_16gb,,main_w2_handler0,2717113,13382924,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3079856519,bam,7594867.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/rn6.len""","""rn6""","[{'src': 'hda', 'id': 'bbd44e69cb8906b58ae9f27fc55e5660'}]",,"""0.03""","""500""","""5""","""20""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""LENIENT""",,30983209,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_EstimateLibraryComplexity/1.136.0,1.136.0,,2016-07-12 09:16:13.797000,50398,5630.443352
