chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_1,input_1_filetype,input_2,input_2_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,own_file,own_file_filetype,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.analysis_type.__current_case__,parameters.analysis_type.alignment_options.L,parameters.analysis_type.alignment_options.N,parameters.analysis_type.alignment_options.__current_case__,parameters.analysis_type.alignment_options.align_mode.__current_case__,parameters.analysis_type.alignment_options.align_mode.align_mode_selector,parameters.analysis_type.alignment_options.align_mode.score_min_ete,parameters.analysis_type.alignment_options.alignment_options_selector,parameters.analysis_type.alignment_options.dpad,parameters.analysis_type.alignment_options.gbar,parameters.analysis_type.alignment_options.i,parameters.analysis_type.alignment_options.ignore_quals,parameters.analysis_type.alignment_options.n_ceil,parameters.analysis_type.alignment_options.no_1mm_upfront,parameters.analysis_type.alignment_options.nofw,parameters.analysis_type.alignment_options.norc,parameters.analysis_type.analysis_type_selector,parameters.analysis_type.effort_options.D,parameters.analysis_type.effort_options.R,parameters.analysis_type.effort_options.__current_case__,parameters.analysis_type.effort_options.effort_options_selector,parameters.analysis_type.input_options.__current_case__,parameters.analysis_type.input_options.input_options_selector,parameters.analysis_type.input_options.int_quals,parameters.analysis_type.input_options.qupto,parameters.analysis_type.input_options.qv_encoding,parameters.analysis_type.input_options.skip,parameters.analysis_type.input_options.solexa_quals,parameters.analysis_type.input_options.trim3,parameters.analysis_type.input_options.trim5,parameters.analysis_type.other_options.__current_case__,parameters.analysis_type.other_options.non_deterministic,parameters.analysis_type.other_options.other_options_selector,parameters.analysis_type.other_options.reorder,parameters.analysis_type.other_options.seed,parameters.analysis_type.presets,parameters.analysis_type.reporting_options.__current_case__,parameters.analysis_type.reporting_options.reporting_options_selector,parameters.analysis_type.sam_opt,parameters.analysis_type.sam_options.__current_case__,parameters.analysis_type.sam_options.no_unal,parameters.analysis_type.sam_options.omit_sec_seq,parameters.analysis_type.sam_options.sam_options_selector,parameters.analysis_type.scoring_options.__current_case__,parameters.analysis_type.scoring_options.ma,parameters.analysis_type.scoring_options.mp,parameters.analysis_type.scoring_options.np,parameters.analysis_type.scoring_options.rdg_read_extend,parameters.analysis_type.scoring_options.rdg_read_open,parameters.analysis_type.scoring_options.rfg_ref_extend,parameters.analysis_type.scoring_options.rfg_ref_open,parameters.analysis_type.scoring_options.scoring_options_selector,parameters.chromInfo,parameters.dbkey,parameters.input_1|__identifier__,parameters.library.__current_case__,parameters.library.aligned_file,parameters.library.input_1.values,parameters.library.input_2.values,parameters.library.paired_options.I,parameters.library.paired_options.X,parameters.library.paired_options.__current_case__,parameters.library.paired_options.dovetail,parameters.library.paired_options.fr_rf_ff,parameters.library.paired_options.no_contain,parameters.library.paired_options.no_discordant,parameters.library.paired_options.no_mixed,parameters.library.paired_options.no_overlap,parameters.library.paired_options.paired_options_selector,parameters.library.type,parameters.library.unaligned_file,parameters.reference_genome.__current_case__,parameters.reference_genome.index,parameters.reference_genome.own_file.values,parameters.reference_genome.source,parameters.rg.__current_case__,parameters.rg.rg_selector,parameters.save_mapping_stats,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
23433632.0,len,2017-11-28 07:42:37.933436,slurm_multi_development,,main_w3_handler2,3339062,17614443,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8043589967,fastqsanger,,,11675343,slurm,,corral-repl,13725373601.0,fasta,,1,yes,slurm_multi_development,0,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,,--sensitive-local,,,,,,,,,,,,,,,,,"""/galaxy-repl/main/files/022/471/dataset_22471550.dat""","""?""",,0,false,"[{'src': 'hda', 'id': 32535970}]",,,,,,,,,,,,single,false,1,,"[{'src': 'hda', 'id': 32576174}]",history,3,do_not_set,"""true""",,42265568,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.3.2.2,2.3.2.2,,2017-11-28 07:47:33.998250,117104,296.064814
,,2018-02-01 00:00:54.005401,slurm_multi,,main_w4_handler2,3024726,18218204,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7159038610,fastqsanger,7159038610.0,fastqsanger,12298461,slurm,,corral-repl,23400734924.0,fasta,,0,no,,1,,,1.0,,,,no,,,,,,,,,full,,,1.0,no,1.0,no,,,,,,,,1.0,,no,,,,0.0,no,true,1.0,,,no,1.0,,,,,,,,no,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,1,false,"[{'src': 'hda', 'id': 33585360}]","[{'src': 'hda', 'id': 33585361}]",,,1.0,,,,,,,no,paired,false,1,,"[{'src': 'hda', 'id': 33585309}]",history,3,do_not_set,"""false""",,43593471,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.3.2.2,2.3.2.2,,2018-02-01 00:11:33.790721,58177,639.7853200000001
,,2018-01-12 02:51:19.372567,slurm_multi,,main_w4_handler2,3388578,18009751,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4695778,fasta,,,12087053,slurm,,corral-repl,886112.0,fasta,,0,no,,0,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,,no_presets,,,,,,,,,,,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,0,false,"[{'src': 'hda', 'id': 33274032}]",,,,,,,,,,,,single,false,1,,"[{'src': 'hda', 'id': 33273678}]",history,3,do_not_set,"""false""",,42919523,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.3.2.2,2.3.2.2,,2018-01-12 02:56:29.619324,117714,310.246757
,,2018-03-07 09:50:25.220353,slurm_multi,,main_w4_handler2,3452509,18636908,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5432882673,fastqsanger,,,12733197,slurm,,corral-repl,43341636.0,fasta,,0,no,,0,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,,no_presets,,,,,,,,,,,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,0,false,"[{'src': 'hda', 'id': 34240780}]",,,,,,,,,,,,single,false,1,,"[{'src': 'hda', 'id': 34261114}]",history,3,do_not_set,"""true""",,44369431,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.3.2.2,2.3.2.2,,2018-03-07 09:52:35.177798,123405,129.957445
,,2018-01-22 23:11:31.161054,slurm_multi,,main_w4_handler2,2572687,18126782,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",172848923,fasta,,,12205953,slurm,,corral-repl,200693491.0,fasta,,0,no,,1,,,1.0,,,,no,,,,,,,,,full,,,1.0,no,1.0,no,,,,,,,,1.0,,no,,,,0.0,no,true,1.0,,,no,1.0,,,,,,,,no,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",,0,false,"[{'src': 'hda', 'id': 33451365}]",,,,,,,,,,,,single,false,1,,"[{'src': 'hda', 'id': 33452684}]",history,3,do_not_set,"""false""",,41893080,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.3.2.2,2.3.2.2,,2018-01-22 23:54:01.801860,63934,2550.6408060000003
,,2017-12-05 08:05:26.684955,slurm_multi,,main_w3_handler2,2863164,17699550,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5962129923,fasta,,,11764178,slurm,,corral-repl,,,,0,no,,0,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,,no_presets,,,,,,,,,,,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,0,false,"[{'src': 'hda', 'id': 32732774}]",,,,,,,,,,,,single,false,0,papHam1,,indexed,3,do_not_set,"""false""",,42464341,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.3.2.2,2.3.2.2,,2017-12-05 08:07:25.756915,92726,119.07196
,,2017-12-05 04:25:00.766170,slurm_multi,,main_w3_handler2,3345719,17698472,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1993156,fasta,,,11763099,slurm,,corral-repl,1017810.0,fasta,,0,no,,0,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,,no_presets,,,,,,,,,,,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,0,false,"[{'src': 'hda', 'id': 32730739}]",,,,,,,,,,,,single,false,1,,"[{'src': 'hda', 'id': 32730332}]",history,3,do_not_set,"""false""",,42460494,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.3.2.2,2.3.2.2,,2017-12-05 04:26:18.333862,117983,77.56769200000001
,,2018-01-07 05:58:31.446508,slurm_multi,,main_w4_handler2,3383811,17964057,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3994033,fasta,,,12040687,slurm,,corral-repl,,,,0,no,,0,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,,no_presets,,,,,,,,,,,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/17477.len""","""17477""",,0,false,"[{'src': 'hda', 'id': 33201914}]",,,,,,,,,,,,single,false,0,papHam1,,indexed,3,do_not_set,"""false""",,43019621,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.3.2.2,2.3.2.2,,2018-01-07 06:00:53.574830,119458,142.128322
,,2017-12-06 18:36:32.186949,slurm_multi,,main_w4_handler2,3355844,17723298,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",195021819,fastqsanger,,,11789169,slurm,,corral-repl,33370674228.0,fasta,,0,no,,0,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,,--sensitive-local,,,,,,,,,,,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,0,true,"[{'src': 'hda', 'id': 32775758}]",,,,,,,,,,,,single,true,1,,"[{'src': 'hda', 'id': 32775528}]",history,2,set_id_auto,"""false""",,42309204,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.3.2.2,2.3.2.2,,2017-12-06 18:51:10.440189,112314,878.25324
,,2018-01-31 10:25:03.909135,slurm_multi,,main_w3_handler2,3024726,18209608,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8243031122,fastqsanger,8243031122.0,fastqsanger,12291614,slurm,,corral-repl,23400734924.0,fasta,,0,no,,1,22,0,0.0,0.0,end-to-end,"L,-0.6,-0.4",yes,15,4,"S,1,1.15",false,"L,0,0.15",false,false,false,full,,,1.0,no,1.0,no,,,,,,,,1.0,,no,,,,2.0,a,true,1.0,,,no,0.0,2,"6,2",1,5,6,5,6,yes,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,1,false,"[{'src': 'hda', 'id': 33585370}]","[{'src': 'hda', 'id': 33585373}]",0,600,0.0,false,--rf,false,true,true,false,yes,paired,false,1,,"[{'src': 'hda', 'id': 33585309}]",history,3,do_not_set,"""true""",,43571910,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.3.2.2,2.3.2.2,,2018-01-31 13:01:28.953946,58177,9385.044811
