create_time,destination_id,exit_code,files,files1,files10,files10_filetype,files11,files11_filetype,files12,files12_filetype,files13,files13_filetype,files14,files14_filetype,files15,files15_filetype,files16,files16_filetype,files17,files17_filetype,files18,files18_filetype,files19,files19_filetype,files1_filetype,files2,files2_filetype,files3,files3_filetype,files4,files4_filetype,files5,files5_filetype,files6,files6_filetype,files7,files7_filetype,files8,files8_filetype,files9,files9_filetype,files_filetype,first_file,first_file_filetype,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.files.values,parameters.filler,parameters.first_file.values,parameters.ignore_dups,parameters.input_header,parameters.key_column,parameters.output_header,parameters.value_columns,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-09-10 13:07:04.185194,slurm_normal,,914382013,914382013,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,tabular,942891382,tabular,main_w3_handler1,3248158,16781903,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10850238.roundup,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31175390}]","""NA""","[{'src': 'hda', 'id': 31175409}]","""false""","""false""","""1""","""false""","[""2""]",,40366821,error,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_multijoin_tool/1.0.0,1.0.0,,2017-09-10 13:09:41.099189,31176,156.913995
2017-03-22 18:17:27.612451,slurm_normal,,5913803930,5913803930,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,tabular,38646019,tabular,main_w4_handler1,2975297,15369020,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9507540.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28882496}]","""--""","[{'src': 'hda', 'id': 28882845}]","""true""","""false""","""6""","""false""","[""1"", ""2"", ""3"", ""4"", ""5""]",,36779014,error,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_multijoin_tool/1.0.0,1.0.0,,2017-03-22 18:20:45.912972,78863,198.300521
2017-09-10 11:02:05.214549,slurm_normal,,1678364261,1678364261,1612030442.0,tabular,1644064504.0,tabular,1638863138.0,tabular,1625046993.0,tabular,1613350125.0,tabular,1626925926.0,tabular,1673853726.0,tabular,1649205678.0,tabular,1674618888.0,tabular,1643043287.0,tabular,tabular,1517270624.0,tabular,1604230265.0,tabular,1614108390.0,tabular,1558490106.0,tabular,1508738799.0,tabular,1590303954.0,tabular,1656068146.0,tabular,1620921680.0,tabular,tabular,1600787644,tabular,main_w4_handler0,3248128,16781563,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10849908.roundup,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31174888}, {'src': 'hda', 'id': 31174889}, {'src': 'hda', 'id': 31174890}, {'src': 'hda', 'id': 31174891}, {'src': 'hda', 'id': 31174892}, {'src': 'hda', 'id': 31174893}, {'src': 'hda', 'id': 31174894}, {'src': 'hda', 'id': 31174895}, {'src': 'hda', 'id': 31174896}, {'src': 'hda', 'id': 31174897}, {'src': 'hda', 'id': 31174898}, {'src': 'hda', 'id': 31174899}, {'src': 'hda', 'id': 31174900}, {'src': 'hda', 'id': 31174901}, {'src': 'hda', 'id': 31174902}, {'src': 'hda', 'id': 31174903}, {'src': 'hda', 'id': 31174904}, {'src': 'hda', 'id': 31174905}, {'src': 'hda', 'id': 31174906}]","""NA""","[{'src': 'hda', 'id': 31174887}]","""false""","""false""","""6""","""false""","[""4""]",,40366821,error,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_multijoin_tool/1.0.0,1.0.0,,2017-09-10 11:04:23.431452,31176,138.216903
2017-01-25 02:37:40.730003,slurm_normal,,5923384255,5923384255,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,tabular,27113364,tabular,main_w4_handler0,2604905,14862467,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9022131.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 28059496}]","""--""","[{'src': 'hda', 'id': 28058901}]","""false""","""false""","""5""","""false""","[""1"", ""2"", ""3"", ""4"", ""5""]",,35551826,error,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_multijoin_tool/1.0.0,1.0.0,,2017-01-25 02:39:47.020341,78863,126.290338
2017-02-28 15:27:35.365810,slurm_normal,,5388700238,5388700238,,,,,,,,,,,,,,,,,,,,,interval,5809174204.0,interval,2541321154.0,interval,5196252632.0,interval,5660639254.0,interval,,,,,,,,,interval,5644566930,interval,main_w3_handler0,2874225,15167631,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9318735.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28553692}, {'src': 'hda', 'id': 28553693}, {'src': 'hda', 'id': 28553694}, {'src': 'hda', 'id': 28553695}, {'src': 'hda', 'id': 28553696}]","""NODATA""","[{'src': 'hda', 'id': 28553697}]","""false""","""false""","""1""","""true""","[""1"", ""2"", ""3"", ""4"", ""5""]",,36286853,error,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_multijoin_tool/1.0.0,1.0.0,,2017-02-28 15:29:26.982072,93353,111.616262
2017-09-10 11:56:42.235476,slurm_normal,,1600787644,1600787644,,,,,,,,,,,,,,,,,,,,,tabular,1678364261.0,tabular,1517270624.0,tabular,1604230265.0,tabular,1614108390.0,tabular,,,,,,,,,tabular,1600787644,tabular,main_w3_handler0,3248128,16781678,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10850004.roundup,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31174887}, {'src': 'hda', 'id': 31174888}, {'src': 'hda', 'id': 31174889}, {'src': 'hda', 'id': 31174890}, {'src': 'hda', 'id': 31174891}]","""NA""","[{'src': 'hda', 'id': 31174887}]","""true""","""false""","""6""","""false""","[""4""]",,40366821,error,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_multijoin_tool/1.0.0,1.0.0,,2017-09-10 11:58:55.978727,31176,133.74325100000001
2017-09-10 10:56:58.475238,slurm_normal,,1678364261,1678364261,1612030442.0,tabular,1644064504.0,tabular,1638863138.0,tabular,1625046993.0,tabular,1613350125.0,tabular,1626925926.0,tabular,1673853726.0,tabular,1649205678.0,tabular,1674618888.0,tabular,1643043287.0,tabular,tabular,1517270624.0,tabular,1604230265.0,tabular,1614108390.0,tabular,1558490106.0,tabular,1508738799.0,tabular,1590303954.0,tabular,1656068146.0,tabular,1620921680.0,tabular,tabular,1600787644,tabular,main_w3_handler0,3248128,16781553,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10849895.roundup,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31174888}, {'src': 'hda', 'id': 31174889}, {'src': 'hda', 'id': 31174890}, {'src': 'hda', 'id': 31174891}, {'src': 'hda', 'id': 31174892}, {'src': 'hda', 'id': 31174893}, {'src': 'hda', 'id': 31174894}, {'src': 'hda', 'id': 31174895}, {'src': 'hda', 'id': 31174896}, {'src': 'hda', 'id': 31174897}, {'src': 'hda', 'id': 31174898}, {'src': 'hda', 'id': 31174899}, {'src': 'hda', 'id': 31174900}, {'src': 'hda', 'id': 31174901}, {'src': 'hda', 'id': 31174902}, {'src': 'hda', 'id': 31174903}, {'src': 'hda', 'id': 31174904}, {'src': 'hda', 'id': 31174905}, {'src': 'hda', 'id': 31174906}]","""NA""","[{'src': 'hda', 'id': 31174887}]","""true""","""false""","""6""","""false""","[""4"", ""5""]",,40366821,error,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_multijoin_tool/1.0.0,1.0.0,,2017-09-10 10:59:21.009912,31176,142.534674
2017-02-28 15:30:11.607783,slurm_normal,,5660639254,5660639254,,,,,,,,,,,,,,,,,,,,,interval,,,,,,,,,,,,,,,,,interval,5644566930,interval,main_w4_handler0,2874225,15167652,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9318757.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28553696}]","""Nodata""","[{'src': 'hda', 'id': 28553697}]","""false""","""false""","""1""","""true""","[""1"", ""2"", ""3"", ""4"", ""5""]",,36286853,error,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_multijoin_tool/1.0.0,1.0.0,,2017-02-28 15:32:18.472585,93353,126.86480200000001
2017-09-10 12:10:31.513259,slurm_normal,,1678364261,1678364261,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,tabular,1600787644,tabular,main_w3_handler1,3248128,16781710,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10850038.roundup,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31174888}]","""NA""","[{'src': 'hda', 'id': 31174887}]","""true""","""false""","""6""","""false""","[""4""]",,40366821,error,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_multijoin_tool/1.0.0,1.0.0,,2017-09-10 12:13:17.515419,31176,166.00216
2017-01-12 17:15:16.603866,slurm_normal,,940456245,940456245,,,,,,,,,,,,,,,,,,,,,tabular,864783805.0,tabular,,,,,,,,,,,,,,,tabular,978292465,tabular,main_w3_handler0,2788086,14751183,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8915858.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 27907809}, {'src': 'hda', 'id': 27907860}]","""0""","[{'src': 'hda', 'id': 27907800}]","""false""","""false""","""1""","""true""","[""1"", ""2""]",,35306453,error,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_multijoin_tool/1.0.0,1.0.0,,2017-01-12 17:19:52.872746,63628,276.26888
