bamInput,bamInput_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.advancedOpt.__current_case__,parameters.advancedOpt.showAdvancedOpt,parameters.bamInput.values,parameters.bamInput|__identifier__,parameters.binSize,parameters.chromInfo,parameters.dbkey,parameters.outFileFormat,parameters.region,parameters.scaling.__current_case__,parameters.scaling.effectiveGenomeSize.__current_case__,parameters.scaling.effectiveGenomeSize.effectiveGenomeSize,parameters.scaling.effectiveGenomeSize.effectiveGenomeSize_opt,parameters.scaling.type,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
19059865863,bam,2017-11-16 11:08:11.858836,slurm_multi,,main_w4_handler2,2946132,17480041,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11538624,slurm,,corral-repl,,0,no,,,0.0,no,"[{'src': 'hda', 'id': 32349664}]",,"""50""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""bigwig""","""""",0,,,,rpkm,,41976562.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.5.0.0,2.5.0.0,,2017-11-16 12:10:13.073542,21426,3721.214706
6822837761,bam,2017-12-07 16:44:47.216176,slurm_multi,,main_w3_handler2,3352737,17738044,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11805797,slurm,,corral-repl,,0,no,,,0.0,no,"[{'src': 'hda', 'id': 32755961}]",,"""50""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","""bigwig""","""""",0,,,,rpkm,,42450869.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.5.0.0,2.5.0.0,,2017-12-07 20:29:26.822712,68175,13479.606536000001
5095996801,bam,2017-07-26 07:33:19.030055,slurm_multi,,main_w3_handler2,3201789,16420707,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10486303,slurm,,corral-repl,,0,no,,,,,"[{'src': 'hda', 'id': 30606482}]",,"""10""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""bigwig""","""""",0,,,,rpkm,,39490712.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.5.0.0,2.5.0.0,,2017-07-26 07:43:43.962739,53772,624.932684
5799652063,bam,2018-03-08 09:08:57.853775,slurm_multi,,main_w4_handler2,3455344,18653840,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12749993,slurm,,corral-repl,,0,no,,,,,"[{'src': 'hda', 'id': 34280266}]",,"""1""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""bigwig""","""""",1,,,,no,,44461031.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.5.0.0,2.5.0.0,,2018-03-08 09:45:43.467902,100624,2205.6141270000003
13746316204,bam,2017-11-16 11:08:10.083329,slurm_multi,,main_w3_handler2,2946132,17480037,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11543341,slurm,,corral-repl,,0,no,,,0.0,no,"[{'src': 'hda', 'id': 32349652}]",,"""50""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""bigwig""","""""",0,,,,rpkm,,41976562.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.5.0.0,2.5.0.0,,2017-11-16 19:29:23.870588,21426,30073.787259
17107717323,bam,2017-04-21 10:01:47.647893,slurm_multi,,main_w3_handler2,3079106,15643044,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9760580,slurm,,corral-repl,,0,no,,,0.0,no,"[{'src': 'hda', 'id': 29290228}]",,"""100""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""bedgraph""","""""",1,,,,no,,37472856.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.5.0.0,2.5.0.0,,2017-04-21 10:08:05.771615,99849,378.12372200000004
5861887545,bam,2017-09-27 20:41:08.405600,slurm_multi,,main_w4_handler2,3243114,16953067,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11021294.roundup,slurm,,corral-repl,,0,no,,,,,"[{'src': 'hda', 'id': 31431944}]",,"""1""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""bigwig""","""""",0,,,,rpkm,,40889037.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.5.0.0,2.5.0.0,,2017-09-27 20:46:01.450524,105583,293.04492400000004
2051,bam,2018-03-08 19:54:20.664603,slurm_multi,,main_w3_handler2,3457125,18662556,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12758736,slurm,,corral-repl,,0,no,,,,,"[{'src': 'hda', 'id': 34302694}]",,"""25""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg_g1k_v37.len""","""hg_g1k_v37""","""bigwig""","""""",2,2.0,,2451960000,1x,,44480084.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.5.0.0,2.5.0.0,,2018-03-08 20:23:29.403371,123659,1748.7387680000002
7011869684,bam,2017-12-07 02:19:07.694628,slurm_multi,,main_w4_handler2,3352737,17727698,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11796061,slurm,,corral-repl,,0,no,,,0.0,no,"[{'src': 'hda', 'id': 32782264}]",,"""50""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","""bigwig""","""""",0,,,,rpkm,,42450869.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.5.0.0,2.5.0.0,,2017-12-07 06:59:58.635832,68175,16850.941204000002
971809,bam,2017-09-04 00:30:01.219310,slurm_multi,,main_w4_handler2,3171048,16727580,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10795723,slurm,,corral-repl,,0,no,,,0.0,no,"[{'src': 'hda', 'id': 31096365}]",,"""1""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""bigwig""","""""",2,1.0,,2150570000,1x,,40232397.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.5.0.0,2.5.0.0,,2017-09-04 00:35:02.014747,32853,300.795437
