create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_control_file,input_control_file1,input_control_file10,input_control_file10_filetype,input_control_file11,input_control_file11_filetype,input_control_file12,input_control_file12_filetype,input_control_file13,input_control_file13_filetype,input_control_file14,input_control_file14_filetype,input_control_file15,input_control_file15_filetype,input_control_file16,input_control_file16_filetype,input_control_file17,input_control_file17_filetype,input_control_file18,input_control_file18_filetype,input_control_file19,input_control_file19_filetype,input_control_file1_filetype,input_control_file2,input_control_file20,input_control_file20_filetype,input_control_file21,input_control_file21_filetype,input_control_file22,input_control_file22_filetype,input_control_file23,input_control_file23_filetype,input_control_file24,input_control_file24_filetype,input_control_file25,input_control_file25_filetype,input_control_file26,input_control_file26_filetype,input_control_file27,input_control_file27_filetype,input_control_file2_filetype,input_control_file3,input_control_file3_filetype,input_control_file4,input_control_file4_filetype,input_control_file5,input_control_file5_filetype,input_control_file6,input_control_file6_filetype,input_control_file7,input_control_file7_filetype,input_control_file8,input_control_file8_filetype,input_control_file9,input_control_file9_filetype,input_control_file_filetype,input_treatment_file,input_treatment_file1,input_treatment_file1_filetype,input_treatment_file2,input_treatment_file2_filetype,input_treatment_file3,input_treatment_file3_filetype,input_treatment_file4,input_treatment_file4_filetype,input_treatment_file5,input_treatment_file5_filetype,input_treatment_file6,input_treatment_file6_filetype,input_treatment_file7,input_treatment_file7_filetype,input_treatment_file_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.advanced_options.__current_case__,parameters.advanced_options.advanced_options_selector,parameters.advanced_options.broad_options.__current_case__,parameters.advanced_options.broad_options.broad_cutoff,parameters.advanced_options.broad_options.broad_options_selector,parameters.advanced_options.broad_options.call_summits,parameters.advanced_options.keep_dup_options.__current_case__,parameters.advanced_options.keep_dup_options.keep_dup_options_selector,parameters.advanced_options.llocal,parameters.advanced_options.nolambda,parameters.advanced_options.ratio,parameters.advanced_options.slocal,parameters.advanced_options.to_large,parameters.bampe,parameters.band_width,parameters.chromInfo,parameters.cutoff_options.__current_case__,parameters.cutoff_options.cutoff_options_selector,parameters.cutoff_options.pvalue,parameters.cutoff_options.qvalue,parameters.dbkey,parameters.effective_genome_size_options.__current_case__,parameters.effective_genome_size_options.effective_genome_size_options_selector,parameters.effective_genome_size_options.gsize,parameters.input_control_file.values,parameters.input_treatment_file.values,parameters.mfold.lower,parameters.mfold.upper,parameters.nomodel_type.__current_case__,parameters.nomodel_type.extsize,parameters.nomodel_type.nomodel_type_selector,parameters.nomodel_type.shift,parameters.outputs,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-10-31 23:30:30.872357,slurm_normal,,main_w3_handler0,3306226,17281749,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1834969076,1834969076,bam,,,,,,,,,,,,,bam,11342754,slurm,,corral-repl,,1,off,,,,,,,,,,,,"""false""","""300""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/papHam.len""",1,qvalue,,0.05,"""papHam""",0,2451960000,,,"[{'src': 'hda', 'id': 31995093}]",5,50,0,,create_model,,"[""peaks_tabular"", ""summits"", ""bdg""]",,41648689,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_callpeak/2.1.1.20160309.0,2.1.1.20160309.0,,2017-10-31 23:31:10.210902,114830,39.338545
2017-10-20 04:28:32.780212,slurm_normal,,main_w4_handler1,3275939,17151602,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",986810962.0,986810962.0,7728774273.0,bam,6014113626.0,bam,6731227276.0,bam,8746895453.0,bam,1363388831.0,bam,1292642716.0,bam,1208262294.0,bam,1285974192.0,bam,3564705965.0,bam,3782838435.0,bam,bam,1566259972.0,2400969636.0,bam,2568977847.0,bam,13284693481.0,bam,8047840047.0,bam,4526882829.0,bam,4818704056.0,bam,,,,,bam,1911409917.0,bam,1446597568.0,bam,1997287034.0,bam,1380527368.0,bam,1578176699.0,bam,1230813355.0,bam,7038441301.0,bam,bam,4420746561,4420746561,bam,5115653728.0,bam,6026388531.0,bam,5125197635.0,bam,5751590072.0,bam,,,,,bam,11209723,slurm,,corral-repl,,1,off,,,,,,,,,,,,"""false""","""158""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",1,qvalue,,0.05,"""?""",0,2451960000,,"[{'src': 'hda', 'id': 31589809}, {'src': 'hda', 'id': 31589844}, {'src': 'hda', 'id': 31633640}, {'src': 'hda', 'id': 31633702}, {'src': 'hda', 'id': 31633785}, {'src': 'hda', 'id': 31633844}, {'src': 'hda', 'id': 31633860}, {'src': 'hda', 'id': 31633900}, {'src': 'hda', 'id': 31636950}, {'src': 'hda', 'id': 31668493}, {'src': 'hda', 'id': 31668494}, {'src': 'hda', 'id': 31670223}, {'src': 'hda', 'id': 31670225}, {'src': 'hda', 'id': 31684206}, {'src': 'hda', 'id': 31684311}, {'src': 'hda', 'id': 31684337}, {'src': 'hda', 'id': 31684347}, {'src': 'hda', 'id': 31684960}, {'src': 'hda', 'id': 31684961}, {'src': 'hda', 'id': 31685020}, {'src': 'hda', 'id': 31685022}, {'src': 'hda', 'id': 31685109}, {'src': 'hda', 'id': 31685437}, {'src': 'hda', 'id': 31767614}, {'src': 'hda', 'id': 31767617}]","[{'src': 'hda', 'id': 31767615}, {'src': 'hda', 'id': 31767616}, {'src': 'hda', 'id': 31767618}, {'src': 'hda', 'id': 31767619}, {'src': 'hda', 'id': 31767620}]",5,250,0,,create_model,,"[""peaks_tabular"", ""summits"", ""bdg""]",,41302037,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_callpeak/2.1.1.20160309.0,2.1.1.20160309.0,,2017-10-20 08:37:31.736221,105071,14938.956009000001
2017-04-20 02:06:23.619620,slurm_normal,,main_w3_handler0,1987500,15630653,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",769228096.0,769228096.0,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,1126781923,1126781923,bam,,,,,,,,,,,,,bam,9748855.roundup,slurm,,corral-repl,,1,off,,,,,,,,,,,,"""false""","""300""","""/galaxy-repl/localdata/chrom/hg19.len""",1,qvalue,,0.05,"""hg19""",0,2451960000,,"[{'src': 'hda', 'id': 29270887}]","[{'src': 'hda', 'id': 29271309}]",5,50,1,200,nomodel,0,"[""peaks_tabular"", ""summits"", ""bdg""]",,37406726,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_callpeak/2.1.1.20160309.0,2.1.1.20160309.0,,2017-04-20 02:07:06.147960,42527,42.52834
2017-10-28 23:31:48.990244,slurm_normal,,main_w3_handler1,3292864,17251859,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1309895263.0,1309895263.0,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,1804886222,1804886222,bam,,,,,,,,,,,,,bam,11312076,slurm,,corral-repl,,1,off,,,,,,,,,,,,"""false""","""300""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/papHam.len""",1,qvalue,,0.05,"""papHam""",0,2451960000,,"[{'src': 'hda', 'id': 31940304}]","[{'src': 'hda', 'id': 31906718}]",5,50,0,,create_model,,"[""peaks_tabular"", ""summits"", ""bdg""]",,41494590,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_callpeak/2.1.1.20160309.0,2.1.1.20160309.0,,2017-10-28 23:32:34.670407,114008,45.680163
2018-03-02 04:40:54.986599,slurm_normal,,main_w4_handler0,3447643,18576263,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1356272216.0,1356272216.0,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,1157229975,1157229975,bam,,,,,,,,,,,,,bam,12670540,slurm,,corral-repl,,1,off,,,,,,,,,,,,"""false""","""300""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/papHam1.len""",1,qvalue,,0.05,"""papHam1""",0,2451960000,,"[{'src': 'hda', 'id': 34161943}]","[{'src': 'hda', 'id': 34143382}]",5,50,0,,create_model,,"[""peaks_tabular"", ""summits"", ""bdg""]",,44258381,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_callpeak/2.1.1.20160309.0,2.1.1.20160309.0,,2018-03-02 04:41:38.933765,98155,43.947166
2017-05-02 16:04:41.792404,slurm_normal,,main_w4_handler0,1987500,15726855,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",769228096.0,769228096.0,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,1126781923,1126781923,bam,,,,,,,,,,,,,bam,9837355.roundup,slurm,,corral-repl,,1,off,,,,,,,,,,,,"""false""","""300""","""/galaxy-repl/localdata/chrom/hg19.len""",1,qvalue,,0.05,"""hg19""",0,2451960000,,"[{'src': 'hda', 'id': 29270887}]","[{'src': 'hda', 'id': 29271309}]",5,50,1,200,nomodel,0,"[""peaks_tabular"", ""summits"", ""bdg""]",,37703893,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_callpeak/2.1.1.20160309.0,2.1.1.20160309.0,,2017-05-02 16:51:35.625552,42527,2813.833148
2017-05-22 12:54:31.929305,slurm_normal,,main_w4_handler0,3121356,15905970,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5376722474.0,5376722474.0,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,5376722474,5376722474,bam,,,,,,,,,,,,,bam,10033083.roundup,slurm,,corral-repl,,1,off,,,,,,,,,,,,"""false""","""300""","""/galaxy-repl/localdata/chrom/papHam.len""",1,qvalue,,0.05,"""papHam""",0,2451960000,,"[{'src': 'hda', 'id': 29715859}]","[{'src': 'hda', 'id': 29715859}]",5,50,0,,create_model,,"[""peaks_tabular"", ""summits"", ""bdg""]",,38125830,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_callpeak/2.1.1.20160309.0,2.1.1.20160309.0,,2017-05-25 07:56:00.134885,106365,241288.20558
2018-03-05 21:21:04.964364,slurm_normal,,main_w4_handler1,3452541,18615566,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4432616537.0,4432616537.0,,,,,,,,,,,,,,,,,,,,,bam,10813441451.0,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,bam,4828605886,4828605886,bam,,,,,,,,,,,,,bam,12711399,slurm,,corral-repl,,0,on,0.0,0.1,broad,,1.0,1,10000,false,1.0,1000,false,"""true""","""300""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/papHam1.len""",1,qvalue,,1e-05,"""papHam1""",0,2451960000,,"[{'src': 'hda', 'id': 34224782}, {'src': 'hda', 'id': 34224783}]","[{'src': 'hda', 'id': 34222504}]",5,50,0,,create_model,,"[""peaks_tabular"", ""summits""]",,44329583,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_callpeak/2.1.1.20160309.0,2.1.1.20160309.0,,2018-03-05 21:24:01.350053,123261,176.385689
2017-06-09 14:47:11.118110,slurm_normal,,main_w4_handler1,3027174,16065297,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4545480669.0,4545480669.0,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,4094292672,4094292672,bam,,,,,,,,,,,,,bam,10153957.roundup,slurm,,corral-repl,,1,off,,,,,,,,,,,,"""false""","""300""","""/galaxy-repl/localdata/chrom/papHam.len""",1,qvalue,,0.05,"""papHam""",0,2451960000,,"[{'src': 'hda', 'id': 28714927}]","[{'src': 'hda', 'id': 29962714}]",5,50,0,,create_model,,"[""peaks_tabular"", ""summits"", ""bdg""]",,38539551,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_callpeak/2.1.1.20160309.0,2.1.1.20160309.0,,2017-06-09 14:48:16.703770,96524,65.58566
2017-10-22 23:49:48.575800,slurm_normal,,main_w3_handler0,3292868,17170131,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1834972104,1834972104,bam,,,,,,,,,,,,,bam,11230119,slurm,,corral-repl,,1,off,,,,,,,,,,,,"""false""","""300""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/papHam.len""",1,qvalue,,0.05,"""papHam""",0,2451960000,,,"[{'src': 'hda', 'id': 31803029}]",10,50,0,,create_model,,"[""peaks_tabular"", ""summits"", ""bdg""]",,41449146,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_callpeak/2.1.1.20160309.0,2.1.1.20160309.0,,2017-10-22 23:50:30.800891,113550,42.225091000000006
