create_time,destination_id,exit_code,handler,history_id,id,imported,info,inputA,inputA_filetype,inputB,inputB_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.inputA,parameters.inputB,parameters.split,parameters.strand,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-10-18 16:15:45.489278,slurm_normal,,main_w2_handler1,1873255,10621010,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",750238,bed,4112817010,bed,4890956.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",20928410,21592046,"""False""","""""",,24558339,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_coveragebed_counts/0.1.0,0.1.0,,2015-10-18 17:02:18.876608,47842.0,2793.38733
2015-03-16 18:49:29.188815,rodeo_normal,,main_w1_handler1,2232863,8959890,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11255803,bed,6545148282,bed,3187140.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",18811268,18849783,"""False""","""""",,21691228,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_coveragebed_counts/0.1.0,0.1.0,,2015-03-16 18:50:46.050421,53985.0,76.86160600000001
2015-04-15 15:30:30.070781,slurm_normal,,main_w1_handler1,2268936,9238664,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",34414,bed,1506701231,bed,3519055.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/011/020/dataset_11020054.dat""","""AGam_P4_LowerCase""",19299047,19285821,"""False""","""""",,20655945,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_coveragebed_counts/0.1.0,0.1.0,,2015-04-15 15:32:56.075847,43673.0,146.005066
2015-04-29 23:06:36.084443,slurm_normal,,main_w1_handler1,2279455,9363914,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1153773190,bed,1048688336,bed,3700133.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",19472034,19462313,"""False""","""""",,22664202,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_coveragebed_counts/0.1.0,0.1.0,,2015-04-29 23:08:35.816152,62700.0,119.73170900000001
2015-04-15 15:44:36.151681,slurm_normal,,main_w2_handler0,2268936,9238847,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",34414,bed,1506701231,bed,3519145.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/011/020/dataset_11020054.dat""","""AGam_P4_LowerCase""",19299047,19285821,"""False""","""""",,20655945,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_coveragebed_counts/0.1.0,0.1.0,,2015-04-15 15:46:38.935868,43673.0,122.784187
2015-07-27 13:53:30.055252,slurm_normal,,main_w1_handler2,2388832,10006741,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",195217,bed,3236057141,bed,4288767.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20579228,20578971,"""False""","""""",,24304034,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_coveragebed_counts/0.1.0,0.1.0,,2015-07-27 13:55:28.637850,66844.0,118.582598
2015-09-22 19:38:14.965933,slurm_normal,,main_w1_handler2,2447506,10384881,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4033959,bed,4219339164,bed,4665825.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",21212234,21212104,"""False""","""""",,24677151,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_coveragebed_counts/0.1.0,0.1.0,,2015-09-22 19:40:17.075673,64938.0,122.10974
2015-03-16 18:49:05.140736,rodeo_normal,,main_w2_handler0,2232863,8959888,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",14770901,bed,6545148282,bed,3187138.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",18852455,18849783,"""False""","""""",,21691228,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_coveragebed_counts/0.1.0,0.1.0,,2015-03-16 18:50:20.916284,53985.0,75.775548
2015-08-10 08:26:18.048140,slurm_normal,,main_w1_handler1,2403953,10090477,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",47204309,bed,618684633,bed,4366190.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",20730820,20725648,"""False""","""""",,24610073,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_coveragebed_counts/0.1.0,0.1.0,,2015-08-10 08:30:14.352381,67547.0,236.30424100000002
2015-12-09 14:40:24.625330,slurm_normal,,main_w1_handler1,2502615,11127179,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",748703737,bed,2267252488,bed,5392649.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/droWil1.len""","""droWil1""",22280200,22365261,"""False""","""""",,26295366,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_coveragebed_counts/0.1.0,0.1.0,,2015-12-09 14:42:11.205563,73210.0,106.580233
2014-11-30 03:52:58.994951,rodeo_normal,,main_w1_handler1,2125855,8270328,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",123188,bed,475410617,bed,2139085.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",17637881,17712087,"""False""","""""",,18459410,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_coveragebed_counts/0.1.0,0.1.0,,2014-11-30 04:00:19.055770,52862.0,440.06081900000004
