create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,otu,otu_filetype,param_filename,parameters.abund,parameters.calc,parameters.chromInfo,parameters.dbkey,parameters.groupmode,parameters.label,parameters.otu.values,parameters.size,parameters.subsample.__current_case__,parameters.subsample.use,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-10-19 13:24:32.737805,slurm_normal,,main_w3_handler0,3292438,17145111,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11202632,slurm,,corral-repl,120302,mothur.shared,,"""10""","[""chao"", ""sobs"", ""shannon""]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""true""",,"[{'src': 'hda', 'id': 31758244}]","""""",1,no,,41393676,error,toolshed.g2.bx.psu.edu/repos/iuc/mothur_summary_single/mothur_summary_single/1.36.1.0,1.36.1.0,,2017-10-19 13:25:39.071628,,66.33382300000001
2017-10-19 13:20:37.252597,slurm_normal,,main_w3_handler1,3292438,17145068,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11202596,slurm,,corral-repl,120302,mothur.shared,,"""10""","[""ace"", ""chao"", ""sobs"", ""simpson"", ""shannon""]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""true""","["""", ""0.97""]","[{'src': 'hda', 'id': 31758244}]","""""",1,no,,41393676,error,toolshed.g2.bx.psu.edu/repos/iuc/mothur_summary_single/mothur_summary_single/1.36.1.0,1.36.1.0,,2017-10-19 13:21:40.537857,,63.28526
