create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_bams_0|input_bam,input_bams_0|input_bam_filetype,input_target_bed,input_target_bed_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.options_type.__current_case__,parameters.options_type.min_coverage,parameters.options_type.options_type_selector,parameters.reference_source.__current_case__,parameters.reference_source.input_bams,parameters.reference_source.ref_file,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,parameters.target_limit_type.__current_case__,parameters.target_limit_type.input_target_bed.values,parameters.target_limit_type.region_chromosome,parameters.target_limit_type.region_end,parameters.target_limit_type.region_start,parameters.target_limit_type.target_limit_type_selector,ref_file,ref_file_filetype,reference_source|input_bams_0|input_bam,reference_source|input_bams_0|input_bam_filetype,reference_source|input_bams_10|input_bam,reference_source|input_bams_10|input_bam_filetype,reference_source|input_bams_11|input_bam,reference_source|input_bams_11|input_bam_filetype,reference_source|input_bams_12|input_bam,reference_source|input_bams_12|input_bam_filetype,reference_source|input_bams_13|input_bam,reference_source|input_bams_13|input_bam_filetype,reference_source|input_bams_14|input_bam,reference_source|input_bams_14|input_bam_filetype,reference_source|input_bams_15|input_bam,reference_source|input_bams_15|input_bam_filetype,reference_source|input_bams_16|input_bam,reference_source|input_bams_16|input_bam_filetype,reference_source|input_bams_17|input_bam,reference_source|input_bams_17|input_bam_filetype,reference_source|input_bams_18|input_bam,reference_source|input_bams_18|input_bam_filetype,reference_source|input_bams_19|input_bam,reference_source|input_bams_19|input_bam_filetype,reference_source|input_bams_1|input_bam,reference_source|input_bams_1|input_bam_filetype,reference_source|input_bams_2|input_bam,reference_source|input_bams_2|input_bam_filetype,reference_source|input_bams_3|input_bam,reference_source|input_bams_3|input_bam_filetype,reference_source|input_bams_4|input_bam,reference_source|input_bams_4|input_bam_filetype,reference_source|input_bams_5|input_bam,reference_source|input_bams_5|input_bam_filetype,reference_source|input_bams_6|input_bam,reference_source|input_bams_6|input_bam_filetype,reference_source|input_bams_7|input_bam,reference_source|input_bams_7|input_bam_filetype,reference_source|input_bams_8|input_bam,reference_source|input_bams_8|input_bam_filetype,reference_source|input_bams_9|input_bam,reference_source|input_bams_9|input_bam_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-11-22 19:30:16.362420,slurm_normal,,main_w3_handler1,2894223,14408299,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,8612988.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",3,,naive,1,"[{'__index__': 0, 'input_bam': {'values': [{'src': 'hda', 'id': 27261459}]}}]",,"[{'src': 'hda', 'id': 27258102}]",history,0,,,,,do_not_limit,8266.0,fasta,689392632.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34254704.0,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/0.4.1,0.4.1,,2016-11-22 19:59:07.112301,94846,1730.7498810000002
2016-02-23 11:26:29.117576,slurm_normal,,main_w2_handler0,2604599,11909526,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8502664863.0,bam,,,6147125.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",4,10,naive_w_filters,1,"[{'__index__': 0, 'input_bam': 23432120}]",23431601,,history,0,,,,,do_not_limit,17350294.0,fasta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26519761.0,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/0.4.1,0.4.1,,2016-02-24 01:38:48.511439,17244,51139.393863000005
2017-03-13 18:01:33.759995,slurm_normal,,main_w3_handler0,2994202,15284098,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,237769378.0,bed,9428167.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",3,,naive,0,"[{'__index__': 0, 'input_bam': {'values': [{'src': 'hda', 'id': 28385848}]}}]",hg38,,cached,1,"[{'src': 'hda', 'id': 28740437}]",,,,limit_by_target_file,,,5681799606.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35898807.0,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/0.4.1,0.4.1,,2017-03-14 07:11:18.008822,68413,47384.248827
2016-07-10 05:44:03.811328,slurm_normal,,main_w2_handler1,2760368,13369292,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,7579502.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",3,,naive,1,"[{'__index__': 0, 'input_bam': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b5ae5581f93c8fbeb5'}]}}, {'__index__': 1, 'input_bam': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b529503690acfb2e9b'}]}}, {'__index__': 2, 'input_bam': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b5e4ece6b720a1b9fb'}]}}, {'__index__': 3, 'input_bam': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b5761c588d941adbbc'}]}}, {'__index__': 4, 'input_bam': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b528e2376070313e08'}]}}, {'__index__': 5, 'input_bam': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b5cdc4d9cb49b27507'}]}}, {'__index__': 6, 'input_bam': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b5c98f50db0ec69e89'}]}}, {'__index__': 7, 'input_bam': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b5f1021782679f0745'}]}}, {'__index__': 8, 'input_bam': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b5c637982a5de975b1'}]}}, {'__index__': 9, 'input_bam': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b540f698521006ed04'}]}}, {'__index__': 10, 'input_bam': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b5662a99e3e83a1b7a'}]}}, {'__index__': 11, 'input_bam': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b52f185c1c0fdf2584'}]}}, {'__index__': 12, 'input_bam': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b5f340299a340d08d2'}]}}, {'__index__': 13, 'input_bam': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b58718241d31e98818'}]}}, {'__index__': 14, 'input_bam': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b5a9ee1b2f5b4473a5'}]}}, {'__index__': 15, 'input_bam': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b5d2b11a4d150aa087'}]}}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e977334cf0e46217'}]",history,0,,,,,do_not_limit,60497880.0,fasta,1843315979.0,bam,1696890983.0,bam,1443046858.0,bam,1617083437.0,bam,1712965532.0,bam,1555151701.0,bam,1532211783.0,bam,,,,,,,,,1841725032.0,bam,1863203248.0,bam,2709572278.0,bam,2056893386.0,bam,2552998351.0,bam,2357593161.0,bam,1950536727.0,bam,1625984011.0,bam,1635866172.0,bam,,31030319.0,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/0.4.1,0.4.1,,2016-07-11 04:13:04.149633,27375,80940.33830500001
2016-12-06 19:17:12.623001,slurm_normal,,main_w4_handler0,2196193,14502268,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,8690183.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",1,,simple,1,"[{'__index__': 0, 'input_bam': {'values': [{'src': 'hda', 'id': 27042777}]}}]",,"[{'src': 'hda', 'id': 27516255}]",history,2,,1,249250621,1,limit_by_region,33261769051.0,fasta,11863853180.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34593277.0,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/0.4.1,0.4.1,,2016-12-07 23:32:07.087299,37892,101694.464298
2017-05-15 13:31:01.745559,slurm_normal,,main_w4_handler0,3111290,15838580,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,9939540.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",4,1000,naive_w_filters,1,"[{'__index__': 0, 'input_bam': {'values': [{'src': 'hda', 'id': 29601800}]}}]",,"[{'src': 'hda', 'id': 29601498}]",history,0,,,,,do_not_limit,9965.0,fasta,805660994.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37976173.0,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/0.4.1,0.4.1,,2017-05-15 13:39:09.274605,105842,487.52904600000005
2016-12-26 13:51:41.940026,slurm_normal,,main_w3_handler1,2939684,14647648,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,8823326.roundup,slurm,,corral-repl,,"""67dbb586cb7211e6a5f3005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",3,,naive,1,"[{'__index__': 0, 'input_bam': {'values': [{'src': 'hda', 'id': 27745224}]}}]",,"[{'src': 'hda', 'id': 27745092}]",history,0,,,,,do_not_limit,13420.0,fasta,127772460.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/0.4.1,0.4.1,,2016-12-27 04:59:29.917400,50564,54467.977374
2016-07-02 02:53:23.637481,slurm_normal,,main_w2_handler0,2755603,13311301,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,7513269.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",4,0,naive_w_filters,0,"[{'__index__': 0, 'input_bam': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b55982d6485c1b82eb'}]}}]",hg38,,cached,0,,,,,do_not_limit,,,5285327.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31200388.0,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/0.4.1,0.4.1,,2016-07-02 02:59:42.468894,75824,378.831413
2017-01-07 09:11:33.749940,slurm_normal,,main_w4_handler1,2948955,14708140,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,8877690.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",3,,naive,1,"[{'__index__': 0, 'input_bam': {'values': [{'src': 'hda', 'id': 27838836}]}}]",,"[{'src': 'hda', 'id': 27838763}]",history,0,,,,,do_not_limit,1855.0,fasta,143996852.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35241341.0,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/0.4.1,0.4.1,,2017-01-07 09:30:42.580761,72262,1148.830821
2016-06-27 01:55:09.099976,slurm_normal,,main_w2_handler1,2747348,13263853,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,7451902.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/90.len""","""90""",4,0,naive_w_filters,1,"[{'__index__': 0, 'input_bam': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b5e756ca47d13203df'}]}}, {'__index__': 1, 'input_bam': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b500e612918b2262ab'}]}}, {'__index__': 2, 'input_bam': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b59faf55a6fed4b91f'}]}}, {'__index__': 3, 'input_bam': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b5b22156261790d43c'}]}}, {'__index__': 4, 'input_bam': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b5e921637fb19152d2'}]}}, {'__index__': 5, 'input_bam': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b5ff72f5fab63d86d9'}]}}, {'__index__': 6, 'input_bam': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b5e7a15794f046aade'}]}}, {'__index__': 7, 'input_bam': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b56c51fdcc0fb5d79e'}]}}, {'__index__': 8, 'input_bam': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b57b55e7af4540b0e9'}]}}, {'__index__': 9, 'input_bam': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b58a2c55253fc6fc14'}]}}, {'__index__': 10, 'input_bam': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b562fcce3fb813fd60'}]}}, {'__index__': 11, 'input_bam': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b576f33ebf301eb3b2'}]}}, {'__index__': 12, 'input_bam': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b53eb1b2707051decb'}]}}, {'__index__': 13, 'input_bam': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b552f1e983def2159e'}]}}, {'__index__': 14, 'input_bam': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b587c3aa5962abe6b7'}]}}, {'__index__': 15, 'input_bam': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b5552a934e73e8a2a8'}]}}, {'__index__': 16, 'input_bam': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b52d691e9725930d6d'}]}}, {'__index__': 17, 'input_bam': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b5d846cbf47fc11369'}]}}, {'__index__': 18, 'input_bam': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b576f33ebf301eb3b2'}]}}, {'__index__': 19, 'input_bam': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b576f33ebf301eb3b2'}]}}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b590846753927bdd81'}]",history,0,,,,,do_not_limit,3314901.0,fasta,584415729.0,bam,862472319.0,bam,851586742.0,bam,1508047284.0,bam,1482527176.0,bam,435820584.0,bam,1576085763.0,bam,2820680585.0,bam,1501683887.0,bam,851586742.0,bam,851586742.0,bam,889016627.0,bam,792611790.0,bam,1518484.0,bam,1162561998.0,bam,2273130547.0,bam,414803954.0,bam,684865285.0,bam,270911.0,bam,789505598.0,bam,,30920537.0,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/0.4.1,0.4.1,,2016-06-27 08:20:35.620880,57573,23126.520904
