chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_concordance,input_concordance_filetype,input_discordance,input_discordance_filetype,input_interval_repeat_0|input_intervals,input_interval_repeat_0|input_intervals_filetype,input_variant,input_variant_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.analysis_param_type.__current_case__,parameters.analysis_param_type.analysis_param_type_selector,parameters.chromInfo,parameters.dbkey,parameters.exclude_filtered,parameters.exclude_sample_name_repeat,parameters.gatk_param_type.__current_case__,parameters.gatk_param_type.baq,parameters.gatk_param_type.baq_gap_open_penalty,parameters.gatk_param_type.default_base_qualities,parameters.gatk_param_type.disable_experimental_low_memory_sharding,parameters.gatk_param_type.downsampling_type.__current_case__,parameters.gatk_param_type.downsampling_type.downsampling_type_selector,parameters.gatk_param_type.gatk_param_type_selector,parameters.gatk_param_type.input_exclude_interval_repeat,parameters.gatk_param_type.input_interval_repeat,parameters.gatk_param_type.interval_merging,parameters.gatk_param_type.interval_set_rule,parameters.gatk_param_type.non_deterministic_random_seed,parameters.gatk_param_type.pedigree,parameters.gatk_param_type.pedigree_string_repeat,parameters.gatk_param_type.pedigree_validation_type,parameters.gatk_param_type.read_filter,parameters.gatk_param_type.read_group_black_list_repeat,parameters.gatk_param_type.use_original_qualities,parameters.gatk_param_type.validation_strictness,parameters.input_concordance,parameters.input_concordance.values,parameters.input_discordance,parameters.input_discordance.values,parameters.reference_source.__current_case__,parameters.reference_source.input_variant,parameters.reference_source.input_variant.values,parameters.reference_source.ref_file,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,parameters.sample_name_repeat,parameters.select_expressions_repeat,ref_file,ref_file_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-05-29 11:44:14.982893,slurm_normal,,main_w1_handler1,2710132,13017064,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,,,326770402,vcf,7200974.roundup,slurm,,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""","""false""",[],0,,,,,,,basic,,,,,,,,,,,,,,,,,0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b526d141d601c95a1f'}]",hg_g1k_v37,,cached,[],[],,,,30327132,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_select/gatk_variant_select/0.0.2,0.0.2,,2016-05-29 11:49:18.862192,84651,303.879299
,,2015-03-30 02:26:09.961046,rodeo_normal,,main_w2_handler1,2245734,9078705,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,,,693715526,vcf,3365495.roundup,slurm,,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",[],1,OFF,40.0,-1,False,0.0,NONE,advanced,[],[],ALL,UNION,False,[],[],STRICT,[],[],False,STRICT,,,,,1,19052501.0,,18957012,,history,[],"[{""__index__"": 0, ""select_expressions"": """"}]",379466370.0,fasta,,21898224,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_select/gatk_variant_select/0.0.2,0.0.2,,2015-03-30 02:28:29.696850,49852,139.735804
,,2015-01-26 19:46:10.690510,rodeo_normal,,main_w1_handler0,2176172,8609149,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10796220779.0,vcf,,,,,6912000,vcf,2570441.roundup,slurm,,corral-repl,,,0.0,basic,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""False""",[],0,,,,,,,basic,,,,,,,,,,,,,18274608,,,,1,18302375.0,,18258696,,history,[],[],3199905909.0,fasta,,20424153,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_select/gatk_variant_select/0.0.2,0.0.2,,2015-01-26 19:53:26.790923,17286,436.100413
,,2016-06-22 07:52:02.293413,slurm_normal,,main_w1_handler1,2736846,13233262,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,,,1114108248,vcf,7418270.roundup,slurm,,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""",[],0,,,,,,,basic,,,,,,,,,,,,,,,,,1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5925fb9bc940d4086'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53f81e05995d8e2e3'}]",history,[],[],6270261.0,fasta,,29463422,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_select/gatk_variant_select/0.0.2,0.0.2,,2016-06-22 07:53:39.849151,75878,97.555738
,,2015-05-07 08:09:42.604946,slurm_normal,,main_w1_handler1,2254940,9418228,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,,,319341017,vcf,3747720.roundup,slurm,,corral-repl,,,0.0,basic,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",[],0,,,,,,,basic,,,,,,,,,,,,,,,,,1,19598988.0,,19079408,,history,[],[],379157083.0,fasta,,22549614,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_select/gatk_variant_select/0.0.2,0.0.2,,2015-05-07 08:12:13.821417,60651,151.216471
,,2015-07-09 11:07:14.408010,slurm_normal,,main_w2_handler1,2254940,9820166,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,,,322664801,vcf,4121944.roundup,slurm,,corral-repl,,"""6c6f610e262a11e5b2ec005056a52a46""",0.0,basic,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",[],0,,,,,,,basic,,,,,,,,,,,,,,,,,1,20275389.0,,19079408,,history,[],[],379157083.0,fasta,,24057746,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_select/gatk_variant_select/0.0.2,0.0.2,,2015-07-09 16:31:10.730420,60651,19436.32241
,,2016-06-20 22:20:26.476544,slurm_normal,,main_w1_handler0,2744891,13216633,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,389149887.0,vcf,,,420701697,vcf,7401127.roundup,slurm,,corral-repl,,,0.0,basic,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""","""false""",[],0,,,,,,,basic,,,,,,,,,,,,,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5467068e375a621b8'}]",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d7e3689f4baab4fc'}]",hg_g1k_v37,,cached,[],[],,,,30977857,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_select/gatk_variant_select/0.0.2,0.0.2,,2016-06-20 22:22:12.108634,50040,105.63209
,,2015-01-25 19:38:49.772540,rodeo_normal,,main_w1_handler1,1104862,8603367,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,30.0,bed,7398865505,vcf,2561246.roundup,slurm,,corral-repl,,,0.0,basic,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""False""",[],1,OFF,40.0,-1,False,0.0,NONE,advanced,[],"[{'input_intervals': 18191312, '__index__': 0}]",ALL,UNION,False,[],[],STRICT,[],[],False,STRICT,,,,,1,18275717.0,,18252376,,history,[],"[{""__index__"": 0, ""select_expressions"": ""\""DP > 35\""""}]",3199905909.0,fasta,,20419807,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_select/gatk_variant_select/0.0.2,0.0.2,,2015-01-25 19:41:19.141004,25699,149.36846400000002
,,2014-11-20 05:34:11.068682,rodeo_normal,,main_w1_handler1,2123961,8208213,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,,,696674452,vcf,2062963.roundup,slurm,,corral-repl,,"""d8c2c810707611e483ad005056a52a46""",0.0,basic,"""/galaxy-repl/main/files/009/304/dataset_9304384.dat""","""IRGSP-1.0""","""False""",[],0,,,,,,,basic,,,,,,,,,,,,,,,,,1,17615292.0,,17614816,,history,[],"[{""__index__"": 0, ""select_expressions"": ""AC==1 || AC==2 || AC==3 || AC==4 || AC==5 || AC==6""}]",379466370.0,fasta,,18124944,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_select/gatk_variant_select/0.0.2,0.0.2,,2014-11-20 05:57:36.661073,49852,1405.5923910000001
,,2016-05-31 15:09:27.236924,slurm_normal,,main_w1_handler0,2710132,13030936,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,,,326770402,vcf,7210108.roundup,slurm,,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""","""false""",[],0,,,,,,,basic,,,,,,,,,,,,,,,,,0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b526d141d601c95a1f'}]",hg_g1k_v37,,cached,[],[],,,,30327132,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_select/gatk_variant_select/0.0.2,0.0.2,,2016-05-31 15:51:05.865853,84651,2498.628929
