conditions_0|samples,conditions_0|samples1,conditions_0|samples1_filetype,conditions_0|samples2,conditions_0|samples2_filetype,conditions_0|samples3,conditions_0|samples3_filetype,conditions_0|samples4,conditions_0|samples4_filetype,conditions_0|samples5,conditions_0|samples5_filetype,conditions_0|samples_filetype,conditions_10|samples,conditions_10|samples1,conditions_10|samples1_filetype,conditions_10|samples_filetype,conditions_11|samples,conditions_11|samples1,conditions_11|samples1_filetype,conditions_11|samples_filetype,conditions_1|samples,conditions_1|samples1,conditions_1|samples1_filetype,conditions_1|samples2,conditions_1|samples2_filetype,conditions_1|samples3,conditions_1|samples3_filetype,conditions_1|samples4,conditions_1|samples4_filetype,conditions_1|samples5,conditions_1|samples5_filetype,conditions_1|samples_filetype,conditions_2|samples,conditions_2|samples1,conditions_2|samples1_filetype,conditions_2|samples2,conditions_2|samples2_filetype,conditions_2|samples3,conditions_2|samples3_filetype,conditions_2|samples4,conditions_2|samples4_filetype,conditions_2|samples5,conditions_2|samples5_filetype,conditions_2|samples_filetype,conditions_3|samples,conditions_3|samples1,conditions_3|samples1_filetype,conditions_3|samples2,conditions_3|samples2_filetype,conditions_3|samples3,conditions_3|samples3_filetype,conditions_3|samples_filetype,conditions_4|samples,conditions_4|samples1,conditions_4|samples1_filetype,conditions_4|samples2,conditions_4|samples2_filetype,conditions_4|samples3,conditions_4|samples3_filetype,conditions_4|samples4,conditions_4|samples4_filetype,conditions_4|samples5,conditions_4|samples5_filetype,conditions_4|samples_filetype,conditions_5|samples,conditions_5|samples1,conditions_5|samples1_filetype,conditions_5|samples2,conditions_5|samples2_filetype,conditions_5|samples3,conditions_5|samples3_filetype,conditions_5|samples_filetype,conditions_6|samples,conditions_6|samples1,conditions_6|samples1_filetype,conditions_6|samples2,conditions_6|samples2_filetype,conditions_6|samples3,conditions_6|samples3_filetype,conditions_6|samples_filetype,conditions_7|samples,conditions_7|samples1,conditions_7|samples1_filetype,conditions_7|samples2,conditions_7|samples2_filetype,conditions_7|samples3,conditions_7|samples3_filetype,conditions_7|samples_filetype,conditions_8|samples,conditions_8|samples1,conditions_8|samples1_filetype,conditions_8|samples2,conditions_8|samples2_filetype,conditions_8|samples_filetype,conditions_9|samples,conditions_9|samples1,conditions_9|samples1_filetype,conditions_9|samples2,conditions_9|samples2_filetype,conditions_9|samples_filetype,create_time,destination_id,exit_code,gtf_input,gtf_input_filetype,handler,history_id,id,imported,in_type|conditions_0|samples,in_type|conditions_0|samples1,in_type|conditions_0|samples1_filetype,in_type|conditions_0|samples2,in_type|conditions_0|samples2_filetype,in_type|conditions_0|samples3,in_type|conditions_0|samples3_filetype,in_type|conditions_0|samples_filetype,in_type|conditions_10|samples,in_type|conditions_10|samples1,in_type|conditions_10|samples1_filetype,in_type|conditions_10|samples_filetype,in_type|conditions_11|samples,in_type|conditions_11|samples1,in_type|conditions_11|samples1_filetype,in_type|conditions_11|samples_filetype,in_type|conditions_12|samples,in_type|conditions_12|samples1,in_type|conditions_12|samples1_filetype,in_type|conditions_12|samples_filetype,in_type|conditions_13|samples,in_type|conditions_13|samples1,in_type|conditions_13|samples1_filetype,in_type|conditions_13|samples_filetype,in_type|conditions_14|samples,in_type|conditions_14|samples1,in_type|conditions_14|samples1_filetype,in_type|conditions_14|samples_filetype,in_type|conditions_15|samples,in_type|conditions_15|samples1,in_type|conditions_15|samples1_filetype,in_type|conditions_15|samples_filetype,in_type|conditions_16|samples,in_type|conditions_16|samples1,in_type|conditions_16|samples1_filetype,in_type|conditions_16|samples_filetype,in_type|conditions_17|samples,in_type|conditions_17|samples1,in_type|conditions_17|samples1_filetype,in_type|conditions_17|samples_filetype,in_type|conditions_18|samples,in_type|conditions_18|samples1,in_type|conditions_18|samples1_filetype,in_type|conditions_18|samples_filetype,in_type|conditions_19|samples,in_type|conditions_19|samples1,in_type|conditions_19|samples1_filetype,in_type|conditions_19|samples_filetype,in_type|conditions_1|samples,in_type|conditions_1|samples1,in_type|conditions_1|samples1_filetype,in_type|conditions_1|samples2,in_type|conditions_1|samples2_filetype,in_type|conditions_1|samples3,in_type|conditions_1|samples3_filetype,in_type|conditions_1|samples_filetype,in_type|conditions_20|samples,in_type|conditions_20|samples1,in_type|conditions_20|samples1_filetype,in_type|conditions_20|samples_filetype,in_type|conditions_21|samples,in_type|conditions_21|samples1,in_type|conditions_21|samples1_filetype,in_type|conditions_21|samples_filetype,in_type|conditions_22|samples,in_type|conditions_22|samples1,in_type|conditions_22|samples1_filetype,in_type|conditions_22|samples_filetype,in_type|conditions_23|samples,in_type|conditions_23|samples1,in_type|conditions_23|samples1_filetype,in_type|conditions_23|samples_filetype,in_type|conditions_24|samples,in_type|conditions_24|samples1,in_type|conditions_24|samples1_filetype,in_type|conditions_24|samples_filetype,in_type|conditions_25|samples,in_type|conditions_25|samples1,in_type|conditions_25|samples1_filetype,in_type|conditions_25|samples_filetype,in_type|conditions_26|samples,in_type|conditions_26|samples1,in_type|conditions_26|samples1_filetype,in_type|conditions_26|samples_filetype,in_type|conditions_27|samples,in_type|conditions_27|samples1,in_type|conditions_27|samples1_filetype,in_type|conditions_27|samples_filetype,in_type|conditions_2|samples,in_type|conditions_2|samples1,in_type|conditions_2|samples1_filetype,in_type|conditions_2|samples_filetype,in_type|conditions_3|samples,in_type|conditions_3|samples1,in_type|conditions_3|samples1_filetype,in_type|conditions_3|samples_filetype,in_type|conditions_4|samples,in_type|conditions_4|samples1,in_type|conditions_4|samples1_filetype,in_type|conditions_4|samples_filetype,in_type|conditions_5|samples,in_type|conditions_5|samples1,in_type|conditions_5|samples1_filetype,in_type|conditions_5|samples_filetype,in_type|conditions_6|samples,in_type|conditions_6|samples1,in_type|conditions_6|samples1_filetype,in_type|conditions_6|samples_filetype,in_type|conditions_7|samples,in_type|conditions_7|samples1,in_type|conditions_7|samples1_filetype,in_type|conditions_7|samples_filetype,in_type|conditions_8|samples,in_type|conditions_8|samples1,in_type|conditions_8|samples1_filetype,in_type|conditions_8|samples_filetype,in_type|conditions_9|samples,in_type|conditions_9|samples1,in_type|conditions_9|samples1_filetype,in_type|conditions_9|samples_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,mask_file,mask_file_filetype,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.additional.__current_case__,parameters.additional.frag_len_std_dev,parameters.additional.frag_mean_len,parameters.additional.sAdditional,parameters.advanced_settings.__current_case__,parameters.advanced_settings.hits_norm,parameters.advanced_settings.library_type,parameters.advanced_settings.mask_file,parameters.advanced_settings.max_bundle_frags,parameters.advanced_settings.max_mle_iterations,parameters.advanced_settings.min_reps_for_js_test,parameters.advanced_settings.num_frag_assign_draws,parameters.advanced_settings.num_frag_count_draws,parameters.advanced_settings.sAdvanced,parameters.advanced_settings.time_series,parameters.bias_correction.__current_case__,parameters.bias_correction.do_bias_correction,parameters.bias_correction.seq_source.__current_case__,parameters.bias_correction.seq_source.index,parameters.bias_correction.seq_source.index_source,parameters.bias_correction.seq_source.ref_file,parameters.chromInfo,parameters.conditions_2|samples,parameters.conditions_3|samples,parameters.conditions_4|samples,parameters.conditions_5|samples,parameters.conditions_6|samples,parameters.conditions_7|samples,parameters.dbkey,parameters.dispersion_method,parameters.fdr,parameters.generate_sqlite,parameters.gtf_input,parameters.gtf_input.values,parameters.in_type.__current_case__,parameters.in_type.conditions,parameters.in_type.set_in_type,parameters.include_count_files,parameters.include_read_group_files,parameters.length_correction,parameters.library_norm_method,parameters.min_alignment_count,parameters.multiread_correct,parameters.omit_tabular_output,ref_file,ref_file_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
3474964546.0,3474964546.0,bam,3453950971.0,bam,3434906082.0,bam,3584357633.0,bam,3606352845.0,bam,bam,,,,,,,,,3114035669.0,3114035669.0,bam,3050244773.0,bam,3415416489.0,bam,3224123296.0,bam,3295232069.0,bam,bam,2867496555.0,2867496555.0,bam,3728034377.0,bam,3434906082.0,bam,5114682100.0,bam,3904911946.0,bam,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-09-12 00:12:53.236242,slurm_multi_dynamic_walltime,,189493433,gtf,main_w2_handler2,2436485,10306055,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4590868,slurm,,,,corral-repl,,0,no,,,0,,,No,0.0,,,,,,,,,No,,1,No,,,,,"""/galaxy-repl/localdata/chrom/?.len""",,,,,,,"""?""","""pooled""","""0.05""","""False""",21089852,,0,"[{'__index__': 0, 'name': 'Proximal', 'samples': '21089838,21089843,21089846,21089848,21089851'}, {'__index__': 1, 'name': 'Middle', 'samples': '21089839,21089840,21089844,21089847,21089849'}, {'__index__': 2, 'name': 'Distal', 'samples': '21089841,21089842,21089846,21089850,21090005'}]",BAM,"""No""","""No""","""""","""geometric""","""10""","""False""","""False""",,,,25095828,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff/2.2.1.2,2.2.1.2,,2015-09-12 04:54:55.014359,68968,16921.778117
1360983697.0,1360983697.0,bam,1411875531.0,bam,1223628786.0,bam,1389867099.0,bam,,,bam,,,,,,,,,1186418472.0,1186418472.0,bam,1578054111.0,bam,1342532497.0,bam,1526854558.0,bam,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-08-15 12:48:17.194399,slurm_multi_dynamic_walltime,,1330273532,gtf,main_w2_handler2,2374101,10124789,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4397280,slurm,,,,corral-repl,,0,no,,,0,,,No,0.0,,,,,,,,,No,,1,No,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""",,,,,,,"""hg19""","""pooled""","""0.05""","""True""",20773067,,0,"[{'__index__': 0, 'name': 'sh113', 'samples': '20484575,20484582,20484590,20491863'}, {'__index__': 1, 'name': 'shFF', 'samples': '20484605,20484613,20484620,20484628'}]",BAM,"""Yes""","""No""","""""","""geometric""","""10""","""False""","""False""",,,,24121586,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff/2.2.1.2,2.2.1.2,,2015-08-15 13:42:11.029020,51071,3233.8346210000004
2027614616.0,2027614616.0,bam,1536628393.0,bam,1867519155.0,bam,,,,,bam,,,,,,,,,1506260551.0,1506260551.0,bam,1328555360.0,bam,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-07-22 06:05:08.410755,slurm_multi_dynamic_walltime,,84207474,gtf,main_w2_handler2,2365003,9937534,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4223492,slurm,,,,corral-repl,,0,no,,,0,,,No,,,,,,,,,,,,0,Yes,0.0,mm9,cached,,"""/galaxy-repl/localdata/chrom/mm9.len""",,,,,,,"""mm9""","""pooled""","""0.05""","""False""",20331740,,0,"[{'__index__': 0, 'name': 'cont_B', 'samples': '20444752,20444757,20444763'}, {'__index__': 1, 'name': 'con_kras_B', 'samples': '20444768,20444774'}]",BAM,"""No""","""No""","""""","""geometric""","""10""","""True""","""False""",,,,24118349,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff/2.2.1.2,2.2.1.2,,2015-07-22 07:07:24.412672,49002,3736.001917
2027614616.0,2027614616.0,bam,1536628393.0,bam,1867519155.0,bam,,,,,bam,,,,,,,,,1506260551.0,1506260551.0,bam,1328555360.0,bam,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-07-21 10:38:27.389899,slurm_multi_dynamic_walltime,,84207474,gtf,main_w2_handler2,2365003,9925586,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4213030,slurm,,,,corral-repl,,0,no,,,0,,,No,,,,,,,,,,,,0,Yes,0.0,mm9,cached,,"""/galaxy-repl/localdata/chrom/mm9.len""",,,,,,,"""mm9""","""pooled""","""0.05""","""False""",20331740,,0,"[{'__index__': 0, 'name': 'cont_B', 'samples': '20444752,20444757,20444763'}, {'__index__': 1, 'name': 'con_kras_B', 'samples': '20444768,20444774'}]",BAM,"""No""","""No""","""""","""geometric""","""10""","""True""","""False""",,,,24118349,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff/2.2.1.2,2.2.1.2,,2015-07-21 11:30:45.374749,49002,3137.9848500000003
1867519155.0,1867519155.0,bam,1536628393.0,bam,2027614616.0,bam,,,,,bam,,,,,,,,,1328555360.0,1328555360.0,bam,1506260551.0,bam,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-07-22 11:16:53.159846,slurm_multi_dynamic_walltime,,84207474,gtf,main_w2_handler2,2374282,9940107,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4225758,slurm,,,,corral-repl,,0,no,,,0,,,No,,,,,,,,,,,,0,Yes,0.0,mm9,cached,,"""/galaxy-repl/localdata/chrom/mm9.len""",,,,,,,"""mm9""","""pooled""","""0.05""","""False""",20331738,,0,"[{'__index__': 0, 'name': 'cont_B', 'samples': '20475625,20475626,20475628'}, {'__index__': 1, 'name': 'cont_kras_B', 'samples': '20475623,20475624'}]",BAM,"""No""","""No""","""""","""geometric""","""10""","""True""","""False""",,,,24118349,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff/2.2.1.2,2.2.1.2,,2015-07-22 12:13:28.167294,49002,3395.0074480000003
1360983697.0,1360983697.0,bam,1411875531.0,bam,1223628786.0,bam,1389867099.0,bam,,,bam,,,,,,,,,1186418472.0,1186418472.0,bam,1578054111.0,bam,1342532497.0,bam,1526854558.0,bam,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-08-10 17:08:14.230864,slurm_multi_dynamic_walltime,,1367601568,gtf,main_w2_handler2,2374101,10093399,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4368923,slurm,,,,corral-repl,,0,no,,,0,,,No,0.0,,,,,,,,,No,,1,No,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""",,,,,,,"""hg19""","""pooled""","""0.05""","""False""",20624096,,0,"[{'__index__': 0, 'name': 'sh113', 'samples': '20484575,20484582,20484590,20491863'}, {'__index__': 1, 'name': 'shFF', 'samples': '20484605,20484613,20484620,20484628'}]",BAM,"""No""","""No""","""""","""geometric""","""10""","""False""","""False""",,,,24249748,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff/2.2.1.2,2.2.1.2,,2015-08-10 18:01:21.508591,51071,3187.277727
6104998211.0,6104998211.0,bam,3060793607.0,bam,5989510607.0,bam,5557499045.0,bam,,,bam,,,,,,,,,6269870146.0,6269870146.0,bam,5470977628.0,bam,3434683141.0,bam,4647697524.0,bam,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-08-28 02:18:13.844993,slurm_multi_dynamic_walltime,,89985589,gtf,main_w2_handler2,2419388,10214195,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4484501,slurm,,182033.0,gtf,corral-repl,,0,no,,,0,,,No,1.0,--compatible-hits-norm,auto,20928930.0,500000,5000,3,50,100,Yes,False,0,Yes,0.0,mm10,cached,,"""/galaxy-repl/localdata/chrom/mm10.len""",,,,,,,"""mm10""","""pooled""","""0.05""","""True""",20915851,,0,"[{'__index__': 0, 'name': 'control', 'samples': '20907891,20931688,20931692,20931694'}, {'__index__': 1, 'name': 'dDAVP', 'samples': '20907894,20907895,20907896,20931690'}]",BAM,"""No""","""No""","""""","""geometric""","""10""","""True""","""False""",,,,24845514,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff/2.2.1.2,2.2.1.2,,2015-08-28 07:16:09.073446,56262,17875.228453
505153284.0,505153284.0,bam,506797107.0,bam,542012977.0,bam,,,,,bam,,,,,,,,,525459505.0,525459505.0,bam,503678069.0,bam,507932436.0,bam,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-07-10 21:07:28.254010,slurm_multi_dynamic_walltime,,35946424,gtf,main_w2_handler2,2371847,9835228,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4132725,slurm,,,,corral-repl,,0,no,,,0,,,No,0.0,,,,,,,,,No,,1,No,,,,,"""/galaxy-repl/localdata/chrom/ce10.len""",,,,,,,"""ce10""","""pooled""","""0.05""","""False""",20301302,,0,"[{'__index__': 0, 'name': 'EV+J', 'samples': '20299560,20299566,20299571'}, {'__index__': 1, 'name': 'SKN-1+J', 'samples': '20299997,20300033,20300038'}]",BAM,"""No""","""No""","""""","""geometric""","""10""","""False""","""False""",,,,24005967,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff/2.2.1.2,2.2.1.2,,2015-07-10 22:04:27.973059,65468,3419.7190490000003
459321189.0,459321189.0,bam,457767842.0,bam,493251709.0,bam,,,,,bam,,,,,,,,,440266115.0,440266115.0,bam,424848381.0,bam,465250974.0,bam,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-06-17 18:27:37.957582,slurm_multi_dynamic_walltime,,35946424,gtf,main_w2_handler2,2337352,9676114,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3985737,slurm,,,,corral-repl,,0,no,,,0,,,No,0.0,,,,,,,,,No,,0,Yes,0.0,ce10,cached,,"""/galaxy-repl/localdata/chrom/ce10.len""",,,,,,,"""ce10""","""pooled""","""0.05""","""False""",20043038,,0,"[{'__index__': 0, 'name': 'N2 DMSO', 'samples': '20031894,20031919,20031950'}, {'__index__': 1, 'name': 'N2 Psora-4', 'samples': '20031899,20031929,20031955'}]",BAM,"""No""","""No""","""--no-length-correction""","""geometric""","""10""","""False""","""False""",,,,23634438,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff/2.2.1.2,2.2.1.2,,2015-06-17 19:37:13.837491,63864,4175.879909
995113689.0,995113689.0,bam,,,,,,,,,bam,1043316023.0,1043316023.0,bam,bam,1021111324.0,1021111324.0,bam,bam,875188812.0,875188812.0,bam,,,,,,,,,bam,898301864.0,898301864.0,bam,,,,,,,,,bam,972318991.0,972318991.0,bam,,,,,bam,988786311.0,988786311.0,bam,,,,,,,,,bam,1333504919.0,1333504919.0,bam,,,,,bam,883984087.0,883984087.0,bam,,,,,bam,1056503110.0,1056503110.0,bam,,,,,bam,1000356856.0,1000356856.0,bam,,,bam,937973887.0,937973887.0,bam,,,bam,2015-06-25 02:44:51.386601,slurm_multi_dynamic_walltime,,117820638,gtf,main_w2_handler2,2351271,9728728,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4035340,slurm,,,,corral-repl,,0,no,,,0,,,No,0.0,,,,,,,,,No,,1,No,,,,,"""/galaxy-repl/localdata/chrom/mm9.len""",,,,,,,"""mm9""","""pooled""","""0.05""","""False""",20125065,,0,"[{'__index__': 0, 'name': 'k4day0', 'samples': '20101196'}, {'__index__': 1, 'name': 'k4day2', 'samples': '20101201'}, {'__index__': 2, 'name': 'k4day7', 'samples': '20101207'}, {'__index__': 3, 'name': 'k6day0', 'samples': '20101213'}, {'__index__': 4, 'name': 'k6day2', 'samples': '20101220'}, {'__index__': 5, 'name': 'k6day7', 'samples': '20101228'}, {'__index__': 6, 'name': 'w1day0', 'samples': '20101235'}, {'__index__': 7, 'name': 'w1day2', 'samples': '20101241'}, {'__index__': 8, 'name': 'w1day7', 'samples': '20101246'}, {'__index__': 9, 'name': 'w2day0', 'samples': '20101251'}, {'__index__': 10, 'name': 'w2day2', 'samples': '20101257'}, {'__index__': 11, 'name': 'w2day7', 'samples': '20101280'}]",BAM,"""No""","""No""","""""","""geometric""","""10""","""False""","""False""",,,,23747711,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff/2.2.1.2,2.2.1.2,,2015-06-25 03:14:46.157605,65111,1794.7710040000002
