create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_bams_0|input_bam,input_bams_0|input_bam_filetype,input_bams_10|input_bam,input_bams_10|input_bam_filetype,input_bams_11|input_bam,input_bams_11|input_bam_filetype,input_bams_12|input_bam,input_bams_12|input_bam_filetype,input_bams_13|input_bam,input_bams_13|input_bam_filetype,input_bams_14|input_bam,input_bams_14|input_bam_filetype,input_bams_15|input_bam,input_bams_15|input_bam_filetype,input_bams_16|input_bam,input_bams_16|input_bam_filetype,input_bams_17|input_bam,input_bams_17|input_bam_filetype,input_bams_18|input_bam,input_bams_18|input_bam_filetype,input_bams_19|input_bam,input_bams_19|input_bam_filetype,input_bams_1|input_bam,input_bams_1|input_bam_filetype,input_bams_20|input_bam,input_bams_20|input_bam_filetype,input_bams_21|input_bam,input_bams_21|input_bam_filetype,input_bams_22|input_bam,input_bams_22|input_bam_filetype,input_bams_23|input_bam,input_bams_23|input_bam_filetype,input_bams_24|input_bam,input_bams_24|input_bam_filetype,input_bams_25|input_bam,input_bams_25|input_bam_filetype,input_bams_26|input_bam,input_bams_26|input_bam_filetype,input_bams_27|input_bam,input_bams_27|input_bam_filetype,input_bams_2|input_bam,input_bams_2|input_bam_filetype,input_bams_3|input_bam,input_bams_3|input_bam_filetype,input_bams_4|input_bam,input_bams_4|input_bam_filetype,input_bams_5|input_bam,input_bams_5|input_bam_filetype,input_bams_6|input_bam,input_bams_6|input_bam_filetype,input_bams_7|input_bam,input_bams_7|input_bam_filetype,input_bams_8|input_bam,input_bams_8|input_bam_filetype,input_bams_9|input_bam,input_bams_9|input_bam_filetype,input_target_bed,input_target_bed_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.options_type.O,parameters.options_type.__current_case__,parameters.options_type.algorithmic_features.__current_case__,parameters.options_type.algorithmic_features.algorithmic_features_selector,parameters.options_type.allele_scope.I,parameters.options_type.allele_scope.X,parameters.options_type.allele_scope.__current_case__,parameters.options_type.allele_scope.allele_scope_selector,parameters.options_type.allele_scope.haplotype_length,parameters.options_type.allele_scope.i,parameters.options_type.allele_scope.min_repeat_entropy,parameters.options_type.allele_scope.min_repeat_length,parameters.options_type.allele_scope.n,parameters.options_type.allele_scope.no_partial_observations,parameters.options_type.allele_scope.u,parameters.options_type.genotype_likelihoods.__current_case__,parameters.options_type.genotype_likelihoods.genotype_likelihoods_selector,parameters.options_type.input_filters.C,parameters.options_type.input_filters.F,parameters.options_type.input_filters.G,parameters.options_type.input_filters.R,parameters.options_type.input_filters.Y,parameters.options_type.input_filters.__current_case__,parameters.options_type.input_filters.e,parameters.options_type.input_filters.input_filters_selector,parameters.options_type.input_filters.m,parameters.options_type.input_filters.min_alternate_qsum,parameters.options_type.input_filters.min_coverage,parameters.options_type.input_filters.mismatch_filters.__current_case__,parameters.options_type.input_filters.mismatch_filters.mismatch_filters_selector,parameters.options_type.input_filters.q,parameters.options_type.input_filters.standard_filters,parameters.options_type.input_filters.use_duplicate_reads,parameters.options_type.min_coverage,parameters.options_type.optional_inputs.__current_case__,parameters.options_type.optional_inputs.optional_inputs_selector,parameters.options_type.options_type_selector,parameters.options_type.population_mappability_priors.__current_case__,parameters.options_type.population_mappability_priors.population_mappability_priors_selector,parameters.options_type.population_model.J,parameters.options_type.population_model.K,parameters.options_type.population_model.P,parameters.options_type.population_model.T,parameters.options_type.population_model.__current_case__,parameters.options_type.population_model.population_model_selector,parameters.options_type.reference_allele.__current_case__,parameters.options_type.reference_allele.reference_allele_selector,parameters.options_type.reporting.__current_case__,parameters.options_type.reporting.reporting_selector,parameters.reference_source.__current_case__,parameters.reference_source.input_bams,parameters.reference_source.ref_file,parameters.reference_source.reference_source_selector,parameters.target_limit_type.__current_case__,parameters.target_limit_type.input_target_bed,parameters.target_limit_type.target_limit_type_selector,ref_file,ref_file_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-09-22 02:01:45.658589,slurm_normal,,main_w2_handler0,2433315,10378737,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1998099122,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4659830.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,naive_w_filters,,,,,,,,,,,,,1,"[{'__index__': 0, 'input_bam': 21167906}]",21167766,history,0,,do_not_limit,2789884177.0,fasta,,25233801,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/0.4,0.4,,2015-09-22 03:42:09.979628,67748.0,6024.321039
2015-11-13 10:46:59.424564,slurm_normal,,main_w1_handler1,2504246,10892508,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3399923,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5145655.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",False,0.0,1.0,False,False,True,0.0,True,3,False,0,5,0,False,True,1.0,False,2,0.05,1,0,0,0.0,1000,True,1,0,0,1.0,False,0,False,False,,1.0,False,full,1.0,False,False,True,1000,0.001,0.0,True,1.0,False,1.0,False,1,"[{'__index__': 0, 'input_bam': 21977990}]",21977723,history,0,,do_not_limit,232646.0,fasta,,26243118,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/0.4,0.4,,2015-11-13 10:47:52.705018,73354.0,53.280454000000006
2015-11-12 17:46:53.046940,slurm_normal,,main_w2_handler0,2504501,10887868,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2670944,bam,16581487.0,bam,88310587.0,bam,35104735.0,bam,82043957.0,bam,71823968.0,bam,87485077.0,bam,100205074.0,bam,92391745.0,bam,49284257.0,bam,3113703.0,bam,103249667.0,bam,8755238.0,bam,2606376.0,bam,12914350.0,bam,7826311.0,bam,89376183.0,bam,2648237.0,bam,135764711.0,bam,131134781.0,bam,1648554.0,bam,54201629.0,bam,100650340.0,bam,34830276.0,bam,30474436.0,bam,143277650.0,bam,43565110.0,bam,72598707.0,bam,935.0,bed,5141176.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,0,"[{'__index__': 0, 'input_bam': 21982527}, {'__index__': 1, 'input_bam': 21982525}, {'__index__': 2, 'input_bam': 21982502}, {'__index__': 3, 'input_bam': 21982499}, {'__index__': 4, 'input_bam': 21982476}, {'__index__': 5, 'input_bam': 21982432}, {'__index__': 6, 'input_bam': 21982385}, {'__index__': 7, 'input_bam': 21982335}, {'__index__': 8, 'input_bam': 21982284}, {'__index__': 9, 'input_bam': 21982224}, {'__index__': 10, 'input_bam': 21982085}, {'__index__': 11, 'input_bam': 21982055}, {'__index__': 12, 'input_bam': 21981884}, {'__index__': 13, 'input_bam': 21981825}, {'__index__': 14, 'input_bam': 21981710}, {'__index__': 15, 'input_bam': 21981625}, {'__index__': 16, 'input_bam': 21981436}, {'__index__': 17, 'input_bam': 21981309}, {'__index__': 18, 'input_bam': 21981234}, {'__index__': 19, 'input_bam': 21981089}, {'__index__': 20, 'input_bam': 21981041}, {'__index__': 21, 'input_bam': 21980987}, {'__index__': 22, 'input_bam': 21980955}, {'__index__': 23, 'input_bam': 21980896}, {'__index__': 24, 'input_bam': 21980848}, {'__index__': 25, 'input_bam': 21980706}, {'__index__': 26, 'input_bam': 21979514}, {'__index__': 27, 'input_bam': 21977908}]",hg_g1k_v37,cached,1,21980124.0,limit_by_target_file,,,,26241665,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/0.4,0.4,,2015-11-12 18:15:05.492628,,1692.445688
2015-04-03 21:46:40.352054,slurm_normal,,main_w2_handler0,2252572,9136910,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12214522440,bam,,,,,,,,,,,,,,,,,,,,,11727230121.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3419875.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,1,"[{'__index__': 0, 'input_bam': 19126448}, {'__index__': 1, 'input_bam': 19126445}]",19045697,history,0,,do_not_limit,72911062.0,fasta,,22090955,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/0.4,0.4,,2015-04-03 22:05:25.972996,61618.0,1125.620942
2015-07-22 13:04:48.676890,slurm_normal,,main_w2_handler0,2385014,9941070,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",13455375,bam,,,,,,,,,,,,,,,,,,,,,10137618.0,bam,,,,,,,,,,,,,,,,,10166782.0,bam,,,,,,,,,,,,,,,4493036040.0,bed,4226548.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",False,0.0,1.0,False,,,1.0,False,,,,,,,,1.0,False,,,,,,1.0,,False,,,,,,,,,,1.0,False,full,1.0,False,,,,,1.0,False,1.0,False,1.0,False,0,"[{'__index__': 0, 'input_bam': 20472201}, {'__index__': 1, 'input_bam': 20472219}, {'__index__': 2, 'input_bam': 20472228}]",hg19,cached,1,20477235.0,limit_by_target_file,,,,24111897,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/0.4,0.4,,2015-07-22 13:08:03.381331,66056.0,194.704441
2015-03-20 10:41:55.490614,rodeo_normal,,main_w2_handler0,2220229,8995473,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",462877735,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3254635.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,0,"[{'__index__': 0, 'input_bam': 18909915}]",hg38,cached,0,,do_not_limit,,,,21919698,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/0.4,0.4,,2015-03-20 11:36:09.971542,60229.0,3254.4809280000004
2015-05-29 09:12:42.230391,slurm_normal,,main_w1_handler0,2130792,9560985,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",217072691,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3874564.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,naive_w_filters,,,,,,,,,,,,,1,"[{'__index__': 0, 'input_bam': 19826184}]",19851931,history,0,,do_not_limit,16189.0,fasta,,21900318,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/0.4,0.4,,2015-05-29 09:25:11.273029,55464.0,749.042638
2015-11-13 10:59:39.225328,slurm_normal,,main_w2_handler1,2504246,10892702,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3399923,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5145728.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",False,0.0,1.0,False,False,True,0.0,True,3,False,0,5,0,False,True,1.0,False,2,0.05,1,0,0,0.0,1000,True,1,0,30,1.0,False,0,False,False,,1.0,False,full,1.0,False,False,True,100,0.001,0.0,True,1.0,False,1.0,False,1,"[{'__index__': 0, 'input_bam': 21977990}]",21977723,history,0,,do_not_limit,232646.0,fasta,,26243118,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/0.4,0.4,,2015-11-13 11:01:04.351176,73354.0,85.125848
2015-12-07 15:53:08.280621,slurm_normal,,main_w2_handler0,2519831,11111185,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3491700612,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5376693.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",True,0.0,1.0,False,,,1.0,False,,,,,,,,1.0,False,,,,,,1.0,,False,,,,,,,,,,1.0,False,full,1.0,False,,,,,1.0,False,1.0,False,1.0,False,1,"[{'__index__': 0, 'input_bam': 22279070}]",22171971,history,0,,do_not_limit,27203948.0,fasta,,26489179,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/0.4,0.4,,2015-12-07 16:00:03.579646,60465.0,415.29902500000003
2015-11-16 08:12:04.394496,slurm_normal,,main_w1_handler1,2480626,10911907,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1742139522,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5165341.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/012/720/dataset_12720835.dat""","""v3""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"[{'__index__': 0, 'input_bam': 21988890}]",21674236,history,0,,do_not_limit,4708053.0,fasta,,25768884,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/0.4,0.4,,2015-11-16 08:36:51.660716,42165.0,1487.2662200000002
