chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.adv_opts.__current_case__,parameters.adv_opts.adv_optional_id_files_opts.__current_case__,parameters.adv_opts.adv_optional_id_files_opts.adv_optional_id_files_opts_selector,parameters.adv_opts.adv_opts_selector,parameters.adv_opts.filter_query,parameters.adv_opts.identity_cutoff,parameters.adv_opts.max_hits,parameters.adv_opts.max_hsps,parameters.adv_opts.parse_deflines,parameters.adv_opts.qcov_hsp_perc,parameters.adv_opts.strand,parameters.adv_opts.ungapped,parameters.adv_opts.word_size,parameters.blast_type,parameters.chromInfo,parameters.db_opts.__current_case__,parameters.db_opts.database,parameters.db_opts.db_opts_selector,parameters.db_opts.histdb,parameters.db_opts.subject,parameters.db_opts.subject.values,parameters.dbkey,parameters.evalue_cutoff,parameters.output.__current_case__,parameters.output.out_format,parameters.query.values,query,query_filetype,runner_name,session_id,state,subject,subject_filetype,tool_id,tool_version,traceback,update_time,user_id,runtime
24.0,len,2018-02-28 16:43:24.773554,slurm_normal,,main_w4_handler0,2980527,18551292,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12647437,slurm,,corral-repl,,0,,,basic,,,,,,,,,,"""megablast""","""/galaxy-repl/main/files/019/830/dataset_19830893.dat""",0,"['13apr2014-htgs', '17apr2014-nt', '20apr2014-wgs', '/galaxy/data/blastdb/phiX/phiX']",db,,,,"""?""","""0.001""",1.0,ext,"[{'src': 'hda', 'id': 34121236}]",940,fasta,,43693805,error,,,toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastn_wrapper/0.2.01,0.2.01,,2018-02-28 16:44:34.605121,99240.0,69.831567
,,2018-02-22 22:15:27.813308,slurm_normal,,main_w4_handler0,2036840,18489911,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12585278,slurm,,corral-repl,,0,,,basic,,,,,,,,,,"""megablast""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,"['13apr2014-htgs', '17apr2014-nt', '20apr2014-wgs', '/galaxy/data/blastdb/phiX/phiX']",db,,,,"""?""","""0.001""",1.0,ext,"[{'src': 'hda', 'id': 34023011}]",1215,fasta,,43945103,error,,,toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastn_wrapper/0.2.01,0.2.01,,2018-02-22 22:23:48.421422,52619.0,500.60811400000006
,,2018-02-23 02:53:53.022194,slurm_normal,,main_w4_handler1,2036840,18492167,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12587831,slurm,,corral-repl,,0,,,basic,,,,,,,,,,"""blastn""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,"['13apr2014-htgs', '17apr2014-nt', '20apr2014-wgs', '/galaxy/data/blastdb/phiX/phiX']",db,,,,"""?""","""0.001""",1.0,ext,"[{'src': 'hda', 'id': 34022986}]",742153,fasta,,43945103,error,,,toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastn_wrapper/0.2.01,0.2.01,,2018-02-23 08:07:40.719733,52619.0,18827.697539
,,2018-02-23 02:53:53.684586,slurm_normal,,main_w4_handler1,2036840,18492171,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12588240,slurm,,corral-repl,,0,,,basic,,,,,,,,,,"""blastn""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,"['13apr2014-htgs', '17apr2014-nt', '20apr2014-wgs', '/galaxy/data/blastdb/phiX/phiX']",db,,,,"""?""","""0.001""",1.0,ext,"[{'src': 'hda', 'id': 34023016}]",24366,fasta,,43945103,error,,,toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastn_wrapper/0.2.01,0.2.01,,2018-02-23 05:47:58.620313,52619.0,10444.935727
,,2018-02-22 22:15:26.536264,slurm_normal,,main_w4_handler0,2036840,18489909,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12585697,slurm,,corral-repl,,0,,,basic,,,,,,,,,,"""megablast""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,"['13apr2014-htgs', '17apr2014-nt', '20apr2014-wgs', '/galaxy/data/blastdb/phiX/phiX']",db,,,,"""?""","""0.001""",1.0,ext,"[{'src': 'hda', 'id': 34022986}]",742153,fasta,,43945103,error,,,toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastn_wrapper/0.2.01,0.2.01,,2018-02-22 23:08:22.664177,52619.0,3176.1279130000003
,,2018-03-06 06:27:48.106878,slurm_normal,,main_w3_handler0,3439715,18618887,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12715244,slurm,,corral-repl,,0,,,basic,,,,,,,,,,"""blastn""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,"['13apr2014-htgs', '17apr2014-nt', '20apr2014-wgs', '/galaxy/data/blastdb/phiX/phiX']",db,,,,"""?""","""0.001""",1.0,ext,"[{'src': 'hda', 'id': 34065202}]",3807,fasta,,44162215,error,,,toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastn_wrapper/0.2.01,0.2.01,,2018-03-06 06:31:29.019407,122015.0,220.912529
24.0,len,2018-02-28 16:44:50.916909,slurm_normal,,main_w4_handler0,2980527,18551332,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12647471,slurm,,corral-repl,,0,,,basic,,,,,,,,,,"""megablast""","""/galaxy-repl/main/files/019/830/dataset_19830893.dat""",0,"['13apr2014-htgs', '17apr2014-nt', '20apr2014-wgs', '/galaxy/data/blastdb/phiX/phiX']",db,,,,"""?""","""0.001""",1.0,ext,"[{'src': 'hda', 'id': 34121236}]",940,fasta,,43693805,error,,,toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastn_wrapper/0.2.01,0.2.01,,2018-02-28 16:45:59.882385,99240.0,68.96547600000001
,,2018-02-28 13:58:55.790732,slurm_normal,,main_w3_handler1,3445821,18548544,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12644886,slurm,,corral-repl,,1,0.0,none,advanced,true,0.0,0,,false,0.0,-strand both,false,11,"""dc-megablast""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,['17apr2014-nt'],db,,,,"""?""","""0.001""",1.0,ext,"[{'src': 'hda', 'id': 34111448}]",4530593,fasta,,44227608,error,,,toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastn_wrapper/0.2.01,0.2.01,,2018-02-28 14:09:38.947745,109075.0,643.157013
,,2018-02-22 22:15:29.027666,slurm_normal,,main_w3_handler1,2036840,18489913,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12585190,slurm,,corral-repl,,0,,,basic,,,,,,,,,,"""megablast""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,"['13apr2014-htgs', '17apr2014-nt', '20apr2014-wgs', '/galaxy/data/blastdb/phiX/phiX']",db,,,,"""?""","""0.001""",1.0,ext,"[{'src': 'hda', 'id': 34023016}]",24366,fasta,,43945103,error,,,toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastn_wrapper/0.2.01,0.2.01,,2018-02-22 22:17:44.918433,52619.0,135.890767
,,2018-03-09 17:14:08.540416,slurm_normal,,main_w4_handler0,3458606,18674437,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12770654,slurm,,corral-repl,,0,,,basic,,,,,,,,,,"""megablast""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,['17apr2014-nt'],db,,,,"""?""","""0.001""",1.0,ext,"[{'src': 'hda', 'id': 34327267}]",5300,fasta,,44518091,error,,,toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastn_wrapper/0.2.01,0.2.01,,2018-03-09 17:15:25.112818,,76.57240200000001
,,2018-02-28 23:02:57.013682,slurm_normal,,main_w3_handler1,3439663,18556283,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12652891,slurm,,corral-repl,,0,,,basic,,,,,,,,,,"""blastn""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",2,,file,,,"[{'src': 'hda', 'id': 34130679}]","""?""","""0.001""",1.0,ext,"[{'src': 'hda', 'id': 34130657}]",272164056,fasta,,44129819,error,510857.0,fasta,toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastn_wrapper/0.2.01,0.2.01,,2018-02-28 23:09:07.988670,119864.0,370.974988
,,2018-03-06 06:27:59.456338,slurm_normal,,main_w3_handler1,3439715,18618888,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12715245,slurm,,corral-repl,,0,,,basic,,,,,,,,,,"""megablast""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,"['13apr2014-htgs', '17apr2014-nt', '20apr2014-wgs', '/galaxy/data/blastdb/phiX/phiX']",db,,,,"""?""","""0.001""",1.0,ext,"[{'src': 'hda', 'id': 34163576}]",175202,fasta,,44162215,error,,,toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastn_wrapper/0.2.01,0.2.01,,2018-03-06 06:31:55.338326,122015.0,235.881988
,,2018-02-23 02:53:53.843400,slurm_normal,,main_w4_handler1,2036840,18492172,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12588262,slurm,,corral-repl,,0,,,basic,,,,,,,,,,"""blastn""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,"['13apr2014-htgs', '17apr2014-nt', '20apr2014-wgs', '/galaxy/data/blastdb/phiX/phiX']",db,,,,"""?""","""0.001""",1.0,ext,"[{'src': 'hda', 'id': 34023023}]",1629,fasta,,43945103,error,,,toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastn_wrapper/0.2.01,0.2.01,,2018-02-23 05:50:16.345289,52619.0,10582.501889000001
,,2018-02-26 15:47:49.268268,slurm_normal,,main_w4_handler1,3443090,18523579,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12619512,slurm,,corral-repl,,0,,,basic,,,,,,,,,,"""megablast""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,"['13apr2014-htgs', '17apr2014-nt', '20apr2014-wgs', '/galaxy/data/blastdb/phiX/phiX']",db,,,,"""?""","""0.001""",1.0,ext,"[{'src': 'hda', 'id': 34073718}]",12359857,fasta,,44172637,error,,,toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastn_wrapper/0.2.01,0.2.01,,2018-02-26 15:51:22.875530,122829.0,213.60726200000002
