create_time,destination_id,exit_code,forward_input,forward_input_filetype,handler,history_id,id,imported,info,input_sequences,input_sequences_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input_sequences|__identifier__,parameters.kraken_database,parameters.only_classified_output,parameters.quick_operation.__current_case__,parameters.quick_operation.quick,parameters.single_paired.__current_case__,parameters.single_paired.check_names,parameters.single_paired.forward_input.values,parameters.single_paired.input_sequences.values,parameters.single_paired.reverse_input.values,parameters.single_paired.single_paired_selector,parameters.split_reads,reverse_input,reverse_input_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-12-07 14:02:49.315424,slurm_multi,,,,main_w4_handler2,3080356,17735959,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8688547294.0,fastq,11802605,slurm,,corral-repl,,0,no,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"""bacteria""","""false""",1,no,2,,,"[{'src': 'hda', 'id': 32798346}]",,no,"""false""",,,,41168800.0,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.3,1.2.3,,2017-12-08 04:11:56.848344,80368,50947.532920000005
2017-11-29 10:27:13.041273,slurm_multi,,,,main_w4_handler2,3344659,17632783,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2582309788.0,fastqsanger,11693129,slurm,,corral-repl,,0,no,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"""bacteria""","""false""",1,no,2,,,"[{'src': 'hda', 'id': 32608864}]",,no,"""true""",,,,42322768.0,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.3,1.2.3,,2017-11-30 05:54:51.772797,100847,70058.731524
2017-12-23 23:54:46.862642,slurm_multi,,,,main_w3_handler2,3373716,17887830,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1116844386.0,fasta,11969801,slurm,,corral-repl,,0,no,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"""bacteria""","""true""",1,no,2,,,"[{'src': 'hda', 'id': 33061643}]",,no,"""false""",,,,42833120.0,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.3,1.2.3,,2017-12-26 05:54:37.173549,111518,194390.310907
2017-09-29 14:58:47.070457,slurm_multi,,2146562804.0,fasta,main_w4_handler2,3266195,16973369,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,11041125.roundup,slurm,,corral-repl,,0,no,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"""bacteria""","""false""",1,no,1,false,"[{'src': 'hda', 'id': 31466745}]",,"[{'src': 'hda', 'id': 31466747}]",yes,"""false""",2142961950.0,fasta,,40918844.0,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.3,1.2.3,,2017-09-30 02:30:27.128072,73936,41500.057615000005
2017-09-09 17:38:47.703217,slurm_multi,,,,main_w3_handler2,2913197,16779348,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",169125646.0,fasta,10847571,slurm,,corral-repl,,0,no,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"""bacteria""","""false""",1,no,2,,,"[{'src': 'hda', 'id': 31126591}]",,no,"""true""",,,,40309007.0,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.3,1.2.3,,2017-09-09 19:36:21.965659,89783,7054.262442
2017-12-23 12:40:45.074065,slurm_multi,,,,main_w4_handler2,3373716,17884999,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1116844386.0,fasta,11960506,slurm,,corral-repl,,0,no,,"""45cd34eae7de11e78bc5005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""HG03727.unmapped.ILLUMINA.bwa.ITU.low_coverage.20130415.bam""","""bacteria""","""true""",1,no,2,,,"[{'src': 'hda', 'id': 33061643}]",,no,"""false""",,,,,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.3,1.2.3,,2017-12-23 22:30:29.379721,111518,35384.305656000004
2017-12-28 08:18:59.456624,slurm_multi,,,,main_w3_handler2,3373716,17907931,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",752428893.0,fasta,11983089,slurm,,corral-repl,,0,no,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"""bacteria""","""true""",1,no,2,,,"[{'src': 'hda', 'id': 33061644}]",,no,"""false""",,,,42859339.0,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.3,1.2.3,,2017-12-28 10:36:11.082612,111518,8231.625988
2017-12-28 08:19:07.070030,slurm_multi,,,,main_w3_handler2,3373716,17907932,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",737150224.0,fasta,11983160,slurm,,corral-repl,,0,no,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"""bacteria""","""true""",1,no,2,,,"[{'src': 'hda', 'id': 33061646}]",,no,"""false""",,,,42859339.0,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.3,1.2.3,,2017-12-28 11:30:07.747796,111518,11460.677766
2018-02-04 15:50:23.414741,slurm_multi,,5033736819.0,fastqsanger,main_w3_handler2,2750890,18251176,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,12333073,slurm,,corral-repl,,0,no,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"""bacteria""","""false""",1,no,1,true,"[{'src': 'hda', 'id': 33647192}]",,"[{'src': 'hda', 'id': 33647193}]",yes,"""true""",5033736819.0,fastqsanger,,43358388.0,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.3,1.2.3,,2018-02-04 18:21:30.421342,68223,9067.006601000001
2017-08-23 09:31:16.110569,slurm_multi,,6737707014.0,fastq,main_w3_handler2,2831352,16638899,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,10711261,slurm,,corral-repl,,1,yes,slurm_multi,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"""bacteria""","""false""",1,no,1,false,"[{'src': 'hda', 'id': 30961168}]",,"[{'src': 'hda', 'id': 30961169}]",yes,"""false""",6612855434.0,fastq,,40017165.0,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.3,1.2.3,,2017-08-24 07:14:05.908842,91037,78169.79827300001
