create_time,destination_id,exit_code,guide_gff,guide_gff_filetype,handler,history_id,id,imported,info,input_bam,input_bam_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.chromInfo,parameters.dbkey,parameters.guide.__current_case__,parameters.guide.guide_gff.values,parameters.guide.input_estimation,parameters.guide.output_ballgown,parameters.guide.use_guide,parameters.input_bam.values,parameters.option_set.A,parameters.option_set.__current_case__,parameters.option_set.bdist,parameters.option_set.bundle_fraction,parameters.option_set.disable_trimming,parameters.option_set.fraction,parameters.option_set.min_anchor_cov,parameters.option_set.min_anchor_len,parameters.option_set.min_bundle_cov,parameters.option_set.min_tlen,parameters.option_set.name_prefix,parameters.option_set.options,parameters.option_set.sensitive,parameters.option_set.x,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-10-27 11:52:30.996360,slurm_multi,,65781959,gff3,main_w4_handler2,2817529,14189988,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4609224463,bam,8406625,slurm,,corral-repl,,0,no,"""/galaxy-repl/localdata/chrom/dm6.len""","""dm6""",1,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54f03670a1a15519b'}]",false,true,yes,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57a7e63364b7d6fb3'}]",,0,,,,,,,,,,default,,,,32860873,error,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/1.1.0,1.1.0,,2016-10-27 20:51:57.056830,89710,32366.06047
2016-09-27 15:30:56.189930,slurm_multi,,1034362396,gtf,main_w4_handler2,2813018,13958357,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",239031806,bam,8177528,slurm,,corral-repl,,0,no,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",1,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b00d7c23ce135c45'}]",false,false,yes,"[{'src': 'hda', 'id': 'bbd44e69cb8906b524d794bd85e77257'}]",false,1,50,0.95,false,0.0,1,10,2,200,STRG,advanced,true,,,33099108,error,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/1.1.0,1.1.0,,2016-09-27 15:37:13.683170,7115,377.49324
