create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,matrixFile,matrixFile_filetype,object_store_id,param_filename,parameters.advancedOpt.__current_case__,parameters.advancedOpt.averageType,parameters.advancedOpt.colors,parameters.advancedOpt.outFileNameData,parameters.advancedOpt.perGroup,parameters.advancedOpt.plotHeight,parameters.advancedOpt.plotTitle,parameters.advancedOpt.plotType,parameters.advancedOpt.plotWidth,parameters.advancedOpt.regionsLabel,parameters.advancedOpt.samplesLabel,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.used_multiple_regions.__current_case__,parameters.advancedOpt.used_multiple_regions.clustering.__current_case__,parameters.advancedOpt.used_multiple_regions.clustering.clustering_options,parameters.advancedOpt.used_multiple_regions.clustering.n_hclust,parameters.advancedOpt.used_multiple_regions.used_multiple_regions_options,parameters.advancedOpt.yMax,parameters.advancedOpt.yMin,parameters.chromInfo,parameters.dbkey,parameters.matrixFile.values,parameters.output.__current_case__,parameters.output.dpi,parameters.output.outFileFormat,parameters.output.saveSortedRegions,parameters.output.showOutputSettings,parameters.scaleRegions.__current_case__,parameters.scaleRegions.endLabel,parameters.scaleRegions.showScaleRegionsOpt,parameters.scaleRegions.startLabel,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-02-28 06:27:24.360463,slurm_normal,,main_w3_handler1,3306625,18544449,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12642165,slurm,,756632760,deeptools_compute_matrix_archive,corral-repl,,1,mean,,true,false,5,,lines,11,,,yes,1.0,,,,yes,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 34110412}]",1,200,png,false,yes,1,TES,yes,TSS,,44214811,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.5.0.0,2.5.0.0,,2018-02-28 09:40:39.997391,114851,11595.636928
2017-06-09 11:09:47.503244,slurm_normal,,main_w3_handler1,1991423,16063395,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10152257.roundup,slurm,,1053726740,deeptools_compute_matrix_archive,corral-repl,,1,mean,,false,true,10,,lines,11,,,yes,1.0,,,,yes,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29949723}]",0,,,,no,0,,no,,,37835250,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.5.0.0,2.5.0.0,,2017-06-09 11:13:19.287882,32351,211.784638
2017-12-26 18:42:29.669483,slurm_normal,,main_w3_handler0,2641038,17899605,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11974234,slurm,,49902762,deeptools_compute_matrix_archive,corral-repl,,1,mean,,true,false,5,,lines,11,,,yes,1.0,,,,yes,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""","[{'src': 'hda', 'id': 33089894}]",0,,,,no,1,TES,yes,TSS,,42709598,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.5.0.0,2.5.0.0,,2017-12-26 20:05:54.245115,81070,5004.575632
2017-08-19 12:56:00.839780,slurm_normal,,main_w4_handler1,3225676,16614173,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10685976.roundup,slurm,,196092551,deeptools_compute_matrix_archive,corral-repl,,1,mean,,false,true,5,,lines,11,,,yes,1.0,,,,yes,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","[{'src': 'hda', 'id': 30922378}]",1,200,png,false,yes,1,TES,yes,TSS,,39961345,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.5.0.0,2.5.0.0,,2017-08-19 13:00:12.347827,76755,251.508047
2017-06-06 13:07:36.736971,slurm_normal,,main_w3_handler0,1991423,16026629,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10117785.roundup,slurm,,885773128,deeptools_compute_matrix_archive,corral-repl,,1,mean,,false,false,10,,lines,11,,,yes,1.0,,,,yes,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 29906529}]",0,,,,no,0,,no,,,37835250,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.5.0.0,2.5.0.0,,2017-06-06 13:10:56.945369,32351,200.20839800000002
2018-01-12 21:07:53.569769,slurm_normal,,main_w4_handler1,3383955,18021907,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12099372,slurm,,440299686,deeptools_compute_matrix_archive,corral-repl,,1,mean,,false,false,5,,heatmap,11,,,yes,1.0,,,,yes,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33277961}]",0,,,,no,0,,no,,,43089228,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.5.0.0,2.5.0.0,,2018-01-12 21:11:27.866486,119351,214.296717
2018-03-03 13:50:43.488776,slurm_normal,,main_w3_handler1,3410491,18591640,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12687447,slurm,,23101280,deeptools_compute_matrix_archive,corral-repl,,0,,,,,,,,,,,no,,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 34186140}]",0,,,,no,0,,no,,,44167010,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.5.0.0,2.5.0.0,,2018-03-03 16:56:58.535872,69821,11175.047096
2017-09-14 12:29:51.349079,slurm_normal,,main_w4_handler0,1796147,16817689,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10886979.roundup,slurm,,249596088,deeptools_compute_matrix_archive,corral-repl,,0,,,,,,,,,,,no,,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 31031441}]",0,,,,no,1,TES,yes,TSS,,39545215,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.5.0.0,2.5.0.0,,2017-09-14 12:33:07.354703,35884,196.005624
2017-08-21 11:51:03.758644,slurm_normal,,main_w4_handler0,3225676,16621591,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10693233.roundup,slurm,,821252063,deeptools_compute_matrix_archive,corral-repl,,1,mean,,false,false,6,,lines,8,LINE-mm10,control SETDB1 H3K9me3 H3K14ac,yes,0.0,2.0,none,,no,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","[{'src': 'hda', 'id': 30932258}]",1,200,png,false,yes,1,End,yes,Start,,39946348,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.5.0.0,2.5.0.0,,2017-08-21 11:55:23.101065,76755,259.342421
2018-03-03 16:57:44.961401,slurm_normal,,main_w4_handler0,3410491,18592864,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12687491,slurm,,23101280,deeptools_compute_matrix_archive,corral-repl,,0,,,,,,,,,,,no,,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 34186140}]",1,200,svg,false,yes,0,,no,,,44167010,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.5.0.0,2.5.0.0,,2018-03-03 17:01:15.288911,69821,210.32751000000002
