create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.advancedOpt.__current_case__,parameters.advancedOpt.showAdvancedOpt,parameters.chromInfo,parameters.dbkey,parameters.mode.__current_case__,parameters.mode.afterRegionStartLength,parameters.mode.beforeRegionStartLength,parameters.mode.mode_select,parameters.mode.nanAfterEnd,parameters.mode.referencePoint,parameters.mode.regionBodyLength,parameters.mode.regionStartLength.__current_case__,parameters.mode.regionStartLength.afterRegionStartLength,parameters.mode.regionStartLength.beforeRegionStartLength,parameters.mode.regionStartLength.regionStartLength_select,parameters.mode.regionStartLength.unscaled3prime,parameters.mode.regionStartLength.unscaled5prime,parameters.output.__current_case__,parameters.output.showOutputSettings,parameters.regionsFiles,parameters.scoreFileName.values,regionsFiles_0|regionsFile,regionsFiles_0|regionsFile_filetype,runner_name,scoreFileName,scoreFileName1,scoreFileName1_filetype,scoreFileName2,scoreFileName2_filetype,scoreFileName3,scoreFileName3_filetype,scoreFileName_filetype,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-04-26 17:24:03.435887,slurm_multi,,main_w3_handler2,2694982,15683507,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9805170,slurm,,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/Zea_mays_B73_RefGen_v2.len""","""Zea_mays_B73_RefGen_v2""",0,,,scale-regions,,,500,1.0,10000,10000,yes,0,0,0,no,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 26886509}]}}]","[{'src': 'hda', 'id': 26951941}, {'src': 'hda', 'id': 26966573}, {'src': 'hda', 'id': 27520146}]",30145368,bed,,29814,29814,bigwig,0.0,bigwig,74418.0,bigwig,bigwig,36226787,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.3.5.0,2.3.5.0,,2017-04-28 12:21:55.320180,84133,154671.884293
2016-10-13 21:03:42.845311,slurm_multi,,main_w4_handler2,2853708,14077016,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8294456,slurm,,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/Saccharomyces_cerevisiae_S288C_SGD2010.len""","""Saccharomyces_cerevisiae_S288C_SGD2010""",1,1000,1000,reference-point,false,TSS,,,,,,,,0,no,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": ""bbd44e69cb8906b56770235005c4ea77""}]}}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5bd7d95852c462d65'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5006c061aa47d2e5e'}]",72815099,bed,,2879234,2879234,bigwig,3730800.0,bigwig,,,bigwig,33660833,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.3.5.0,2.3.5.0,,2016-10-14 06:24:56.287599,92169,33673.442288000006
2016-10-14 18:30:29.758311,slurm_multi,,main_w3_handler2,2836119,14084400,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8301638,slurm,,corral-repl,,0,no,0.0,no,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",0,,,scale-regions,,,500,0.0,,,no,,,0,no,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": ""bbd44e69cb8906b583ce1ba80c7940eb""}]}}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5d5fd685672e0c0c4'}]",762333662,bed,,211268994,211268994,bigwig,,,,,bigwig,33294469,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.3.5.0,2.3.5.0,,2016-10-14 19:59:39.605652,91117,5349.847341000001
2016-10-20 13:08:40.936980,slurm_multi,,main_w3_handler2,2861396,14130272,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8345340,slurm,,corral-repl,,0,no,0.0,no,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",0,,,scale-regions,,,500,0.0,,,no,,,0,no,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": ""bbd44e69cb8906b55589db4b9800c92e""}]}}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5ac8888cbd9eb88ef'}, {'src': 'hda', 'id': 'bbd44e69cb8906b55b84f336f5d02798'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5657938261b409bf5'}]",5439886329,bed,,215310263,215310263,bigwig,210884265.0,bigwig,226045657.0,bigwig,bigwig,33819286,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.3.5.0,2.3.5.0,,2016-10-20 14:40:30.002365,92580,5509.065385000001
2016-10-14 02:41:00.343573,slurm_multi,,main_w4_handler2,2853708,14078587,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8296222,slurm,,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/Saccharomyces_cerevisiae_S288C_SGD2010.len""","""Saccharomyces_cerevisiae_S288C_SGD2010""",1,1000,1000,reference-point,false,TSS,,,,,,,,0,no,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": ""bbd44e69cb8906b52c30d07e722d26ca""}]}}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b528df7eda58b2ceaa'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5ea9e5f145ee4f60c'}, {'src': 'hda', 'id': 'bbd44e69cb8906b57d3861e3007ee1b9'}]",86655161,bed,,2577504,2577504,bigwig,6789372.0,bigwig,1885145.0,bigwig,bigwig,33660833,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.3.5.0,2.3.5.0,,2016-10-14 10:04:28.731112,92169,26608.387539000003
2017-05-03 15:15:27.189695,slurm_multi,,main_w4_handler2,2694982,15736467,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9846587,slurm,,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/Zea_mays_B73_RefGen_v2.len""","""Zea_mays_B73_RefGen_v2""",0,,,scale-regions,,,1000,1.0,5000,5000,yes,0,0,0,no,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 26886509}]}}]","[{'src': 'hda', 'id': 26951941}, {'src': 'hda', 'id': 26966573}, {'src': 'hda', 'id': 27520146}]",30145368,bed,,29814,29814,bigwig,0.0,bigwig,74418.0,bigwig,bigwig,36226787,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.3.5.0,2.3.5.0,,2017-05-04 10:53:14.142801,84133,70666.953106
2016-10-30 02:38:52.994526,slurm_multi,,main_w3_handler2,2694982,14207831,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8419198,slurm,,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/Zea_mays_B73_RefGen_v2.len""","""Zea_mays_B73_RefGen_v2""",1,20000,20000,reference-point,false,TSS,,,,,,,,0,no,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": ""bbd44e69cb8906b5703f5557c2d8ba6f""}]}}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5b18ccec6e078a92d'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5209e9caff052fb50'}]",30145368,bed,,29814,29814,bigwig,0.0,bigwig,,,bigwig,33486407,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.3.5.0,2.3.5.0,,2016-10-31 01:22:48.748679,84133,81835.754153
2016-10-28 03:02:10.363389,slurm_multi,,main_w3_handler2,2694982,14196807,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8408690,slurm,,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/Zea_mays_B73_RefGen_v2.len""","""Zea_mays_B73_RefGen_v2""",1,20000,20000,reference-point,true,TSS,,,,,,,,0,no,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": ""bbd44e69cb8906b5703f5557c2d8ba6f""}]}}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5b18ccec6e078a92d'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5209e9caff052fb50'}]",30145368,bed,,29814,29814,bigwig,0.0,bigwig,,,bigwig,33486407,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.3.5.0,2.3.5.0,,2016-10-28 23:20:49.720730,84133,73119.35734100001
2017-04-26 17:18:18.691083,slurm_multi,,main_w3_handler2,2694982,15683493,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9797565,slurm,,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/Zea_mays_B73_RefGen_v2.len""","""Zea_mays_B73_RefGen_v2""",1,10000,10000,reference-point,false,TSS,,,,,,,,0,no,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 26886509}]}}]","[{'src': 'hda', 'id': 26951941}, {'src': 'hda', 'id': 26966573}, {'src': 'hda', 'id': 27520146}]",30145368,bed,,29814,29814,bigwig,0.0,bigwig,74418.0,bigwig,bigwig,36226787,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.3.5.0,2.3.5.0,,2017-04-27 14:45:31.048955,84133,77232.35787200001
2016-12-17 03:47:34.010486,slurm_multi,,main_w3_handler2,2694982,14597853,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8776264,slurm,,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/Zea_mays_B73_RefGen_v2.len""","""Zea_mays_B73_RefGen_v2""",1,20000,20000,reference-point,false,TSS,,,,,,,,0,no,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 26886509}]}}]","[{'src': 'hda', 'id': 26951941}, {'src': 'hda', 'id': 26966573}, {'src': 'hda', 'id': 27520146}]",30145368,bed,,29814,29814,bigwig,0.0,bigwig,74418.0,bigwig,bigwig,33486407,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.3.5.0,2.3.5.0,,2016-12-18 03:30:32.045089,84133,85378.03460300001
