create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.length,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-04-04 14:09:44.501217,slurm_normal,,main_w2_handler1,2656960,12334051,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",119935500,fasta,6540269.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",24136661,"""7""",,28200911,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepwindowall74/5.0.0,5.0.0,,2016-04-04 14:10:30.095609,78239,45.594392000000006
2014-12-09 12:21:58.642284,rodeo_normal,,main_w1_handler1,342188,8379346,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",507047061,fasta,510821.rodeo,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",17877148,"""7""",,19970701,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepwindowall74/5.0.0,5.0.0,,2014-12-09 12:22:36.807674,4715,38.16539
