create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.program.__current_case__,parameters.program.gqs,parameters.program.rs_reactivity.__current_case__,parameters.program.rs_reactivity.intercept,parameters.program.rs_reactivity.reactivity_file.values,parameters.program.rs_reactivity.slope,parameters.program.rs_reactivity.type,parameters.program.vp_reactivity.__current_case__,parameters.program.vp_reactivity.reactivity_file.values,parameters.program.vp_reactivity.threshold_high,parameters.program.vp_reactivity.threshold_low,parameters.program.vp_reactivity.type,parameters.program.wh,parameters.reference_file.values,parameters.rna_list.values,parameters.temperature,program|reactivity_file,program|reactivity_file_filetype,reference_file,reference_file_filetype,rna_list,rna_list_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-06-22 02:51:52.561451,slurm_normal,,main_w3_handler1,2918295,16159999,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10237908.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,true,,,,,,1.0,"[{'src': 'hda', 'id': 30120512}]",0.6,0.3,restraint,vp,"[{'src': 'hda', 'id': 30120499}]","[{'src': 'hda', 'id': 30120500}]","""310.15""",801022389,txt,326082357,fasta,260,txt,,38854064,error,toolshed.g2.bx.psu.edu/repos/tyty/structurefold/predict_pipeline/1.0,1.0,,2017-06-22 02:53:14.119875,96301,81.558424
2017-04-26 02:49:47.084635,slurm_normal,,main_w3_handler0,2918295,15677829,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9792867.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,1.0,-0.6,"[{'src': 'hda', 'id': 29360982}]",1.8,restraint,,,,,,rs,"[{'src': 'hda', 'id': 29360899}]","[{'src': 'hda', 'id': 29361094}]","""310.15""",185719448,tabular,62309168,fasta,6,txt,,36473220,error,toolshed.g2.bx.psu.edu/repos/tyty/structurefold/predict_pipeline/1.0,1.0,,2017-04-26 02:52:27.752577,96301,160.667942
