blackListFileName,blackListFileName1,blackListFileName1_filetype,blackListFileName_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.advancedOpt.__current_case__,parameters.advancedOpt.averageTypeBins,parameters.advancedOpt.binSize,parameters.advancedOpt.blackListFileName.values,parameters.advancedOpt.exonID,parameters.advancedOpt.maxThreshold,parameters.advancedOpt.metagene,parameters.advancedOpt.minThreshold,parameters.advancedOpt.missingDataAsZero,parameters.advancedOpt.scale,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.skipZeros,parameters.advancedOpt.sortRegions,parameters.advancedOpt.sortUsing,parameters.advancedOpt.transcriptID,parameters.advancedOpt.transcript_id_designator,parameters.chromInfo,parameters.dbkey,parameters.mode.__current_case__,parameters.mode.afterRegionStartLength,parameters.mode.beforeRegionStartLength,parameters.mode.mode_select,parameters.mode.nanAfterEnd,parameters.mode.referencePoint,parameters.mode.regionBodyLength,parameters.mode.regionStartLength.__current_case__,parameters.mode.regionStartLength.afterRegionStartLength,parameters.mode.regionStartLength.beforeRegionStartLength,parameters.mode.regionStartLength.regionStartLength_select,parameters.mode.regionStartLength.unscaled3prime,parameters.mode.regionStartLength.unscaled5prime,parameters.output.__current_case__,parameters.output.saveMatrix,parameters.output.saveSortedRegions,parameters.output.showOutputSettings,parameters.regionsFiles,parameters.scoreFileName.values,regionsFiles_0|regionsFile,regionsFiles_0|regionsFile_filetype,regionsFiles_1|regionsFile,regionsFiles_1|regionsFile_filetype,regionsFiles_2|regionsFile,regionsFiles_2|regionsFile_filetype,regionsFiles_3|regionsFile,regionsFiles_3|regionsFile_filetype,regionsFiles_4|regionsFile,regionsFiles_4|regionsFile_filetype,runner_name,scoreFileName,scoreFileName1,scoreFileName10,scoreFileName10_filetype,scoreFileName11,scoreFileName11_filetype,scoreFileName12,scoreFileName12_filetype,scoreFileName13,scoreFileName13_filetype,scoreFileName14,scoreFileName14_filetype,scoreFileName15,scoreFileName15_filetype,scoreFileName16,scoreFileName16_filetype,scoreFileName17,scoreFileName17_filetype,scoreFileName18,scoreFileName18_filetype,scoreFileName19,scoreFileName19_filetype,scoreFileName1_filetype,scoreFileName2,scoreFileName20,scoreFileName20_filetype,scoreFileName21,scoreFileName21_filetype,scoreFileName22,scoreFileName22_filetype,scoreFileName2_filetype,scoreFileName3,scoreFileName3_filetype,scoreFileName4,scoreFileName4_filetype,scoreFileName5,scoreFileName5_filetype,scoreFileName6,scoreFileName6_filetype,scoreFileName7,scoreFileName7_filetype,scoreFileName8,scoreFileName8_filetype,scoreFileName9,scoreFileName9_filetype,scoreFileName_filetype,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,,,2017-09-13 15:07:28.789907,slurm_multi,,main_w3_handler2,2761047,16807039,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10878061,slurm,,corral-repl,,0,no,0.0,,,,,,,,,,no,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""",0,,,scale-regions,,,4000,1.0,500,500,yes,0,0,1,false,false,yes,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 31215416}]}}]","[{'src': 'hda', 'id': 31196191}, {'src': 'hda', 'id': 31196192}]",654576692,bed,,,,,,,,,,141715812,141715812,,,,,,,,,,,,,,,,,,,,,bigwig,170335320.0,,,,,,,bigwig,,,,,,,,,,,,,,,bigwig,38840856,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.3.6.0,2.3.6.0,,2017-09-13 19:39:20.941935,87138,16312.152028
,,,,2016-11-09 22:32:42.693152,slurm_multi,,main_w4_handler2,2881289,14300969,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8508775,slurm,,corral-repl,,0,no,0.0,,,,,,,,,,no,,,,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",1,5000,10000,reference-point,false,TSS,,,,,,,,0,,,no,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": ""bbd44e69cb8906b5cefeb6060e6c409a""}]}}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5539cae6b87bbca65'}]",1171930858,bed,,,,,,,,,,35284,35284,,,,,,,,,,,,,,,,,,,,,bigwig,,,,,,,,,,,,,,,,,,,,,,,bigwig,33294469,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.3.6.0,2.3.6.0,,2016-11-09 23:00:59.511948,91117,1696.818796
,,,,2017-01-12 18:06:29.018624,slurm_multi,,main_w3_handler2,2946918,14751556,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8916167,slurm,,corral-repl,,0,no,0.0,,,,,,,,,,no,,,,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",0,,,scale-regions,,,500,1.0,1000,1000,yes,0,0,0,,,no,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 27897892}]}}]","[{'src': 'hda', 'id': 27898848}]",138981993,bed,,,,,,,,,,45469991,45469991,,,,,,,,,,,,,,,,,,,,,bigwig,,,,,,,,,,,,,,,,,,,,,,,bigwig,35319324,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.3.6.0,2.3.6.0,,2017-01-12 20:53:18.903868,97666,10009.885244000001
,,,,2017-02-09 06:18:24.361200,slurm_multi,,main_w3_handler2,2757571,14992183,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9149005,slurm,,corral-repl,,0,no,0.0,,,,,,,,,,no,,,,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",0,,,scale-regions,,,500,0.0,,,no,,,0,,,no,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 28276089}]}}]","[{'src': 'hda', 'id': 28275688}, {'src': 'hda', 'id': 28275689}, {'src': 'hda', 'id': 28275690}, {'src': 'hda', 'id': 28275691}, {'src': 'hda', 'id': 28275702}, {'src': 'hda', 'id': 28275703}, {'src': 'hda', 'id': 28275704}, {'src': 'hda', 'id': 28275707}, {'src': 'hda', 'id': 28275708}, {'src': 'hda', 'id': 28275712}, {'src': 'hda', 'id': 28275714}, {'src': 'hda', 'id': 28275715}, {'src': 'hda', 'id': 28275716}, {'src': 'hda', 'id': 28275717}, {'src': 'hda', 'id': 28275720}, {'src': 'hda', 'id': 28275721}, {'src': 'hda', 'id': 28275722}, {'src': 'hda', 'id': 28275724}, {'src': 'hda', 'id': 28275919}, {'src': 'hda', 'id': 28275939}, {'src': 'hda', 'id': 28275954}, {'src': 'hda', 'id': 28275997}]",132630042,bed,,,,,,,,,,73797883,73797883,172816673.0,bigwig,197312960.0,bigwig,104175823.0,bigwig,209498430.0,bigwig,160376650.0,bigwig,224444408.0,bigwig,168717215.0,bigwig,190904791.0,bigwig,201093148.0,bigwig,200431297.0,bigwig,bigwig,144340365.0,226434677.0,bigwig,183778856.0,bigwig,200890216.0,bigwig,bigwig,195230336.0,bigwig,193626051.0,bigwig,214222233.0,bigwig,202349794.0,bigwig,132208190.0,bigwig,180482095.0,bigwig,183447187.0,bigwig,bigwig,35751693,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.3.6.0,2.3.6.0,,2017-02-09 09:16:07.870204,86974,10663.509004000001
,,,,2017-03-21 02:59:29.446075,slurm_multi,,main_w4_handler2,3031565,15349296,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9488946,slurm,,corral-repl,,0,no,0.0,,,,,,,,,,no,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,,,scale-regions,,,5000,1.0,5000,5000,yes,0,0,0,,,no,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 28851032}]}}]","[{'src': 'hda', 'id': 28827866}, {'src': 'hda', 'id': 28827965}, {'src': 'hda', 'id': 28827985}, {'src': 'hda', 'id': 28827995}, {'src': 'hda', 'id': 28828002}, {'src': 'hda', 'id': 28828020}, {'src': 'hda', 'id': 28828036}, {'src': 'hda', 'id': 28828052}]",24910497,bed,,,,,,,,,,246076828,246076828,,,,,,,,,,,,,,,,,,,,,bigwig,222799436.0,,,,,,,bigwig,246201210.0,bigwig,215515188.0,bigwig,172255716.0,bigwig,209281493.0,bigwig,208105971.0,bigwig,117831592.0,bigwig,,,bigwig,36625641,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.3.6.0,2.3.6.0,,2017-03-21 13:38:47.550877,102046,38358.104802
,,,,2017-01-12 00:29:16.017050,slurm_multi,,main_w3_handler2,2946918,14745385,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8909875,slurm,,corral-repl,,0,no,0.0,,,,,,,,,,no,,,,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",0,,,scale-regions,,,500,1.0,1000,1000,yes,0,0,0,,,no,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 27897892}]}}]","[{'src': 'hda', 'id': 27898848}]",138981993,bed,,,,,,,,,,45469991,45469991,,,,,,,,,,,,,,,,,,,,,bigwig,,,,,,,,,,,,,,,,,,,,,,,bigwig,35319324,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.3.6.0,2.3.6.0,,2017-01-12 02:55:06.698797,97666,8750.681747
,,,,2017-09-13 14:40:43.819275,slurm_multi,,main_w3_handler2,2761047,16806832,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10876425,slurm,,corral-repl,,0,no,0.0,,,,,,,,,,no,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""",0,,,scale-regions,,,4000,1.0,500,500,yes,0,0,1,false,false,yes,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 31215162}]}}]","[{'src': 'hda', 'id': 31196191}, {'src': 'hda', 'id': 31196192}]",220026341,bed,,,,,,,,,,141715812,141715812,,,,,,,,,,,,,,,,,,,,,bigwig,170335320.0,,,,,,,bigwig,,,,,,,,,,,,,,,bigwig,38840856,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.3.6.0,2.3.6.0,,2017-09-13 15:59:41.457991,87138,4737.638716
,,,,2016-12-20 22:08:54.554465,slurm_multi,,main_w3_handler2,2920653,14618852,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8795577,slurm,,corral-repl,,0,no,,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,4000,2000,reference-point,false,TSS,,,,,,,,0,,,no,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 27519263}]}}]","[{'src': 'hda', 'id': 27698726}]",2716164753,bed,,,,,,,,,,232958460,232958460,,,,,,,,,,,,,,,,,,,,,bigwig,,,,,,,,,,,,,,,,,,,,,,,bigwig,34980642,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.3.6.0,2.3.6.0,,2016-12-20 22:29:18.717380,64824,1224.162915
,,,,2017-03-10 16:42:50.822414,slurm_multi,,main_w3_handler2,2945003,15264564,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9412029,slurm,,corral-repl,,0,no,0.0,,,,,,,,,,no,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,,,scale-regions,,,500,0.0,,,no,,,0,,,no,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 28709642}]}}]","[{'src': 'hda', 'id': 28706182}]",2998158782,bed,,,,,,,,,,83398439,83398439,,,,,,,,,,,,,,,,,,,,,bigwig,,,,,,,,,,,,,,,,,,,,,,,bigwig,35165758,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.3.6.0,2.3.6.0,,2017-03-10 19:31:46.121565,97589,10135.299151000001
,,,,2017-09-13 15:07:27.793245,slurm_multi,,main_w3_handler2,2761047,16807036,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10876630,slurm,,corral-repl,,0,no,0.0,,,,,,,,,,no,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""",0,,,scale-regions,,,4000,1.0,500,500,yes,0,0,1,false,false,yes,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 31215385}]}}]","[{'src': 'hda', 'id': 31196191}, {'src': 'hda', 'id': 31196192}]",609359362,bed,,,,,,,,,,141715812,141715812,,,,,,,,,,,,,,,,,,,,,bigwig,170335320.0,,,,,,,bigwig,,,,,,,,,,,,,,,bigwig,38840856,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.3.6.0,2.3.6.0,,2017-09-13 16:25:07.314094,87138,4659.520849
