create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.gapextend,parameters.gapopen,parameters.input1,parameters.input1.values,parameters.input2,parameters.input2.values,parameters.out_format1,parameters.width,parameters.wordlen,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-02-01 17:46:02.886903,slurm_normal,,main_w4_handler1,2976900,14926050,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4763598,fasta,4685135,fasta,9081972.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.5""","""10.0""",,"[{'src': 'hda', 'id': 28169180}]",,"[{'src': 'hda', 'id': 28169179}]","""simple""","""16""","""6""",,35728012,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: supermatcher95/5.0.0,5.0.0,,2017-02-01 17:53:09.926469,99212,427.03956600000004
2016-03-03 09:10:29.271280,slurm_normal,,main_w2_handler1,2616285,12004086,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3944648,fasta,5810777735,fasta,6233862.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""0.5""","""10.0""",23637298,,23637288,,"""simple""","""16""","""6""",,28741019,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: supermatcher95/5.0.0,5.0.0,,2016-03-03 09:12:22.934998,79607,113.663718
2016-07-12 13:31:03.692148,slurm_normal,,main_w1_handler1,2757753,13385304,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8835174288,fasta,8915917848,fasta,7596824.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.5""","""10.0""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b810d5c842552a82'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e7fd142937a34876'}]","""simple""","""16""","""6""",,30061330,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: supermatcher95/5.0.0,5.0.0,,2016-07-12 13:32:58.694802,62597,115.002654
2016-03-21 22:13:46.712259,slurm_normal,,main_w1_handler0,2631384,12220762,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4257975,fasta,4257975,fasta,6432314.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.5""","""10.0""",23968165,,23968165,,"""simple""","""16""","""6""",,28881863,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: supermatcher95/5.0.0,5.0.0,,2016-03-21 22:15:16.132832,78782,89.420573
2018-03-05 04:39:59.344063,slurm_normal,,main_w3_handler0,3447215,18605328,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",504,fasta,2017117895,fasta,12700587,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","""0.5""","""10.0""",,"[{'src': 'hda', 'id': 34208334}]",,"[{'src': 'hda', 'id': 34208460}]","""simple""","""120""","""120""",,44146651,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: supermatcher95/5.0.0,5.0.0,,2018-03-05 04:41:53.431342,75605,114.08727900000001
2017-01-05 18:28:27.160151,slurm_normal,,main_w3_handler1,2947532,14697998,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",36,fasta,1644286529,fasta,8868401.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""0.5""","""10.0""",,"[{'src': 'hda', 'id': 27824777}]",,"[{'src': 'hda', 'id': 27824535}]","""simple""","""16""","""6""",,35211338,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: supermatcher95/5.0.0,5.0.0,,2017-01-05 18:29:37.351004,79386,70.190853
2016-03-21 22:13:44.520600,slurm_normal,,main_w1_handler2,2631384,12220758,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3997409,fasta,3997409,fasta,6432317.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.5""","""10.0""",23968161,,23968161,,"""simple""","""16""","""6""",,28881863,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: supermatcher95/5.0.0,5.0.0,,2016-03-21 22:15:23.756373,78782,99.23577300000001
2015-11-22 03:31:34.159122,slurm_normal,,main_w1_handler2,2515326,10981234,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4033653,fasta,3912944,fasta,5242405.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.5""","""10.0""",22120354,,22120351,,"""fasta""","""16""","""6""",,26285444,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: supermatcher95/5.0.0,5.0.0,,2015-11-22 03:33:04.593839,64758,90.434717
2016-07-18 17:53:16.178791,reserved,,main_w1_handler1,2768949,13434369,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7897632404,fasta,8835174288,fasta,7645769.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.5""","""10.0""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c6c42bd44fe81476'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52115e54c7e1e8b93'}]","""srspair""","""16""","""6""",,30731085,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: supermatcher95/5.0.0,5.0.0,,2016-07-18 17:56:25.167798,5254,188.98900700000002
2016-06-21 01:15:00.797719,slurm_normal,,main_w1_handler0,2745162,13218010,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4057335,fasta,4054423,fasta,7402492.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.5""","""10.0""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52ce856e31b3d8dab'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5eb5deb63649b4d09'}]","""fasta""","""16""","""6""",,30980664,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: supermatcher95/5.0.0,5.0.0,,2016-06-21 01:16:21.969425,64758,81.171706
