create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.async_datasets,parameters.dbkey,parameters.file_count,parameters.file_type,parameters.files_metadata.__current_case__,parameters.files_metadata.base_name,parameters.files_metadata.file_type,parameters.paramfile,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-02-28 01:51:14.492815,slurm_normal,,main_w4_handler1,3445588,18542797,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12639315,slurm,,corral-repl,,"""None""","""hg19""","""2""","""fastqsanger.gz""",172,,fastqsanger.gz,"""/galaxy-repl/main/scratch2/tmpiXTs2o""",,43422497,error,upload1,1.1.4,,2018-02-28 01:56:43.137767,120524.0,328.64495200000005
2016-06-27 13:13:13.545922,slurm_normal,,main_w2_handler1,2441132,13266863,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7455128.roundup,slurm,,corral-repl,,"""None""","""?""",,"""auto""",42,,auto,"""/galaxy/main/scratch/tmpIVC90P""",,31102691,error,upload1,1.1.4,,2016-06-27 13:42:35.214542,69527.0,1761.6686200000001
2017-03-31 17:37:50.779096,slurm_normal,,main_w4_handler0,3047554,15450161,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9580896.roundup,slurm,,corral-repl,,"""None""","""?""",,"""auto""",119,,auto,"""/galaxy-repl/main/scratch2/tmpN4X3_x""",,36991996,error,upload1,1.1.4,,2017-03-31 17:59:30.726058,102971.0,1299.946962
2016-07-27 06:22:56.178187,slurm_normal,,main_w2_handler0,2776139,13505426,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7720840.roundup,slurm,,corral-repl,,"""None""","""?""",,"""auto""",42,,auto,"""/galaxy/main/scratch/tmpzIH7ez""",,31746565,error,upload1,1.1.4,,2016-07-27 06:24:51.068505,87414.0,114.89031800000001
2016-07-06 06:00:35.008787,slurm_normal,,main_w1_handler1,2746790,13341323,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7549848.roundup,slurm,,corral-repl,,"""None""","""?""",,"""auto""",42,,auto,"""/galaxy/main/scratch/tmpIEJCbr""",,31013877,error,upload1,1.1.4,,2016-07-06 06:04:36.785768,84146.0,241.776981
2016-07-18 15:38:37.594290,slurm_normal,,main_w2_handler1,2330928,13433041,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7644489.roundup,slurm,,corral-repl,,"""None""","""anoCar2""",,"""maf""",298,,maf,"""/galaxy/main/scratch/tmpLsY8qq""",,30016385,error,upload1,1.1.4,,2016-07-18 18:58:22.085720,64505.0,11984.49143
2016-04-13 00:59:00.924316,slurm_normal,,main_w1_handler1,2536209,12435488,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6635398.roundup,slurm,,corral-repl,,"""None""","""?""",,"""bam""",66,,bam,"""/galaxy/main/scratch/tmpzGbkgs""",,29569033,error,upload1,1.1.4,,2016-04-13 01:01:41.537514,64633.0,160.613198
2017-04-19 02:56:44.412044,slurm_normal,,main_w4_handler1,2918295,15620625,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9739664.roundup,slurm,,corral-repl,,"""None""","""?""",,"""auto""",119,,auto,"""/galaxy-repl/main/scratch2/tmppj7E5q""",,36473220,error,upload1,1.1.4,,2017-04-19 03:07:55.751560,96301.0,671.339516
2016-02-11 19:51:12.177131,slurm_normal,,main_w2_handler1,2587639,11794520,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6048109.roundup,slurm,,corral-repl,,"""None""","""hg38""",,"""bam""",64,,bam,"""/galaxy/main/scratch/tmp0lAgIY""",,27977057,error,upload1,1.1.4,,2016-02-11 19:57:26.330576,77796.0,374.15344500000003
2016-06-01 18:36:08.214805,slurm_normal,,main_w1_handler0,2723260,13043170,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7222832.roundup,slurm,,corral-repl,,"""None""","""?""",,"""fastqillumina""",184,,fastqillumina,"""/galaxy/main/scratch/tmpmXvfVJ""",,30518101,error,upload1,1.1.4,,2016-06-01 18:41:03.493643,85278.0,295.278838
2016-10-16 03:10:18.205357,slurm_normal,,main_w3_handler0,2844121,14090772,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8307030.roundup,slurm,,corral-repl,,"""None""","""hg19Patch2""",,"""sam""",156,,sam,"""/galaxy/main/scratch/tmp_IxL1c""",,33301642,error,upload1,1.1.4,,2016-10-16 03:12:41.805500,91136.0,143.600143
2016-04-13 01:31:44.902666,slurm_normal,,main_w1_handler2,2536209,12435707,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6635511.roundup,slurm,,corral-repl,,"""None""","""?""",,"""bam""",66,,bam,"""/galaxy/main/scratch/tmph60Q9O""",,29569033,error,upload1,1.1.4,,2016-04-13 01:35:25.741309,64633.0,220.83864300000002
2018-03-07 17:30:02.406641,slurm_normal,,main_w3_handler0,3455602,18643978,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12739177,slurm,,corral-repl,,"""None""","""?""","""1""","""maf""",110,,maf,"""/galaxy-repl/main/scratch2/tmpqbKEb1""",,44271015,error,upload1,1.1.4,,2018-03-07 18:38:32.113543,122195.0,4109.706902
2015-11-04 04:46:53.270408,slurm_normal,,main_w2_handler0,2473230,10813050,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5068621.roundup,slurm,,corral-repl,,"""None""","""?""",,"""auto""",32,,auto,"""/galaxy/main/scratch/tmp_Qkcfm""",,25712932,error,upload1,1.1.4,,2015-11-04 05:54:53.088218,71404.0,4079.8178100000005
2016-11-22 10:29:50.310645,slurm_normal,,main_w4_handler1,2886340,14403142,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8608011.roundup,slurm,,corral-repl,,"""None""","""?""",,"""auto""",108,,auto,"""/galaxy/main/scratch/tmpdvHMDv""",,34144322,error,upload1,1.1.4,,2016-11-22 10:46:46.110147,57602.0,1015.7995020000001
