create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_fastq1,input_fastq1_filetype,input_fastq2,input_fastq2_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input_fastq1,parameters.input_fastq2,parameters.param_type.__current_case__,parameters.param_type.description,parameters.param_type.library_name,parameters.param_type.max_q,parameters.param_type.min_q,parameters.param_type.param_type_selector,parameters.param_type.platform,parameters.param_type.platform_unit,parameters.param_type.predicted_insert_size,parameters.param_type.run_date,parameters.param_type.sequencing_center,parameters.param_type.sort_order,parameters.read_group_name,parameters.sample_name,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-01-05 15:20:10.445224,rodeo_normal,,main_w1_handler1,2160999,8499602,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2659162161,fastqsanger,,,2416463.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",18131185,,0,,,,,basic,,,,,,,"""A""","""TTK199""",,20274085,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.56.0,1.56.0,,2015-01-05 15:23:33.830870,57793.0,203.385646
2015-12-13 08:21:40.189008,slurm_normal,,main_w1_handler1,2529151,11165800,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2492719525,fastqsanger,2492719525.0,fastqsanger,5435383.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",22431976,22431977,0,,,,,basic,,,,,,,"""A""","""QAUGMER""",,26604475,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.56.0,1.56.0,,2015-12-13 08:25:29.503027,74827.0,229.314019
2015-12-13 07:00:56.026686,slurm_normal,,main_w2_handler0,2529151,11165685,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2492719525,fastqsanger,2492719525.0,fastqsanger,5435269.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",22431976,22431977,0,,,,,basic,,,,,,,"""A""","""QAUGMER""",,26604475,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.56.0,1.56.0,,2015-12-13 07:04:26.002583,74827.0,209.975897
2015-03-13 15:36:19.968642,rodeo_normal,,main_w1_handler1,2236630,8943563,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2339881848,fastqsanger,,,3158313.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",18850187,,0,,,,,basic,,,,,,,"""A""","""WT""",,21778356,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.56.0,1.56.0,,2015-03-13 15:40:21.046278,48792.0,241.077636
2015-02-25 05:22:42.723185,rodeo_normal,,main_w1_handler0,2185516,8809679,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4052016656,fastqsanger,4052016656.0,fastqsanger,2908588.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18607337,18607337,0,,,,,basic,,,,,,,"""A""","""unknown sample""",,21273859,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.56.0,1.56.0,,2015-02-25 05:24:04.445004,59675.0,81.72181900000001
2015-02-24 12:06:03.552031,rodeo_normal,,main_w2_handler1,2185516,8802137,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4001498356,fastqsanger,4001498356.0,fastqsanger,2895909.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18607339,18607339,0,,,,,basic,,,,,,,"""A""","""unknown sample""",,21273859,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.56.0,1.56.0,,2015-02-24 12:09:12.861552,59675.0,189.30952100000002
2015-02-23 16:03:26.373753,rodeo_normal,,main_w2_handler0,1788763,8793394,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4307585210,fastqsanger,,,2880911.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18611743,,0,,,,,basic,,,,,,,"""A""","""unknown sample""",,20292633,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.56.0,1.56.0,,2015-02-23 16:11:04.601681,37737.0,458.227928
2015-09-06 14:19:28.410694,slurm_normal,,main_w1_handler1,2429620,10267307,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3359947709,fastqsanger,,,4554003.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21021882,,0,,,,,basic,,,,,,,"""A""","""unknown sample""",,25039300,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.56.0,1.56.0,,2015-09-06 14:21:38.978378,52374.0,130.567684
2015-07-10 22:41:53.506707,slurm_normal,,main_w1_handler0,2369540,9836930,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1684196023,fastqsanger,1684196023.0,fastqsanger,4133543.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20271972,20272040,0,,,,,basic,,,,,,,"""A""","""unknown sample""",,24055581,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.56.0,1.56.0,,2015-07-10 22:45:37.976926,65851.0,224.47021900000001
2015-02-03 03:50:17.835279,rodeo_normal,,main_w1_handler0,2168116,8654414,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6572405959,fastqsanger,7942371199.0,fastqsanger,2626306.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18188427,18170472,1,,,93,0,advanced,,,,,,coordinate,"""A""","""KLRG1+""",,20399901,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.56.0,1.56.0,,2015-02-03 03:52:52.080885,54595.0,154.245606
