create_time,destination_id,exit_code,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.breaks,parameters.chromInfo,parameters.dbkey,parameters.density,parameters.frequency,parameters.input,parameters.input.values,parameters.numerical_column,parameters.numerical_column.__class__,parameters.numerical_column.value,parameters.title,parameters.xlab,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-12-23 15:25:18.776269,slurm_normal,,main_w1_handler0,2547075,11318354,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",839689931,tabular,5595803.roundup,slurm,,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","""True""","""True""",22637229,,"""2""",,,"""Histogram""","""chr1 position""",,26970824,error,toolshed.g2.bx.psu.edu/repos/devteam/histogram/histogram_rpy/1.0.3,1.0.3,,2015-12-23 15:43:16.169709,75748,1077.39344
2017-10-20 00:29:33.484464,slurm_normal,,main_w4_handler1,3293237,17150591,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8262048631,tabular,11208610,slurm,,corral-repl,,"""0""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""true""","""false""",,"[{'src': 'hda', 'id': 31768373}]","""2""",,,"""Histogram""","""V1""",,41406712,error,toolshed.g2.bx.psu.edu/repos/devteam/histogram/histogram_rpy/1.0.3,1.0.3,,2017-10-20 00:39:06.804740,112668,573.320276
2018-02-12 14:18:36.823717,slurm_normal,,main_w3_handler0,3406563,18350428,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",164032874,tabular,12435093,slurm,,corral-repl,,"""50""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""true""","""true""",,"[{'src': 'hda', 'id': 33808192}]","""1""",,,"""MapQ histogram""","""V1""",,43857027,error,toolshed.g2.bx.psu.edu/repos/devteam/histogram/histogram_rpy/1.0.3,1.0.3,,2018-02-12 14:34:03.713260,107284,926.889543
2015-11-09 09:19:22.877812,slurm_normal,,main_w2_handler1,2328579,10850905,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2684723686,tabular,5105402.roundup,slurm,,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""True""","""False""",21923293,,"""2""",,,"""Histogram""","""V1""",,26158450,error,toolshed.g2.bx.psu.edu/repos/devteam/histogram/histogram_rpy/1.0.3,1.0.3,,2015-11-09 09:28:45.783310,32837,562.9054980000001
2017-10-20 00:56:06.543646,slurm_normal,,main_w3_handler0,3293237,17150684,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8262048631,tabular,11208744,slurm,,corral-repl,,"""0""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""true""","""false""",,"[{'src': 'hda', 'id': 31768374}]","""2""",,,"""Histogram""","""V1""",,41406712,error,toolshed.g2.bx.psu.edu/repos/devteam/histogram/histogram_rpy/1.0.3,1.0.3,,2017-10-20 01:06:22.829571,112668,616.285925
2017-09-11 14:28:40.861602,slurm_normal,,main_w4_handler1,3245901,16787467,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",713046765,tabular,10855781.roundup,slurm,,corral-repl,,"""0""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""false""","""true""",,"[{'src': 'hda', 'id': 31172048}]","""2""",,,"""parma small RNA read length distribution""","""read length""",,40373465,error,toolshed.g2.bx.psu.edu/repos/devteam/histogram/histogram_rpy/1.0.3,1.0.3,,2017-09-11 14:36:24.363428,47006,463.50182600000005
2018-02-12 14:15:38.115845,slurm_normal,,main_w3_handler1,3406563,18350351,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",164032874,tabular,12435005,slurm,,corral-repl,,"""40""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""true""","""false""",,"[{'src': 'hda', 'id': 33808192}]","""1""",,,"""Histogram""","""V1""",,43857027,error,toolshed.g2.bx.psu.edu/repos/devteam/histogram/histogram_rpy/1.0.3,1.0.3,,2018-02-12 14:29:57.943436,107284,859.8275910000001
2015-11-09 09:19:55.641609,slurm_normal,,main_w1_handler0,2328579,10850908,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2350153716,tabular,5105405.roundup,slurm,,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""True""","""False""",21923294,,"""2""",,,"""Histogram""","""V1""",,26158450,error,toolshed.g2.bx.psu.edu/repos/devteam/histogram/histogram_rpy/1.0.3,1.0.3,,2015-11-09 09:27:25.337827,32837,449.69621800000004
2018-02-12 14:36:56.736838,slurm_normal,,main_w3_handler0,3406563,18350678,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",164032874,tabular,12435400,slurm,,corral-repl,,"""50""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""true""","""false""",,"[{'src': 'hda', 'id': 33808192}]","""1""",,,"""MAPQ Histogram""","""V1""",,43857027,error,toolshed.g2.bx.psu.edu/repos/devteam/histogram/histogram_rpy/1.0.3,1.0.3,,2018-02-12 14:51:37.933557,107284,881.196719
2016-07-05 13:29:01.951528,slurm_normal,,main_w2_handler1,2728952,13334398,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",20433955839,sam,7542007.roundup,slurm,,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""true""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5468ee575ea5cb23a'}]","""9""",,,"""Histogram""","""V1""",,31197171,error,toolshed.g2.bx.psu.edu/repos/devteam/histogram/histogram_rpy/1.0.3,1.0.3,,2016-07-05 13:41:03.566127,81721,721.614599
