create_time,destination_id,exit_code,handler,history_id,id,imported,info,inputA,inputA_filetype,inputB,inputB1,inputB1_filetype,inputB_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.field,parameters.inputA.values,parameters.inputB.values,parameters.overlap,parameters.strand,parameters.tag,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-03-01 16:12:00.321886,slurm_normal,,main_w3_handler1,3014572,15180133,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2836,bam,4552586319,4552586319,bed,bed,9330545.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-labels -intervals""","[{'src': 'hda', 'id': 28573549}]","[{'src': 'hda', 'id': 28565547}]","""1e-09""","""""","""YB""",,36269575,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_tagbed/2.22.0,2.22.0,,2017-03-01 16:13:06.199282,,65.877396
2017-03-01 16:17:28.470236,slurm_normal,,main_w3_handler0,3014572,15180168,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2836,bam,4552586319,4552586319,bed,bed,9330574.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-labels -intervals""","[{'src': 'hda', 'id': 28573549}]","[{'src': 'hda', 'id': 28565547}]","""1e-09""","""""","""YB""",,36365023,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_tagbed/2.22.0,2.22.0,,2017-03-01 16:18:34.331312,101123.0,65.861076
