create_time,destination_id,exit_code,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.inputFile,parameters.max_diff_rate,parameters.max_group_ratio,parameters.min_identical_bases,parameters.min_mean_quality,parameters.optical_duplicate_pixel_distance,parameters.read_name_regex,parameters.validation_stringency,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-11-19 13:03:12.148737,slurm_normal_16gb,,main_w1_handler0,2345887,10946118,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3481905838,bam,5204150.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",22065601,"""0.03""","""500""","""5""","""30""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""LENIENT""",,26346260,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_EstimateLibraryComplexity/1.126.0,1.126.0,,2015-11-19 13:09:08.627805,41073,356.47906800000004
2016-01-13 19:41:57.094200,slurm_normal_16gb,,main_w2_handler1,2501672,11494394,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9143689435,bam,5760743.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",22804096,"""0.03""","""500""","""50""","""20""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""LENIENT""",,26141755,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_EstimateLibraryComplexity/1.126.0,1.126.0,,2016-01-13 19:51:19.839215,52107,562.7450150000001
2015-03-03 01:42:31.035136,rodeo_normal,,main_w2_handler1,427993,8846201,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2342322750,bam,2978627.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",18702099,"""0.03""","""500""","""7""","""25""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""LENIENT""",,21540956,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_EstimateLibraryComplexity/1.126.0,1.126.0,,2015-03-03 01:44:41.026233,6725,129.991097
2016-01-11 20:34:54.060398,slurm_normal_16gb,,main_w2_handler0,2501672,11464460,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6439361161,bam,5730123.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",22845985,"""0.03""","""500""","""5""","""20""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""LENIENT""",,26141755,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_EstimateLibraryComplexity/1.126.0,1.126.0,,2016-01-11 20:41:18.532251,52107,384.471853
2015-09-30 19:00:53.280307,slurm_normal_16gb,,main_w1_handler1,2366376,10473142,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7704203121,bam,4749581.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",20335599,"""0.03""","""500""","""5""","""20""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""LENIENT""",,24031873,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_EstimateLibraryComplexity/1.126.0,1.126.0,,2015-09-30 19:19:34.772374,39842,1121.4920670000001
2015-04-11 14:50:28.184292,slurm_normal_16gb,,main_w2_handler1,2156545,9201646,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4492530883,bam,3484155.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",18049273,"""0.03""","""500""","""5""","""20""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""LENIENT""",,21473342,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_EstimateLibraryComplexity/1.126.0,1.126.0,,2015-04-11 14:59:59.103823,15202,570.919531
2015-11-19 05:39:54.078916,slurm_normal_16gb,,main_w2_handler0,2087390,10942946,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",14682729308,bam,5200031.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",22030953,"""0.03""","""500""","""5""","""20""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""LENIENT""",,26294574,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_EstimateLibraryComplexity/1.126.0,1.126.0,,2015-11-19 05:45:34.300424,48447,340.22150800000003
2016-01-11 14:47:39.075332,slurm_normal_16gb,,main_w2_handler0,2501672,11460379,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6482772868,bam,5724558.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",22804102,"""0.03""","""500""","""5""","""20""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""LENIENT""",,26141755,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_EstimateLibraryComplexity/1.126.0,1.126.0,,2016-01-11 15:00:27.180357,52107,768.1050250000001
2015-04-09 21:02:45.683870,slurm_normal_16gb,,main_w2_handler1,2255891,9185954,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8864230759,bam,3467020.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",19162848,"""0.03""","""500""","""5""","""20""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""LENIENT""",,22230755,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_EstimateLibraryComplexity/1.126.0,1.126.0,,2015-04-09 21:08:50.027658,61782,364.343788
2015-05-03 18:38:54.962949,slurm_normal_16gb,,main_w2_handler0,1565459,9383307,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3503534073,bam,3717647.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",19541294,"""0.03""","""500""","""5""","""20""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""LENIENT""",,22827627,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_EstimateLibraryComplexity/1.126.0,1.126.0,,2015-05-03 18:45:19.691359,36219,384.72841
