create_time,destination_id,exit_code,handler,history_id,id,ids,ids_filetype,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.attribute_name,parameters.chromInfo,parameters.dbkey,parameters.ids,parameters.ids.values,parameters.input,parameters.input.values,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-05-03 15:48:23.081492,slurm_normal,,main_w4_handler0,3071977,15736787,3199905909,fasta,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",847928511,gtf,9846830.roundup,slurm,,corral-repl,,"""gene_id""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29452412}]",,"[{'src': 'hda', 'id': 29449327}]",,37723046,error,gtf_filter_by_attribute_values_list,0.1,,2017-05-03 15:51:21.089816,104065,178.00832400000002
2015-08-01 10:09:56.738801,slurm_normal,,main_w1_handler1,2396539,10046410,32119643511,gtf,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",32119643511,gtf,4326640.roundup,slurm,,corral-repl,,"""gene_id""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",20657846,,20657846,,,24411592,error,gtf_filter_by_attribute_values_list,0.1,,2015-08-01 10:14:22.823492,67160,266.084691
