create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.adv_opts.__current_case__,parameters.adv_opts.adv_optional_id_files_opts.__current_case__,parameters.adv_opts.adv_optional_id_files_opts.adv_optional_id_files_opts_selector,parameters.adv_opts.adv_opts_selector,parameters.adv_opts.db_gencode,parameters.adv_opts.filter_query,parameters.adv_opts.matrix,parameters.adv_opts.max_hits,parameters.adv_opts.max_hsps,parameters.adv_opts.parse_deflines,parameters.adv_opts.qcov_hsp_perc,parameters.adv_opts.strand,parameters.adv_opts.word_size,parameters.chromInfo,parameters.db_opts.__current_case__,parameters.db_opts.database,parameters.db_opts.db_opts_selector,parameters.db_opts.histdb,parameters.db_opts.subject,parameters.dbkey,parameters.evalue_cutoff,parameters.output.__current_case__,parameters.output.out_format,parameters.query.values,parameters.query_gencode,query,query_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-02-22 22:13:31.703027,slurm_normal,,main_w3_handler0,2036840,18489820,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12585176,slurm,,corral-repl,,1,0.0,none,advanced,1,true,BLOSUM62,0,,false,0.0,-strand both,0,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,"['13apr2014-htgs', '17apr2014-nt', '20apr2014-wgs', '/galaxy/data/blastdb/phiX/phiX']",db,,,"""?""","""0.001""",1,ext,"[{'src': 'hda', 'id': 34023016}]","""1""",24366,fasta,,43945103,error,toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_tblastx_wrapper/0.2.01,0.2.01,,2018-02-23 00:45:42.322842,52619,9130.619815
2018-02-23 02:53:08.196305,slurm_normal,,main_w4_handler0,2036840,18492153,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12587512,slurm,,corral-repl,,0,,,basic,,,,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,"['13apr2014-htgs', '17apr2014-nt', '20apr2014-wgs', '/galaxy/data/blastdb/phiX/phiX']",db,,,"""?""","""0.001""",1,ext,"[{'src': 'hda', 'id': 34022998}]","""1""",213980,fasta,,43945103,error,toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_tblastx_wrapper/0.2.01,0.2.01,,2018-02-23 05:38:50.582304,52619,9942.385999
2018-02-22 22:13:31.918574,slurm_normal,,main_w3_handler1,2036840,18489821,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12585171,slurm,,corral-repl,,1,0.0,none,advanced,1,true,BLOSUM62,0,,false,0.0,-strand both,0,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,"['13apr2014-htgs', '17apr2014-nt', '20apr2014-wgs', '/galaxy/data/blastdb/phiX/phiX']",db,,,"""?""","""0.001""",1,ext,"[{'src': 'hda', 'id': 34023023}]","""1""",1629,fasta,,43945103,error,toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_tblastx_wrapper/0.2.01,0.2.01,,2018-02-22 23:02:26.655949,52619,2934.737375
2018-02-22 22:13:30.705699,slurm_normal,,main_w3_handler1,2036840,18489817,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12585734,slurm,,corral-repl,,1,0.0,none,advanced,1,true,BLOSUM62,0,,false,0.0,-strand both,0,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,"['13apr2014-htgs', '17apr2014-nt', '20apr2014-wgs', '/galaxy/data/blastdb/phiX/phiX']",db,,,"""?""","""0.001""",1,ext,"[{'src': 'hda', 'id': 34022998}]","""1""",213980,fasta,,43945103,error,toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_tblastx_wrapper/0.2.01,0.2.01,,2018-02-23 05:53:47.246998,52619,27616.541299
2018-02-23 02:53:08.407061,slurm_normal,,main_w3_handler0,2036840,18492154,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12587514,slurm,,corral-repl,,0,,,basic,,,,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,"['13apr2014-htgs', '17apr2014-nt', '20apr2014-wgs', '/galaxy/data/blastdb/phiX/phiX']",db,,,"""?""","""0.001""",1,ext,"[{'src': 'hda', 'id': 34023011}]","""1""",1215,fasta,,43945103,error,toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_tblastx_wrapper/0.2.01,0.2.01,,2018-02-23 03:24:51.137517,52619,1902.7304560000002
2018-02-23 02:53:09.145086,slurm_normal,,main_w3_handler1,2036840,18492157,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12588286,slurm,,corral-repl,,0,,,basic,,,,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,"['13apr2014-htgs', '17apr2014-nt', '20apr2014-wgs', '/galaxy/data/blastdb/phiX/phiX']",db,,,"""?""","""0.001""",1,ext,"[{'src': 'hda', 'id': 34023023}]","""1""",1629,fasta,,43945103,error,toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_tblastx_wrapper/0.2.01,0.2.01,,2018-02-23 06:35:09.014195,52619,13319.869109000001
2018-02-22 22:13:31.366089,slurm_normal,,main_w4_handler1,2036840,18489819,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12585283,slurm,,corral-repl,,1,0.0,none,advanced,1,true,BLOSUM62,0,,false,0.0,-strand both,0,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,"['13apr2014-htgs', '17apr2014-nt', '20apr2014-wgs', '/galaxy/data/blastdb/phiX/phiX']",db,,,"""?""","""0.001""",1,ext,"[{'src': 'hda', 'id': 34023013}]","""1""",6572,fasta,,43945103,error,toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_tblastx_wrapper/0.2.01,0.2.01,,2018-02-23 00:20:40.349150,52619,7628.983061000001
2018-02-23 02:53:08.614021,slurm_normal,,main_w4_handler1,2036840,18492155,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12587513,slurm,,corral-repl,,0,,,basic,,,,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,"['13apr2014-htgs', '17apr2014-nt', '20apr2014-wgs', '/galaxy/data/blastdb/phiX/phiX']",db,,,"""?""","""0.001""",1,ext,"[{'src': 'hda', 'id': 34023013}]","""1""",6572,fasta,,43945103,error,toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_tblastx_wrapper/0.2.01,0.2.01,,2018-02-23 04:07:19.771565,52619,4451.157544000001
2018-02-22 22:13:30.442596,slurm_normal,,main_w3_handler1,2036840,18489816,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12585640,slurm,,corral-repl,,1,0.0,none,advanced,1,true,BLOSUM62,0,,false,0.0,-strand both,0,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,"['13apr2014-htgs', '17apr2014-nt', '20apr2014-wgs', '/galaxy/data/blastdb/phiX/phiX']",db,,,"""?""","""0.001""",1,ext,"[{'src': 'hda', 'id': 34022986}]","""1""",742153,fasta,,43945103,error,toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_tblastx_wrapper/0.2.01,0.2.01,,2018-02-23 01:33:52.755226,52619,12022.31263
2018-02-23 02:53:08.906798,slurm_normal,,main_w3_handler1,2036840,18492156,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12588274,slurm,,corral-repl,,0,,,basic,,,,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,"['13apr2014-htgs', '17apr2014-nt', '20apr2014-wgs', '/galaxy/data/blastdb/phiX/phiX']",db,,,"""?""","""0.001""",1,ext,"[{'src': 'hda', 'id': 34023016}]","""1""",24366,fasta,,43945103,error,toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_tblastx_wrapper/0.2.01,0.2.01,,2018-02-23 08:19:19.169770,52619,19570.262972
