create_time,destination_id,exit_code,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input.values,parameters.option,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-02-23 12:30:20.130840,slurm_normal,,main_w4_handler1,3423341,18495767,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2551021466,bed,12591361,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 34030979}]","""""",,43712752,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-02-23 12:32:15.746610,121082,115.61577000000001
2018-03-05 14:36:09.873566,slurm_normal,,main_w3_handler1,3437338,18611118,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2370162414,bed,12707109,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 34217412}]","""""",,44296824,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-03-05 15:04:15.860869,21426,1685.987303
2018-03-05 14:36:11.687615,slurm_normal,,main_w3_handler0,3437338,18611120,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2295236720,bed,12707099,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 34217415}]","""""",,44296824,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-03-05 15:03:46.686362,21426,1654.998747
