create_time,destination_id,exit_code,fastq,fastq2,fastq2_filetype,fastq_filetype,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.allow_and_ignore_empty_lines,parameters.chromInfo,parameters.comment,parameters.dbkey,parameters.description,parameters.input_type.__current_case__,parameters.input_type.fastq,parameters.input_type.fastq2,parameters.input_type.input_type_selector,parameters.library_name,parameters.max_q,parameters.min_q,parameters.platform,parameters.platform_unit,parameters.predicted_insert_size,parameters.quality_format,parameters.read_group_name,parameters.run_date,parameters.sample_name,parameters.sequencing_center,parameters.strip_unpairied_mate_number,parameters.validation_stringency,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-11-17 23:12:55.025000,slurm_normal,,14492147591,,,fastq,main_w2_handler1,2510104,10928917,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5183472.roundup,slurm,,corral-repl,,,"""False""","""/galaxy-repl/localdata/chrom/?.len""","""""","""?""","""""",0,22040873,,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""Bischon_HG""","""""","""False""","""SILENT""",,26322854,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.126.0,1.126.0,,2015-11-17 23:19:44.668185,73648.0,409.643185
2015-10-25 09:48:54.731125,slurm_normal,,13247669706,,,fastq,main_w2_handler0,2425869,10722882,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4984740.roundup,slurm,,corral-repl,,,"""False""","""/galaxy-repl/localdata/chrom/?.len""","""""","""?""","""""",0,21722973,,se,"""""","""93""","""0""","""""","""""","""100000""","""Standard""","""A""","""""","""sample-a""","""""","""False""","""LENIENT""",,24981047,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.126.0,1.126.0,,2015-10-25 09:52:03.402538,68448.0,188.671413
2015-10-26 15:39:19.482938,slurm_normal,,23672542716,,,fastqsanger,main_w2_handler0,2078317,10736958,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4997043.roundup,slurm,,corral-repl,,,"""False""","""/galaxy-repl/localdata/chrom/hg19.len""","""""","""hg19""","""""",0,17260526,,se,"""CLA_para_GATK""","""93""","""0""","""""","""""","""0""","""Standard""","""A""","""2015-10-26""","""CLA""","""""","""False""","""LENIENT""",,25895553,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.126.0,1.126.0,,2015-10-26 15:44:29.600599,53963.0,310.117661
2015-06-30 15:05:19.729105,slurm_normal,,2946974402,,,fastq,main_w1_handler0,2208197,9768164,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4070682.roundup,slurm,,corral-repl,,,"""False""","""/galaxy-repl/localdata/chrom/dm3.len""","""""","""dm3""","""""",0,20191947,,se,"""""","""93""","""0""","""illumina""","""""","""""","""Standard""","""c2ha""","""""","""c2ha""","""""","""False""","""SILENT""",,23358447,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.126.0,1.126.0,,2015-06-30 15:10:13.517935,51766.0,293.78883
2015-12-08 20:03:08.091022,slurm_normal,,11325641087,11325641087.0,fastq,fastq,main_w1_handler2,2526435,11121366,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5387104.roundup,slurm,,corral-repl,,,"""False""","""/galaxy-repl/localdata/chrom/?.len""","""""","""?""","""""",1,22282371,22282371.0,pe,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""False""","""LENIENT""",,26542635,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.126.0,1.126.0,,2015-12-08 20:06:54.001447,74614.0,225.910425
2015-08-31 02:24:38.735326,slurm_normal,,3726709779,,,fastqsanger,main_w2_handler0,1139014,10228082,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4502263.roundup,slurm,,corral-repl,,,"""False""","""/galaxy-repl/localdata/chrom/sacCer3.len""","""""","""sacCer3""","""""",0,20450719,,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""False""","""LENIENT""",,24230835,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.126.0,1.126.0,,2015-08-31 02:29:31.038608,26638.0,292.303282
2015-07-02 19:43:51.894757,slurm_normal,,4612234310,,,fastqsanger,main_w1_handler2,2360684,9783886,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4085881.roundup,slurm,,corral-repl,,,"""False""","""/galaxy-repl/localdata/chrom/?.len""","""""","""?""","""""",0,20217817,,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""False""","""LENIENT""",,23918635,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.126.0,1.126.0,,2015-07-02 19:46:48.740655,65483.0,176.845898
2015-02-25 06:13:46.080926,rodeo_normal,,3160738134,,,fastqsanger,main_w2_handler1,2185516,8809851,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2908942.roundup,slurm,,corral-repl,,,"""False""","""/galaxy-repl/localdata/chrom/?.len""","""""","""?""","""breast cancer sample""",0,18607336,,se,"""h19""","""93""","""0""","""illumina""","""illumina""","""""","""Standard""","""A""","""1991-02-25""","""SRR868866""","""gene expression""","""False""","""LENIENT""",,21273859,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.126.0,1.126.0,,2015-02-25 06:16:39.910935,59675.0,173.83000900000002
2015-05-07 14:42:20.648655,slurm_normal,,8485544796,,,fastq,main_w2_handler1,2296191,9422645,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3751999.roundup,slurm,,corral-repl,,,"""False""","""/galaxy-repl/localdata/chrom/?.len""","""""","""?""","""""",0,19614846,,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""False""","""LENIENT""",,22911776,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.126.0,1.126.0,,2015-05-07 14:46:49.845100,63170.0,269.19644500000004
2015-06-30 15:22:45.017640,slurm_normal,,2946974402,,,fastq,main_w2_handler0,2208197,9768289,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4070833.roundup,slurm,,corral-repl,,,"""False""","""/galaxy-repl/localdata/chrom/dm3.len""","""""","""dm3""","""""",0,20191947,,se,"""C2HA""","""93""","""0""","""illumina""","""""","""""","""Illumina""","""C2HA""","""""","""C2HA""","""""","""False""","""LENIENT""",,23358447,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.126.0,1.126.0,,2015-06-30 15:30:00.780577,51766.0,435.762937
2015-04-08 14:59:50.417285,slurm_normal,,5967760540,,,fastqsanger,main_w2_handler1,1999953,9172236,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3452326.roundup,slurm,,corral-repl,,,"""False""","""/galaxy-repl/localdata/chrom/hg19.len""","""""","""hg19""","""""",0,19192275,,se,"""""","""93""","""0""","""""","""""","""0""","""Standard""","""A""","""""","""sample-a""","""""","""False""","""LENIENT""",,20931169,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.126.0,1.126.0,,2015-04-08 15:53:35.529365,48464.0,3225.1120800000003
2015-12-08 21:37:05.327017,slurm_normal,,11325641087,11325641087.0,fastq,fastq,main_w2_handler0,2526435,11121897,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5387764.roundup,slurm,,corral-repl,,,"""False""","""/galaxy-repl/localdata/chrom/?.len""","""""","""?""","""""",1,22282368,22282371.0,pe,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""False""","""LENIENT""",,26542635,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.126.0,1.126.0,,2015-12-08 21:40:30.910816,74614.0,205.583799
2016-01-23 19:56:18.080673,slurm_normal,,5192216664,,,fastq,main_w2_handler1,2575580,11586926,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5852428.roundup,slurm,,corral-repl,,,"""False""","""/galaxy-repl/localdata/chrom/?.len""","""""","""?""","""""",0,23017504,,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""False""","""LENIENT""",,27683586,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.126.0,1.126.0,,2016-01-23 20:00:36.261136,77335.0,258.18046300000003
2015-07-10 21:22:20.202665,slurm_normal,,4063907451,,,fastq,main_w2_handler0,2371989,9835464,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4132841.roundup,slurm,,corral-repl,,,"""False""","""/galaxy-repl/localdata/chrom/mm10.len""","""""","""mm10""","""""",0,20302161,,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""False""","""LENIENT""",,24089581,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.126.0,1.126.0,,2015-07-10 21:25:29.930930,,189.72826500000002
2016-01-18 03:53:57.259973,slurm_normal,,8251903072,8251903072.0,fastq,fastq,main_w2_handler0,2162469,11533118,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5800539.roundup,slurm,,corral-repl,,,"""False""","""/galaxy-repl/localdata/chrom/?.len""","""""","""?""","""""",1,22927724,22927725.0,pe,"""""","""93""","""0""","""""","""""","""""","""Standard""","""Korean-1""","""""","""Korean-1""","""""","""False""","""LENIENT""",,27487772,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.126.0,1.126.0,,2016-01-18 03:56:50.274996,57820.0,173.015023
2015-12-30 18:41:30.609841,slurm_normal,,1947780417,3105892353.0,fastq,fastq,main_w2_handler0,2550195,11350668,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5623741.roundup,slurm,,corral-repl,,,"""False""","""/galaxy-repl/localdata/chrom/?.len""","""""","""?""","""""",1,22691669,22691634.0,pe,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""3t3_293t""","""""","""False""","""LENIENT""",,27080239,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.126.0,1.126.0,,2015-12-30 18:45:18.038183,75885.0,227.42834200000001
2015-06-30 15:24:11.542162,slurm_normal,,2971983101,,,fastq,main_w1_handler0,2208197,9768292,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4070842.roundup,slurm,,corral-repl,,,"""False""","""/galaxy-repl/localdata/chrom/dm3.len""","""""","""dm3""","""""",0,20191942,,se,"""""","""93""","""0""","""""","""""","""""","""Illumina""","""C-input""","""""","""C-input""","""""","""False""","""LENIENT""",,23358447,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.126.0,1.126.0,,2015-06-30 15:29:01.755965,51766.0,290.21380300000004
