bed_input,bed_input_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.bed_vs_interval.__current_case__,parameters.bed_vs_interval.bed_input,parameters.bed_vs_interval.bed_input.values,parameters.bed_vs_interval.bed_vs_interval_selector,parameters.chromInfo,parameters.dbkey,parameters.invert,parameters.vcf_input,parameters.vcf_input.values,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,vcf_input,vcf_input_filetype,runtime
6361756369,bed,2016-09-05 16:02:35.117970,slurm_normal,,main_w4_handler0,2808668,13783226,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8004812.roundup,slurm,,corral-repl,,,0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f0cfa2c25747cf47'}]",bed,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""true""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5fe486eeff9774815'}]",,32779722,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfbedintersect/vcfbedintersect/0.0.3,0.0.3,,2016-09-05 16:17:55.760078,79348,72059806,vcf,920.642108
2583883906,bed,2016-06-02 15:08:53.162637,slurm_normal,,main_w2_handler0,2725372,13050446,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7236396.roundup,slurm,,corral-repl,,,0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b526e727323310da3e'}]",bed,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c980cfd682fd4522'}]",,30514304,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfbedintersect/vcfbedintersect/0.0.3,0.0.3,,2016-06-02 15:12:11.397594,5573,464602,vcf,198.234957
5774237768,bed,2016-01-08 23:03:52.221258,slurm_normal,,main_w2_handler0,1884008,11426821,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5690509.roundup,slurm,,corral-repl,,,0,22801576.0,,bed,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""False""",22804954,,,27301489,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfbedintersect/vcfbedintersect/0.0.3,0.0.3,,2016-01-08 23:08:36.404000,1229,360455730,vcf,284.182742
2421974186,bed,2016-03-23 17:04:01.633121,slurm_normal,,main_w2_handler1,2152077,12237110,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6451097.roundup,slurm,,corral-repl,,,0,18009812.0,,bed,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""False""",23570457,,,29167787,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfbedintersect/vcfbedintersect/0.0.3,0.0.3,,2016-03-23 17:11:42.704060,43909,3388102202,vcf,461.070939
6470554019,bed,2015-09-20 20:28:03.791464,slurm_normal,,main_w2_handler1,2331923,10366865,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4649258.roundup,slurm,,corral-repl,,,0,21183987.0,,bed,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""True""",21181810,,,25251526,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfbedintersect/vcfbedintersect/0.0.3,0.0.3,,2015-09-20 21:57:03.466956,64535,592416466,vcf,5339.675492
4493036040,bed,2015-11-05 02:33:32.583358,slurm_normal,,main_w1_handler0,2494193,10822727,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5078287.roundup,slurm,,corral-repl,,,0,21860625.0,,bed,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""True""",21861009,,,26073385,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfbedintersect/vcfbedintersect/0.0.3,0.0.3,,2015-11-05 02:36:48.169234,41414,1838689,vcf,195.585876
6470554019,bed,2015-09-20 20:26:54.284991,slurm_normal,,main_w1_handler0,2331923,10366852,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4649257.roundup,slurm,,corral-repl,,,0,21183987.0,,bed,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",21181810,,,25251526,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfbedintersect/vcfbedintersect/0.0.3,0.0.3,,2015-09-20 21:57:13.793100,64535,592416466,vcf,5419.508109
2853835353,bed,2015-06-15 09:08:03.108089,slurm_normal,,main_w1_handler2,2327497,9652980,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3963829.roundup,slurm,,corral-repl,,,0,20006475.0,,bed,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""False""",20006731,,,23540761,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfbedintersect/vcfbedintersect/0.0.3,0.0.3,,2015-06-15 09:10:47.005597,64361,289233,vcf,163.89750800000002
4493036040,bed,2015-11-05 13:28:18.180922,slurm_normal,,main_w2_handler1,2494193,10826849,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5082207.roundup,slurm,,corral-repl,,,0,21883524.0,,bed,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""True""",21883513,,,26073385,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfbedintersect/vcfbedintersect/0.0.3,0.0.3,,2015-11-05 13:33:24.369662,41414,1128375,vcf,306.18874
4493036040,bed,2015-11-03 16:42:00.586537,slurm_normal,,main_w2_handler1,2494193,10808342,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5065971.roundup,slurm,,corral-repl,,"""c7310162824911e58fa3005056a51846""",0,21860625.0,,bed,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""True""",21861009,,,26073385,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfbedintersect/vcfbedintersect/0.0.3,0.0.3,,2015-11-03 20:39:26.783094,41414,1838689,vcf,14246.196557000001
4716297456,bed,2016-04-07 16:37:55.893757,slurm_normal,,main_w1_handler1,2658720,12366383,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6569948.roundup,slurm,,corral-repl,,,0,24170281.0,,bed,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""False""",24168544,,,29444958,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfbedintersect/vcfbedintersect/0.0.3,0.0.3,,2016-04-07 16:42:10.691455,30491,26270226601,vcf,254.79769800000003
7974928204,bed,2016-04-07 16:39:22.930236,slurm_normal,,main_w1_handler0,2658720,12366390,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6569986.roundup,slurm,,corral-repl,,,0,24169123.0,,bed,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""False""",24168544,,,29444958,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfbedintersect/vcfbedintersect/0.0.3,0.0.3,,2016-04-07 16:46:53.074670,30491,26270226601,vcf,450.14443400000005
6361756369,bed,2016-09-05 16:46:23.911577,slurm_normal,,main_w4_handler1,2808668,13783392,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8004958.roundup,slurm,,corral-repl,,,0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f0cfa2c25747cf47'}]",bed,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""true""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5fe486eeff9774815'}]",,32779722,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfbedintersect/vcfbedintersect/0.0.3,0.0.3,,2016-09-05 16:50:14.322877,79348,72059806,vcf,230.4113
