beds,beds1,beds1_filetype,beds_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,inputA,inputA_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.both,parameters.chromInfo,parameters.counts,parameters.dbkey,parameters.inputA.values,parameters.names.__current_case__,parameters.names.beds.values,parameters.names.names_select,parameters.strand,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
891503,891503,bed,bed,2016-10-28 13:19:17.744320,slurm_normal,,main_w3_handler0,2480912,14199817,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1487827794,gff3,8411342.roundup,slurm,,corral-repl,,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""false""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b507284ef216d77959'}]",1,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58794f2732af6f830'}]",no,"""""",,33242966,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_annotatebed/2.24.1,2.24.1,,2016-10-28 13:29:55.093560,71005.0,637.34924
1256130537,1256130537,bed,bed,2017-03-02 11:07:07.753560,slurm_normal,,main_w4_handler0,3015324,15187320,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1454720743,bed,9338183.roundup,slurm,,corral-repl,,"""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""false""","""hg19""","[{'src': 'hda', 'id': 28573638}]",1,"[{'src': 'hda', 'id': 28574196}]",no,"""""",,36381683,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_annotatebed/2.24.1,2.24.1,,2017-03-02 11:08:14.645369,101183.0,66.89180900000001
1093420456,1093420456,bed,bed,2017-01-10 22:19:14.847174,slurm_normal,,main_w3_handler1,2947774,14734620,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1093420456,bed,8899231.roundup,slurm,,corral-repl,,"""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""false""","""hg19""","[{'src': 'hda', 'id': 27882890}]",1,"[{'src': 'hda', 'id': 27882890}]",no,"""""",,35216311,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_annotatebed/2.24.1,2.24.1,,2017-01-10 22:21:13.061088,,118.213914
1454720743,1454720743,bed,bed,2017-03-01 17:54:27.596984,slurm_normal,,main_w4_handler1,3015324,15181036,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1454720743,bed,9331690.roundup,slurm,,corral-repl,,"""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""false""","""hg19""","[{'src': 'hda', 'id': 28573638}]",1,"[{'src': 'hda', 'id': 28573638}]",no,"""""",,35229549,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_annotatebed/2.24.1,2.24.1,,2017-03-01 17:57:34.973435,,187.376451
8230,8230,bed,bed,2017-03-15 20:22:06.921399,slurm_normal,,main_w3_handler1,3014572,15306597,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4552586319,bed,9448748.roundup,slurm,,corral-repl,,"""true""","""/galaxy-repl/localdata/chrom/?.len""","""true""","""?""","[{'src': 'hda', 'id': 28565547}]",1,"[{'src': 'hda', 'id': 28565583}]",no,"""""",,36365023,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_annotatebed/2.24.1,2.24.1,,2017-03-15 20:23:43.171943,101123.0,96.250544
1507876492,1507876492,bed,bed,2017-03-02 10:06:49.375421,slurm_normal,,main_w4_handler1,3015324,15186819,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1454720743,bed,9337716.roundup,slurm,,corral-repl,,"""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""false""","""hg19""","[{'src': 'hda', 'id': 28573638}]",1,"[{'src': 'hda', 'id': 28582686}]",no,"""""",,36381683,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_annotatebed/2.24.1,2.24.1,,2017-03-02 10:07:56.062682,101183.0,66.687261
1256130537,1256130537,bed,bed,2017-03-02 10:10:16.324442,slurm_normal,,main_w3_handler0,3015324,15186857,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1454720743,bed,9337738.roundup,slurm,,corral-repl,,"""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""false""","""hg19""","[{'src': 'hda', 'id': 28573638}]",1,"[{'src': 'hda', 'id': 28574196}]",no,"""""",,36381683,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_annotatebed/2.24.1,2.24.1,,2017-03-02 10:11:37.622574,101183.0,81.29813200000001
8230,8230,bed,bed,2017-03-01 15:53:44.872092,slurm_normal,,main_w4_handler1,3014572,15179948,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4552586319,bed,9330370.roundup,slurm,,corral-repl,,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""false""","""?""","[{'src': 'hda', 'id': 28565547}]",1,"[{'src': 'hda', 'id': 28565583}]",no,"""""",,36269575,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_annotatebed/2.24.1,2.24.1,,2017-03-01 15:55:22.767567,,97.895475
5411448,5411448,bed,bed,2016-10-25 20:53:29.436628,slurm_normal,,main_w4_handler1,2860995,14173284,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3917772276,csv,8386334.roundup,slurm,,corral-repl,,"""true""","""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""true""","""Homo_sapiens_nuHg19_mtrCRS""","[{'src': 'hda', 'id': 'bbd44e69cb8906b568c0dd95f4b8c6ac'}]",1,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5bcb1b6c0c9c6560e'}]",no,"""""",,33294469,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_annotatebed/2.24.1,2.24.1,,2016-10-25 21:37:43.401111,91117.0,2653.964483
156621,156621,bed,bed,2017-02-17 06:00:16.260207,slurm_normal,,main_w4_handler0,2922666,15064129,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",113327817,gff3,9219591.roundup,slurm,,corral-repl,,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""false""","""?""","[{'src': 'hda', 'id': 27554427}]",1,"[{'src': 'hda', 'id': 28394219}]",no,"""""",,34844289,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_annotatebed/2.24.1,2.24.1,,2017-02-17 06:01:46.463918,96538.0,90.20371100000001
