chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_bam,input_bam_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.analysis_param_type.__current_case__,parameters.analysis_param_type.analysis_param_type_selector,parameters.analysis_param_type.default_platform,parameters.analysis_param_type.default_read_group_type.__current_case__,parameters.analysis_param_type.default_read_group_type.default_read_group_type_selector,parameters.analysis_param_type.exception_if_no_tile,parameters.analysis_param_type.force_platform,parameters.analysis_param_type.force_read_group_type.__current_case__,parameters.analysis_param_type.force_read_group_type.force_read_group_type_selector,parameters.analysis_param_type.homopolymer_nback,parameters.analysis_param_type.solid_options_type.__current_case__,parameters.analysis_param_type.solid_options_type.solid_options_type_selector,parameters.analysis_param_type.window_size_nqs,parameters.chromInfo,parameters.covariates,parameters.dbkey,parameters.gatk_param_type.__current_case__,parameters.gatk_param_type.baq,parameters.gatk_param_type.baq_gap_open_penalty,parameters.gatk_param_type.default_base_qualities,parameters.gatk_param_type.disable_experimental_low_memory_sharding,parameters.gatk_param_type.downsampling_type.__current_case__,parameters.gatk_param_type.downsampling_type.downsampling_type_selector,parameters.gatk_param_type.gatk_param_type_selector,parameters.gatk_param_type.input_exclude_interval_repeat,parameters.gatk_param_type.input_interval_repeat,parameters.gatk_param_type.interval_merging,parameters.gatk_param_type.interval_set_rule,parameters.gatk_param_type.non_deterministic_random_seed,parameters.gatk_param_type.pedigree,parameters.gatk_param_type.pedigree_string_repeat,parameters.gatk_param_type.pedigree_validation_type,parameters.gatk_param_type.read_filter,parameters.gatk_param_type.read_group_black_list_repeat,parameters.gatk_param_type.use_original_qualities,parameters.gatk_param_type.validation_strictness,parameters.reference_source.__current_case__,parameters.reference_source.input_bam,parameters.reference_source.input_bam.values,parameters.reference_source.ref_file,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,parameters.rod_bind,parameters.standard_covs,ref_file,ref_file_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2014-11-15 16:23:56.773912,rodeo_normal,,main_w2_handler0,2118495,8174372,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4209195080,bam,2022100.roundup,slurm,,corral-repl,,,0,basic,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""",,"""hg_g1k_v37""",0,,,,,,,basic,,,,,,,,,,,,,0,17553086.0,,hg_g1k_v37,,cached,[],"""True""",,,,18564821,error,toolshed.g2.bx.psu.edu/repos/devteam/count_covariates/gatk_count_covariates/0.0.5,0.0.5,,2014-11-15 16:25:50.137314,50275,113.36340200000001
,,2016-04-25 15:18:46.136078,slurm_normal_16gb,,main_w1_handler1,2683723,12607267,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2791717566,bam,6807995.roundup,slurm,,corral-repl,,,0,basic,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","[""ReadGroupCovariate"", ""QualityScoreCovariate"", ""CycleCovariate"", ""DinucCovariate"", ""HomopolymerCovariate"", ""GCContentCovariate"", ""MappingQualityCovariate"", ""MinimumNQSCovariate"", ""PositionCovariate"", ""PrimerRoundCovariate""]","""hg_g1k_v37""",0,,,,,,,basic,,,,,,,,,,,,,0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b596b8dc0132eb988e'}]",hg_g1k_v37,,cached,[],"""true""",,,,29809315,error,toolshed.g2.bx.psu.edu/repos/devteam/count_covariates/gatk_count_covariates/0.0.5,0.0.5,,2016-04-25 16:02:01.555262,61779,2595.4191840000003
,,2014-11-16 21:40:46.174722,rodeo_normal,,main_w2_handler1,2119507,8179671,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4715200601,bam,2028012.roundup,slurm,,corral-repl,,,0,basic,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""",,"""hg_g1k_v37""",0,,,,,,,basic,,,,,,,,,,,,,0,17564234.0,,hg_g1k_v37,,cached,[],"""True""",,,,18837802,error,toolshed.g2.bx.psu.edu/repos/devteam/count_covariates/gatk_count_covariates/0.0.5,0.0.5,,2014-11-16 22:08:55.544116,50275,1689.369394
,,2014-11-14 04:59:06.604358,rodeo_normal,,main_w2_handler0,2082755,8165644,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6253809440,bam,2010706.roundup,slurm,,corral-repl,,"""f3fcf8286bba11e49110005056a52a46""",0,basic,,,,,,,,,,,,"""/galaxy-repl/main/files/009/304/dataset_9304384.dat""","[""ReadGroupCovariate"", ""QualityScoreCovariate"", ""CycleCovariate"", ""DinucCovariate""]","""IRGSP-1.0""",0,,,,,,,basic,,,,,,,,,,,,,1,17539503.0,,17202389,,history,[],"""False""",379466370.0,fasta,,18124944,error,toolshed.g2.bx.psu.edu/repos/devteam/count_covariates/gatk_count_covariates/0.0.5,0.0.5,,2014-11-14 06:42:01.625620,49852,6175.021262
,,2016-04-24 22:07:49.028424,slurm_normal_16gb,,main_w1_handler1,2682641,12595058,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2791717566,bam,6795412.roundup,slurm,,corral-repl,,,0,basic,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","[""ReadGroupCovariate"", ""QualityScoreCovariate"", ""CycleCovariate"", ""DinucCovariate"", ""HomopolymerCovariate"", ""GCContentCovariate"", ""MappingQualityCovariate"", ""MinimumNQSCovariate"", ""PositionCovariate"", ""PrimerRoundCovariate""]","""hg_g1k_v37""",0,,,,,,,basic,,,,,,,,,,,,,0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e2433503cd4fed10'}]",hg_g1k_v37,,cached,[],"""true""",,,,29791501,error,toolshed.g2.bx.psu.edu/repos/devteam/count_covariates/gatk_count_covariates/0.0.5,0.0.5,,2016-04-24 22:42:33.688588,59652,2084.6601640000003
,,2014-11-15 12:43:41.966492,rodeo_normal,,main_w2_handler0,2118495,8173033,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4209195080,bam,2020780.roundup,slurm,,corral-repl,,,0,basic,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""",,"""hg_g1k_v37""",0,,,,,,,basic,,,,,,,,,,,,,0,17553086.0,,hg_g1k_v37,,cached,[],"""True""",,,,18564131,error,toolshed.g2.bx.psu.edu/repos/devteam/count_covariates/gatk_count_covariates/0.0.5,0.0.5,,2014-11-15 13:20:51.816342,50275,2229.84985
,,2016-04-24 22:13:46.442355,slurm_normal_16gb,,main_w1_handler1,2682642,12595088,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5643964424,bam,6795848.roundup,slurm,,corral-repl,,,0,basic,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","[""ReadGroupCovariate"", ""QualityScoreCovariate"", ""CycleCovariate"", ""DinucCovariate"", ""HomopolymerCovariate"", ""GCContentCovariate"", ""MappingQualityCovariate"", ""MinimumNQSCovariate"", ""PositionCovariate"", ""PrimerRoundCovariate""]","""hg_g1k_v37""",0,,,,,,,basic,,,,,,,,,,,,,0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5aa1816a4f6e04973'}]",hg_g1k_v37,,cached,[],"""true""",,,,29791501,error,toolshed.g2.bx.psu.edu/repos/devteam/count_covariates/gatk_count_covariates/0.0.5,0.0.5,,2016-04-24 23:12:25.955187,59652,3519.5128320000003
,,2014-11-15 09:07:01.283918,rodeo_normal,,main_w1_handler1,2118495,8172754,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4209195080,bam,2020718.roundup,slurm,,corral-repl,,,0,basic,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""",,"""hg_g1k_v37""",0,,,,,,,basic,,,,,,,,,,,,,0,17553086.0,,hg_g1k_v37,,cached,[],"""True""",,,,18560975,error,toolshed.g2.bx.psu.edu/repos/devteam/count_covariates/gatk_count_covariates/0.0.5,0.0.5,,2014-11-15 12:03:47.459793,50275,10606.175875
,,2017-01-28 04:36:39.842018,slurm_normal_16gb,,main_w3_handler1,2695222,14896291,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4965999277,bam,9055189.roundup,slurm,,corral-repl,,,0,basic,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","[""ReadGroupCovariate"", ""QualityScoreCovariate"", ""CycleCovariate"", ""DinucCovariate"", ""HomopolymerCovariate"", ""GCContentCovariate"", ""MappingQualityCovariate"", ""MinimumNQSCovariate"", ""PositionCovariate"", ""PrimerRoundCovariate""]","""hg_g1k_v37""",0,,,,,,,basic,,,,,,,,,,,,,0,,"[{'src': 'hda', 'id': 28124846}]",hg_g1k_v37,,cached,[],"""true""",,,,34906108,error,toolshed.g2.bx.psu.edu/repos/devteam/count_covariates/gatk_count_covariates/0.0.5,0.0.5,,2017-01-28 05:42:31.544285,78704,3951.702267
33.0,len,2016-05-25 18:18:28.978399,slurm_normal_16gb,,main_w1_handler1,2715368,12986164,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",142151204,bam,7172609.roundup,slurm,,corral-repl,,,1,advanced,default,0.0,default,false,default,0.0,default,7,0.0,default,5,"""/galaxy-repl/main/files/015/934/dataset_15934046.dat""","[""ReadGroupCovariate"", ""PositionCovariate""]","""?""",1,OFF,40.0,-1,false,0.0,NONE,advanced,[],[],ALL,UNION,false,[],[],STRICT,[],[],false,STRICT,1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53cda1ac930604f34'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57c32d5ad368a7306'}]",history,[],"""false""",3355.0,fasta,,30425508,error,toolshed.g2.bx.psu.edu/repos/devteam/count_covariates/gatk_count_covariates/0.0.5,0.0.5,,2016-05-25 18:20:31.625041,84949,122.64664200000001
