create_time,destination_id,exit_code,handler,history_id,id,imported,info,inputA,inputA_filetype,inputB,inputB1,inputB10,inputB10_filetype,inputB1_filetype,inputB2,inputB2_filetype,inputB3,inputB3_filetype,inputB4,inputB4_filetype,inputB5,inputB5_filetype,inputB6,inputB6_filetype,inputB7,inputB7_filetype,inputB8,inputB8_filetype,inputB9,inputB9_filetype,inputB_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.count,parameters.dbkey,parameters.fraction,parameters.header,parameters.inputA.values,parameters.inputB.values,parameters.invert,parameters.once,parameters.overlap_mode,parameters.reciprocal,parameters.split,parameters.strand,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-07-20 15:11:29.382960,slurm_normal,,main_w3_handler0,3116449,16376165,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",188193122,bed,5235231425,5235231425,,,bed,,,,,,,,,,,,,,,,,bed,10441174.roundup,slurm,,corral-repl,,"""a8fc7f186d5d11e7838e005056ba2773""","""/galaxy-repl/localdata/chrom/hg19.len""","""false""","""hg19""","""""","""false""","[{'src': 'hda', 'id': 29669223}]","[{'src': 'hda', 'id': 30540360}]","""false""","""false""","[""-wo""]","""false""","""false""","""""",,,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.26.0.0,2.26.0.0,,2017-07-20 15:15:48.425540,104750.0,259.04258000000004
2017-05-29 13:04:23.513153,slurm_normal,,main_w3_handler1,3131485,15960665,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",466783929,bam,474283377,474283377,,,bam,,,,,,,,,,,,,,,,,bam,10057725.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""false""","""hg19""","""0.3""","""false""","[{'src': 'hda', 'id': 29805571}]","[{'src': 'hda', 'id': 29805572}]","""false""","""false""","[""-wa""]","""false""","""false""","""""",,38196891.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.26.0.0,2.26.0.0,,2017-05-29 13:05:27.110455,39888.0,63.597302000000006
2017-12-05 12:04:01.286853,slurm_normal,,main_w4_handler0,3335086,17701288,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1609554945,bam,1677081794,1677081794,,,bam,,,,,,,,,,,,,,,,,bam,11765947,slurm,,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/danRer10.len""","""false""","""danRer10""",""".5""","""false""","[{'src': 'hda', 'id': 32471767}]","[{'src': 'hda', 'id': 32471457}]","""false""","""false""","[""-wa""]","""false""","""false""","""""",,42468699.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.26.0.0,2.26.0.0,,2017-12-05 12:04:59.692923,90250.0,58.40607000000001
2017-07-14 19:03:12.004515,slurm_normal,,main_w4_handler1,3185589,16347800,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4148656,bed,2401147585,2401147585,,,bam,,,,,,,,,,,,,,,,,bam,10413268.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""false""","""hg19""","""""","""false""","[{'src': 'hda', 'id': 30497231}]","[{'src': 'hda', 'id': 30496435}]","""false""","""false""","[""-wa""]","""false""","""false""","""""",,39168846.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.26.0.0,2.26.0.0,,2017-07-14 19:04:14.374536,69475.0,62.370021
2017-05-29 13:08:53.578921,slurm_normal,,main_w3_handler0,3131485,15960689,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",474283377,bam,466783929,466783929,,,bam,,,,,,,,,,,,,,,,,bam,10057742.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""false""","""hg19""","""0.3""","""false""","[{'src': 'hda', 'id': 29805572}]","[{'src': 'hda', 'id': 29805571}]","""false""","""false""","[""-wa""]","""false""","""false""","""""",,38196891.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.26.0.0,2.26.0.0,,2017-05-29 13:09:48.958105,39888.0,55.379184
2017-08-06 19:52:53.040098,slurm_normal,,main_w3_handler0,2095819,16516141,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3526507,bed,906089422,906089422,,,bam,1197248464.0,bam,,,,,,,,,,,,,,,bam,10585632.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""false""","""mm9""","""""","""true""","[{'src': 'hda', 'id': 30599798}]","[{'src': 'hda', 'id': 30765558}, {'src': 'hda', 'id': 30765559}]","""false""","""false""","[""-wa""]","""false""","""false""","""""",,39711593.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.26.0.0,2.26.0.0,,2017-08-06 19:53:48.931979,54852.0,55.891881000000005
2017-10-18 15:16:20.255357,slurm_normal,,main_w4_handler0,3290777,17133736,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",663015140,bed,1024179483,1024179483,,,bed,,,,,,,,,,,,,,,,,bed,11190575,slurm,,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/danRer10.len""","""false""","""danRer10""",""".5""","""false""","[{'src': 'hda', 'id': 31741034}]","[{'src': 'hda', 'id': 31741035}]","""false""","""false""","[""-wa""]","""true""","""false""","""""",,40172925.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.26.0.0,2.26.0.0,,2017-10-18 15:35:18.696922,90250.0,1138.441565
2017-09-08 20:27:28.916620,slurm_normal,,main_w3_handler1,2951049,16775827,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",194260,bed,1119850333,1119850333,,,bed,,,,,,,,,,,,,,,,,bed,10843626.roundup,slurm,,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/sacCer3.len""","""true""","""sacCer3""","""""","""false""","[{'src': 'hda', 'id': 31164840}]","[{'src': 'hda', 'id': 31164097}]","""false""","""false""","[""-wa""]","""false""","""false""","""-s""",,40360140.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.26.0.0,2.26.0.0,,2017-09-08 20:28:29.408760,97825.0,60.492140000000006
2017-07-20 07:11:09.660498,slurm_normal,,main_w3_handler0,3169615,16371896,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1368515248,bam,1351654357,1351654357,,,bam,,,,,,,,,,,,,,,,,bam,10436829.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""false""","""?""","""""","""false""","[{'src': 'hda', 'id': 30389504}]","[{'src': 'hda', 'id': 30389506}]","""false""","""false""","[""-wa""]","""false""","""true""","""""",,39376100.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.26.0.0,2.26.0.0,,2017-07-20 07:11:47.844426,107574.0,38.183928
2017-05-25 06:09:44.212735,slurm_normal,,main_w3_handler0,3079797,15934161,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11911,bed,29206859712,29206859712,,,vcf,,,,,,,,,,,,,,,,,vcf,10032547.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""false""","""hg19""","""""","""true""","[{'src': 'hda', 'id': 29763535}]","[{'src': 'hda', 'id': 29762865}]","""false""","""false""","[""-wa""]","""false""","""false""","""""",,37470652.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.26.0.0,2.26.0.0,,2017-05-25 06:10:29.591269,104400.0,45.378534
2017-12-05 10:25:57.806189,slurm_normal,,main_w4_handler1,3335086,17700600,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1566691687,bam,1513339396,1513339396,,,bam,,,,,,,,,,,,,,,,,bam,11765364,slurm,,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/danRer10.len""","""false""","""danRer10""","""0.5""","""false""","[{'src': 'hda', 'id': 32471870}]","[{'src': 'hda', 'id': 32471872}]","""false""","""false""","[""-wa""]","""false""","""false""","""""",,41728711.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.26.0.0,2.26.0.0,,2017-12-05 10:26:54.111411,90250.0,56.305222
2017-07-22 19:47:24.293821,slurm_normal,,main_w4_handler0,3116449,16396382,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1182980559,bed,1500738378,1500738378,,,bed,,,,,,,,,,,,,,,,,bed,10460538.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""false""","""hg19""","""""","""false""","[{'src': 'hda', 'id': 30277554}]","[{'src': 'hda', 'id': 30575876}]","""false""","""false""","[""-wo""]","""false""","""false""","""""",,39020089.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.26.0.0,2.26.0.0,,2017-07-22 19:49:24.671971,104750.0,120.37815
2017-07-12 01:38:02.243046,slurm_normal,,main_w3_handler1,3169615,16315975,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1368515248,bam,1351654357,1351654357,,,bam,1169631052.0,bam,1364251539.0,bam,,,,,,,,,,,,,bam,10383035.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""false""","""?""","""""","""false""","[{'src': 'hda', 'id': 30389504}]","[{'src': 'hda', 'id': 30389506}, {'src': 'hda', 'id': 30389507}, {'src': 'hda', 'id': 30389508}]","""true""","""false""","[""-wa"", ""-wb""]","""false""","""true""","""""",,39197002.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.26.0.0,2.26.0.0,,2017-07-12 01:39:00.088230,107574.0,57.845184
2017-11-13 16:07:51.133049,slurm_normal,,main_w4_handler0,3318572,17439289,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",27372529,bed,2856562650,2856562650,,,bed,,,,,,,,,,,,,,,,,bed,11497954,slurm,,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""true""","""hg38""","""""","""false""","[{'src': 'hda', 'id': 32284231}]","[{'src': 'hda', 'id': 32284195}]","""false""","""false""","[""-wa""]","""false""","""false""","""""",,41847813.0,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.26.0.0,2.26.0.0,,2017-11-13 16:08:25.398621,115669.0,34.265572
