chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input1,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-12-07 09:24:48.182528,slurm_normal,,main_w2_handler1,2508098,11108977,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",369714303,sam,5374619.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",22281819,,26296060,error,CONVERTER_sam_to_bam,2.0.0,,2015-12-07 09:26:57.132827,73542,128.950299
,,2015-09-03 10:37:49.495072,slurm_normal,,main_w1_handler0,2419453,10250121,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1922964032,sam,4537955.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",20987487,,24996878,error,CONVERTER_sam_to_bam,2.0.0,,2015-09-03 10:38:40.271878,68199,50.776806
1514239936.0,len,2015-11-12 00:19:09.994610,slurm_normal,,main_w1_handler0,2500536,10880561,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1944532552,sam,5134158.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/013/168/dataset_13168567.dat""","""?""",21961361,,26210900,error,CONVERTER_sam_to_bam,2.0.0,,2015-11-12 00:20:44.120840,73128,94.12623
