create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_file,input_file_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.graph_size,parameters.input_file,parameters.input_file.values,parameters.lwcol,parameters.lwcol.__class__,parameters.lwcol.value,parameters.medcol,parameters.medcol.__class__,parameters.medcol.value,parameters.q1col,parameters.q1col.__class__,parameters.q1col.value,parameters.q3col,parameters.q3col.__class__,parameters.q3col.value,parameters.rwcol,parameters.rwcol.__class__,parameters.rwcol.value,parameters.title,parameters.use_outliers.__current_case__,parameters.use_outliers.outliercol,parameters.use_outliers.outliercol.__class__,parameters.use_outliers.outliercol.value,parameters.use_outliers.use_outliers_type,parameters.xcol,parameters.xcol.__class__,parameters.xcol.value,parameters.xlabel,parameters.ylabel,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-03-18 15:49:42.188183,slurm_normal,,main_w1_handler2,2634896,12182045,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1320568758,tabular,6397298.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""2048,768""",23907404,,"""1""",,,"""1""",,,"""1""",,,"""1""",,,"""1""",,,"""Box plot in Galaxy""",0,1,,,use_outliers,"""1""",,,"""X Axis Label""","""Score Value""",,28509455,error,qual_stats_boxplot,1.0.0,,2016-03-18 16:37:02.407273,78891.0,2840.21909
2016-03-18 15:49:37.799972,slurm_normal,,main_w2_handler0,2634896,12182040,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1212884628,tabular,6396852.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""2048,768""",23907398,,"""1""",,,"""1""",,,"""1""",,,"""1""",,,"""1""",,,"""Box plot in Galaxy""",0,1,,,use_outliers,"""1""",,,"""X Axis Label""","""Score Value""",,28509455,error,qual_stats_boxplot,1.0.0,,2016-03-18 16:07:14.696009,78891.0,1056.896037
2016-03-18 15:49:38.813669,slurm_normal,,main_w1_handler2,2634896,12182041,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1220248106,tabular,6397228.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""2048,768""",23907399,,"""1""",,,"""1""",,,"""1""",,,"""1""",,,"""1""",,,"""Box plot in Galaxy""",0,1,,,use_outliers,"""1""",,,"""X Axis Label""","""Score Value""",,28509455,error,qual_stats_boxplot,1.0.0,,2016-03-18 16:29:26.145495,78891.0,2387.331826
2017-07-07 03:16:55.528797,slurm_normal,,main_w4_handler0,3165365,16278783,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3319510140,customtrack,10349539.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""2048,768""",,"[{'src': 'hda', 'id': 30334166}]","""1""",,,"""1""",,,"""1""",,,"""1""",,,"""1""",,,"""Box plot in Galaxy""",0,1,,,use_outliers,"""1""",,,"""X Axis Label""","""Score Value""",,39147162,error,qual_stats_boxplot,1.0.0,,2017-07-07 03:18:50.617750,59907.0,115.088953
2016-05-09 20:22:39.566966,slurm_normal,,main_w1_handler1,2697306,12835860,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3050362118,bed,7037101.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""2048,768""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b566d2b707654ce1c5'}]","""1""",,,"""1""",,,"""1""",,,"""1""",,,"""1""",,,"""Box plot in Galaxy""",0,1,,,use_outliers,"""1""",,,"""X Axis Label""","""Score Value""",,29483001,error,qual_stats_boxplot,1.0.0,,2016-05-09 20:29:57.843049,82005.0,438.276083
2016-05-09 20:22:22.646727,slurm_normal,,main_w1_handler1,2697306,12835836,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2032553500,bed,7037018.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""2048,768""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b540dbe307a26ca2af'}]","""1""",,,"""1""",,,"""1""",,,"""1""",,,"""1""",,,"""Box plot in Galaxy""",0,1,,,use_outliers,"""1""",,,"""X Axis Label""","""Score Value""",,29483001,error,qual_stats_boxplot,1.0.0,,2016-05-09 20:24:27.915456,82005.0,125.26872900000001
2016-02-15 08:18:19.581112,slurm_normal,,main_w1_handler2,2276715,11825804,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3900929011,vcf,6074812.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""2048,768""",23196521,,"""1""",,,"""1""",,,"""1""",,,"""1""",,,"""1""",,,"""Box plot in Galaxy""",0,1,,,use_outliers,"""1""",,,"""X Axis Label""","""Score Value""",,28123383,error,qual_stats_boxplot,1.0.0,,2016-02-15 08:20:32.095977,62597.0,132.51486500000001
2016-03-18 15:49:45.221390,slurm_normal,,main_w2_handler1,2634896,12182052,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",640388467,tabular,6396765.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""2048,768""",23907412,,"""1""",,,"""1""",,,"""1""",,,"""1""",,,"""1""",,,"""Box plot in Galaxy""",0,1,,,use_outliers,"""1""",,,"""X Axis Label""","""Score Value""",,28509455,error,qual_stats_boxplot,1.0.0,,2016-03-18 16:00:36.505417,78891.0,651.284027
2015-10-16 08:56:58.604680,slurm_normal,,main_w1_handler2,2472393,10592301,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10796220779,vcf,4863078.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""2048,768""",21531649,,"""1""",,,"""8""",,,"""7""",,,"""1""",,,"""1""",,,"""Box plot in Galaxy""",0,1,,,use_outliers,"""1""",,,"""X Axis Label""","""Score Value""",,25696626,error,qual_stats_boxplot,1.0.0,,2015-10-16 09:00:20.153574,67109.0,201.54889400000002
2016-03-18 15:49:27.819532,slurm_normal,,main_w2_handler0,2634896,12182028,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",748205381,tabular,6396692.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""2048,768""",23907386,,"""1""",,,"""1""",,,"""1""",,,"""1""",,,"""1""",,,"""Box plot in Galaxy""",0,1,,,use_outliers,"""1""",,,"""X Axis Label""","""Score Value""",,28509455,error,qual_stats_boxplot,1.0.0,,2016-03-18 15:53:41.132952,78891.0,253.31342
2016-05-09 20:22:28.264296,slurm_normal,,main_w1_handler0,2697306,12835844,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2223959266,bed,7037015.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""2048,768""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5dad57ee04e22d698'}]","""1""",,,"""1""",,,"""1""",,,"""1""",,,"""1""",,,"""Box plot in Galaxy""",0,1,,,use_outliers,"""1""",,,"""X Axis Label""","""Score Value""",,29483001,error,qual_stats_boxplot,1.0.0,,2016-05-09 20:24:27.417461,82005.0,119.153165
2017-02-26 02:21:45.213557,slurm_normal,,main_w4_handler0,3010500,15144979,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",289235350,tabular,9298094.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""2048,768""",,"[{'src': 'hda', 'id': 28519573}]","""1""",,,"""1""",,,"""1""",,,"""1""",,,"""1""",,,"""Box plot in Galaxy""",0,1,,,use_outliers,"""1""",,,"""X Axis Label""","""Score Value""",,36286549,error,qual_stats_boxplot,1.0.0,,2017-02-26 08:58:06.315392,,23781.101835
2015-11-24 20:11:04.422489,slurm_normal,,main_w1_handler1,2502115,10998714,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",44345953246,sam,5257917.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""2048,768""",22130813,,"""11""",,,"""8""",,,"""7""",,,"""9""",,,"""12""",,,"""Box plot in Galaxy""",0,12,,,use_outliers,"""1""",,,"""X Axis Label""","""Score Value""",,26376390,error,qual_stats_boxplot,1.0.0,,2015-11-24 20:25:37.032799,72611.0,872.61031
2016-05-09 20:22:30.493053,slurm_normal,,main_w2_handler0,2697306,12835848,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2638830753,bed,7037059.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""2048,768""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5844386df3e4d0e7b'}]","""1""",,,"""1""",,,"""1""",,,"""1""",,,"""1""",,,"""Box plot in Galaxy""",0,1,,,use_outliers,"""1""",,,"""X Axis Label""","""Score Value""",,29483001,error,qual_stats_boxplot,1.0.0,,2016-05-09 20:26:34.757769,82005.0,244.26471600000002
2016-03-06 03:42:05.731234,slurm_normal,,main_w2_handler0,2617724,12037268,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",24524081836,sam,6264102.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""2048,768""",23585651,,"""1""",,,"""1""",,,"""1""",,,"""1""",,,"""1""",,,"""Box plot in Galaxy""",0,1,,,use_outliers,"""1""",,,"""X Axis Label""","""Score Value""",,28834912,error,qual_stats_boxplot,1.0.0,,2016-03-06 03:57:13.411359,79596.0,907.6801250000001
2016-05-09 20:22:24.766984,slurm_normal,,main_w1_handler1,2697306,12835839,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2427153812,bed,7037019.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""2048,768""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51fba102036961b87'}]","""1""",,,"""1""",,,"""1""",,,"""1""",,,"""1""",,,"""Box plot in Galaxy""",0,1,,,use_outliers,"""1""",,,"""X Axis Label""","""Score Value""",,29483001,error,qual_stats_boxplot,1.0.0,,2016-05-09 20:24:28.170684,82005.0,123.4037
2015-03-23 06:17:48.450317,rodeo_normal,,main_w1_handler0,2239175,9010784,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",23120864268,sam,3284100.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""","""2048,768""",18910886,,"""1""",,,"""1""",,,"""1""",,,"""1""",,,"""1""",,,"""Box plot in Galaxy""",0,1,,,use_outliers,"""1""",,,"""X Axis Label""","""Score Value""",,21852300,error,qual_stats_boxplot,1.0.0,,2015-03-23 06:23:14.657140,60908.0,326.20682300000004
2016-04-08 05:36:10.774957,slurm_normal,,main_w1_handler1,2617724,12379053,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",16458105303,sam,6578355.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""2048,768""",24183579,,"""1""",,,"""1""",,,"""1""",,,"""1""",,,"""1""",,,"""Box plot in Galaxy""",0,1,,,use_outliers,"""1""",,,"""X Axis Label""","""Score Value""",,29463391,error,qual_stats_boxplot,1.0.0,,2016-04-08 05:45:48.354304,79596.0,577.579347
2016-03-18 15:49:36.637931,slurm_normal,,main_w1_handler0,2634896,12182038,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1276849803,tabular,6397213.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""2048,768""",23907396,,"""1""",,,"""1""",,,"""1""",,,"""1""",,,"""1""",,,"""Box plot in Galaxy""",0,1,,,use_outliers,"""1""",,,"""X Axis Label""","""Score Value""",,28509455,error,qual_stats_boxplot,1.0.0,,2016-03-18 16:28:55.760116,78891.0,2359.122185
2015-10-16 08:34:45.918951,slurm_normal,,main_w1_handler2,2472393,10592064,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",16308805776,vcf,4862884.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""2048,768""",21549289,,"""1""",,,"""8""",,,"""7""",,,"""9""",,,"""1""",,,"""Box plot in Galaxy""",0,1,,,use_outliers,"""1""",,,"""X Axis Label""","""Score Value""",,25696626,error,qual_stats_boxplot,1.0.0,,2015-10-16 08:41:34.041594,67109.0,408.12264300000004
2017-08-28 22:12:12.932208,slurm_normal,,main_w4_handler1,3018879,16677455,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2098583201,sam,10749619.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/ce10.len""","""ce10""","""2048,768""",,"[{'src': 'hda', 'id': 31021084}]","""11""",,,"""8""",,,"""7""",,,"""9""",,,"""12""",,,"""Box plot in Galaxy""",0,1,,,use_outliers,"""1""",,,"""X Axis Label""","""Score Value""",,39251123,error,qual_stats_boxplot,1.0.0,,2017-08-28 22:13:36.368358,98000.0,83.43615000000001
2016-03-18 15:49:45.569926,slurm_normal,,main_w1_handler1,2634896,12182053,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",824962512,tabular,6396719.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""2048,768""",23907413,,"""1""",,,"""1""",,,"""1""",,,"""1""",,,"""1""",,,"""Box plot in Galaxy""",0,1,,,use_outliers,"""1""",,,"""X Axis Label""","""Score Value""",,28509455,error,qual_stats_boxplot,1.0.0,,2016-03-18 15:55:34.780110,78891.0,349.210184
2015-03-17 15:46:12.059254,rodeo_normal,,main_w2_handler1,2238877,8968502,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8932923374,fastq,3203954.roundup,slurm,,corral-repl,,"""bc543144ccbc11e4ad04005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""2048,768""",18873792,,,UnvalidatedValue,11,,UnvalidatedValue,8,,UnvalidatedValue,7,,UnvalidatedValue,9,,UnvalidatedValue,12,"""Cell14_SummaryStatistics""",0,,UnvalidatedValue,13,use_outliers,,UnvalidatedValue,1,"""Position""","""Score Value""",,21009145,error,qual_stats_boxplot,1.0.0,,2015-03-17 15:49:45.155724,59197.0,213.09647
2016-03-18 15:49:43.837180,slurm_normal,,main_w1_handler2,2634896,12182049,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1370007742,tabular,6397337.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""2048,768""",23907409,,"""1""",,,"""1""",,,"""1""",,,"""1""",,,"""1""",,,"""Box plot in Galaxy""",0,1,,,use_outliers,"""1""",,,"""X Axis Label""","""Score Value""",,28509455,error,qual_stats_boxplot,1.0.0,,2016-03-18 16:36:00.469400,78891.0,2776.63222
