create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,matrixFile,matrixFile_filetype,object_store_id,param_filename,parameters.advancedOpt.__current_case__,parameters.advancedOpt.averageType,parameters.advancedOpt.colors,parameters.advancedOpt.outFileNameData,parameters.advancedOpt.perGroup,parameters.advancedOpt.plotHeight,parameters.advancedOpt.plotTitle,parameters.advancedOpt.plotType,parameters.advancedOpt.plotWidth,parameters.advancedOpt.regionsLabel,parameters.advancedOpt.samplesLabel,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.used_multiple_regions.__current_case__,parameters.advancedOpt.used_multiple_regions.clustering.__current_case__,parameters.advancedOpt.used_multiple_regions.clustering.clustering_options,parameters.advancedOpt.used_multiple_regions.used_multiple_regions_options,parameters.advancedOpt.yMax,parameters.advancedOpt.yMin,parameters.chromInfo,parameters.dbkey,parameters.matrixFile,parameters.matrixFile.values,parameters.output.__current_case__,parameters.output.outFileFormat,parameters.output.saveSortedRegions,parameters.output.showOutputSettings,parameters.scaleRegions.__current_case__,parameters.scaleRegions.endLabel,parameters.scaleRegions.showScaleRegionsOpt,parameters.scaleRegions.startLabel,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-04-16 22:01:26.927621,slurm_normal,,main_w1_handler1,2643388,12487575,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6679148.roundup,slurm,,2938731,deeptools_compute_matrix_archive,corral-repl,,0,,,,,,,,,,,no,,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d1180e528e381326'}]",0,,,no,0,,no,,,28479787,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.2.2.0,2.2.2.0,,2016-04-16 22:04:27.678535,40656,180.75091400000002
2016-03-26 14:19:13.775677,slurm_normal,,main_w1_handler0,2611748,12257503,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6468787.roundup,slurm,,228750454,deeptools_compute_matrix_archive,corral-repl,,1,mean,,False,False,5,,se,11,,mESC Sp,yes,0.0,2.0,none,no,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",24024732,,1,eps,False,yes,1,TES,yes,TSS,,28021890,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.2.2.0,2.2.2.0,,2016-03-26 21:23:50.835025,42951,25477.059348000003
2016-04-16 15:37:42.929990,slurm_normal,,main_w1_handler1,2643388,12485509,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6678972.roundup,slurm,,2938731,deeptools_compute_matrix_archive,corral-repl,,0,,,,,,,,,,,no,,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d1180e528e381326'}]",0,,,no,0,,no,,,28479787,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.2.2.0,2.2.2.0,,2016-04-16 21:48:14.006094,40656,22231.076104
