create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_bams_0|input_bam,input_bams_0|input_bam_filetype,input_bams_1|input_bam,input_bams_1|input_bam_filetype,input_bams_2|input_bam,input_bams_2|input_bam_filetype,input_bams_3|input_bam,input_bams_3|input_bam_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.options_type.O,parameters.options_type.__current_case__,parameters.options_type.algorithmic_features.__current_case__,parameters.options_type.algorithmic_features.algorithmic_features_selector,parameters.options_type.allele_scope.__current_case__,parameters.options_type.allele_scope.allele_scope_selector,parameters.options_type.genotype_likelihoods.__current_case__,parameters.options_type.genotype_likelihoods.genotype_likelihoods_selector,parameters.options_type.input_filters.C,parameters.options_type.input_filters.F,parameters.options_type.input_filters.G,parameters.options_type.input_filters.R,parameters.options_type.input_filters.Y,parameters.options_type.input_filters.__current_case__,parameters.options_type.input_filters.e,parameters.options_type.input_filters.input_filters_selector,parameters.options_type.input_filters.m,parameters.options_type.input_filters.min_alternate_qsum,parameters.options_type.input_filters.min_coverage,parameters.options_type.input_filters.mismatch_filters.__current_case__,parameters.options_type.input_filters.mismatch_filters.mismatch_filters_selector,parameters.options_type.input_filters.q,parameters.options_type.input_filters.standard_filters,parameters.options_type.input_filters.use_duplicate_reads,parameters.options_type.min_coverage,parameters.options_type.optional_inputs.__current_case__,parameters.options_type.optional_inputs.optional_inputs_selector,parameters.options_type.options_type_selector,parameters.options_type.population_mappability_priors.__current_case__,parameters.options_type.population_mappability_priors.population_mappability_priors_selector,parameters.options_type.population_model.__current_case__,parameters.options_type.population_model.population_model_selector,parameters.options_type.reference_allele.__current_case__,parameters.options_type.reference_allele.reference_allele_selector,parameters.options_type.reporting.__current_case__,parameters.options_type.reporting.reporting_selector,parameters.reference_source.__current_case__,parameters.reference_source.input_bams,parameters.reference_source.ref_file,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,parameters.target_limit_type.__current_case__,parameters.target_limit_type.region_chromosome,parameters.target_limit_type.region_end,parameters.target_limit_type.region_start,parameters.target_limit_type.target_limit_type_selector,ref_file,ref_file_filetype,reference_source|input_bams_0|input_bam,reference_source|input_bams_0|input_bam_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-09-09 13:37:29.164925,slurm_normal,,main_w3_handler0,2054409,13815422,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,,,,,8036809.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,3,,,,,,,,,,,,,,,,,,,,,,,,,,naive,,,,,,,,,1,"[{'__index__': 0, 'input_bam': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b501fd34a312932ef5'}]}}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b50c4a9aa71733f3fb'}]",history,0,,,,do_not_limit,154423297.0,fasta,7533955268.0,bam,,31727674,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/freebayes-0.9.14,freebayes-0.9.14,,2016-09-09 19:44:28.058405,53107,22018.893480000002
2015-06-22 16:29:57.075478,slurm_normal,,main_w2_handler1,2319732,9708155,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",523558297.0,bam,,,,,,,4016818.roundup,slurm,,corral-repl,,"""e86ce8c618fb11e58758005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,1,,,,,,,,,,,,,,,,,,,,,,,,,,simple,,,,,,,,,0,"[{'__index__': 1, 'input_bam': 20094119}]",hg19,,cached,0,,,,do_not_limit,,,,,,23282797,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/freebayes-0.9.14,freebayes-0.9.14,,2015-06-22 18:06:51.294070,58040,5814.218592
2015-05-22 17:40:12.551650,slurm_normal,,main_w1_handler1,2169247,9521202,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1221312612.0,bam,,,,,,,3846594.roundup,slurm,,corral-repl,,"""900d4ba400a911e59ac8005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,1,,,,,,,,,,,,,,,,,,,,,,,,,,simple,,,,,,,,,0,"[{'__index__': 1, 'input_bam': 19794102}]",hg19,,cached,0,,,,do_not_limit,,,,,,23245224,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/freebayes-0.9.14,freebayes-0.9.14,,2015-05-26 00:16:50.515022,58040,282997.963372
2015-03-29 00:28:53.973728,rodeo_normal,,main_w1_handler0,2252889,9075346,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",193943316.0,bam,193943316.0,bam,,,,,3361765.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,4,,,,,,,,,,,,,,,,,,,,,,,10,,,naive_w_filters,,,,,,,,,0,"[{'__index__': 0, 'input_bam': 19047823}, {'__index__': 1, 'input_bam': 19047823}]",hg19,,cached,0,,,,do_not_limit,,,,,,22087683,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/freebayes-0.9.14,freebayes-0.9.14,,2015-03-29 00:32:25.718944,58037,211.745216
2015-02-06 10:41:09.627197,rodeo_normal,,main_w2_handler0,2177532,8675471,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",40225845.0,bam,,,,,,,2665572.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,3,,,,,,,,,,,,,,,,,,,,,,,,,,naive,,,,,,,,,0,"[{'__index__': 0, 'input_bam': 18240228}]",hg19,,cached,2,chr12,30000000,1,limit_by_region,,,,,,20472793,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/freebayes-0.9.14,freebayes-0.9.14,,2015-02-06 10:47:35.122770,45082,385.49557300000004
2015-02-06 11:23:56.262722,rodeo_normal,,main_w2_handler0,2177532,8675675,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",40225845.0,bam,,,,,,,2665965.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,4,,,,,,,,,,,,,,,,,,,,,,,50,,,naive_w_filters,,,,,,,,,0,"[{'__index__': 0, 'input_bam': 18240228}]",hg19,,cached,2,chr12,25398320,25398208,limit_by_region,,,,,,20472793,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/freebayes-0.9.14,freebayes-0.9.14,,2015-02-06 11:30:02.428030,45082,366.16530800000004
2015-05-22 14:55:34.803985,slurm_normal,,main_w2_handler0,2169247,9519859,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1124698578.0,bam,,,,,,,3840855.roundup,slurm,,corral-repl,,"""90231cb6009211e58fb6005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,1,,,,,,,,,,,,,,,,,,,,,,,,,,simple,,,,,,,,,0,"[{'__index__': 1, 'input_bam': 19792094}]",hg19,,cached,0,,,,do_not_limit,,,,,,23245224,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/freebayes-0.9.14,freebayes-0.9.14,,2015-05-22 16:35:29.369724,58040,5994.565739000001
2015-02-06 10:48:47.238608,rodeo_normal,,main_w1_handler0,2177532,8675507,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",40225845.0,bam,,,,,,,2665651.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,3,,,,,,,,,,,,,,,,,,,,,,,,,,naive,,,,,,,,,0,"[{'__index__': 0, 'input_bam': 18240228}]",hg19,,cached,2,chr12,30000000,20000000,limit_by_region,,,,,,20472793,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/freebayes-0.9.14,freebayes-0.9.14,,2015-02-06 10:55:26.380970,45082,399.14236200000005
2015-05-22 17:30:00.452077,slurm_normal,,main_w2_handler0,2169247,9521088,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2054534991.0,bam,,,,,,,3846498.roundup,slurm,,corral-repl,,"""2303c77800a811e5a227005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,1,,,,,,,,,,,,,,,,,,,,,,,,,,simple,,,,,,,,,0,"[{'__index__': 1, 'input_bam': 19793966}]",hg19,,cached,0,,,,do_not_limit,,,,,,23245224,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/freebayes-0.9.14,freebayes-0.9.14,,2015-05-25 23:56:15.219686,58040,282374.76760900003
2015-03-29 00:08:41.499754,rodeo_normal,,main_w2_handler1,2203038,9075272,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",93948072.0,bam,129203351.0,bam,,,,,3361689.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,4,,,,,,,,,,,,,,,,,,,,,,,2,,,naive_w_filters,,,,,,,,,0,"[{'__index__': 0, 'input_bam': 19039330}, {'__index__': 1, 'input_bam': 19033163}]",hg19,,cached,0,,,,do_not_limit,,,,,,22087683,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/freebayes-0.9.14,freebayes-0.9.14,,2015-03-29 00:13:12.829251,58037,271.329497
2015-06-22 16:28:47.687764,slurm_normal,,main_w2_handler0,2319732,9708113,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",913932305.0,bam,,,,,,,4016718.roundup,slurm,,corral-repl,,"""bc87bc0e18fb11e58caa005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,1,,,,,,,,,,,,,,,,,,,,,,,,,,simple,,,,,,,,,0,"[{'__index__': 1, 'input_bam': 20094077}]",hg19,,cached,0,,,,do_not_limit,,,,,,23282797,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/freebayes-0.9.14,freebayes-0.9.14,,2015-06-22 18:01:10.941192,58040,5543.253428
2016-09-08 18:58:44.362667,slurm_normal,,main_w4_handler0,2054409,13810160,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,,,,,8031134.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,3,,,,,,,,,,,,,,,,,,,,,,,,,,naive,,,,,,,,,1,"[{'__index__': 0, 'input_bam': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b501fd34a312932ef5'}]}}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b50c4a9aa71733f3fb'}]",history,0,,,,do_not_limit,154423297.0,fasta,7533955268.0,bam,,31727674,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/freebayes-0.9.14,freebayes-0.9.14,,2016-09-09 00:36:20.119975,53107,20255.757308
2015-06-22 19:09:19.775167,slurm_normal,,main_w1_handler0,2319732,9710403,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",563808918.0,bam,,,,,,,4017978,slurm,,corral-repl,,"""2af61d00191211e5a4f1005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,1,,,,,,,,,,,,,,,,,,,,,,,,,,simple,,,,,,,,,0,"[{'__index__': 1, 'input_bam': 20096799}]",hg19,,cached,0,,,,do_not_limit,,,,,,23282797,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/freebayes-0.9.14,freebayes-0.9.14,,2015-06-22 20:18:19.198142,58040,4139.422975
