create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input1.values,parameters.minlen,parameters.minoe,parameters.minpc,parameters.shift,parameters.window,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-06-19 05:20:40.135784,slurm_normal,,main_w3_handler1,3154705,16129013,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4045557016,fasta,10209422.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 30026385}]","""200""","""0.6""","""50.0""","""1""","""100""",,38658504,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2017-06-20 00:08:05.095697,10006,67644.959913
2017-06-20 08:29:08.863653,slurm_normal,,main_w4_handler1,3154705,16140402,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4045557016,fasta,10219929.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 30026385}]","""200""","""0.6""","""50.0""","""1""","""100""",,38658504,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2017-06-21 02:19:27.467831,10006,64218.604178
