create_time,destination_id,dist,dist_filetype,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,name,name_filetype,object_store_id,otu,otu_filetype,param_filename,parameters.as_datasets,parameters.chromInfo,parameters.dbkey,parameters.fontsize,parameters.input.__current_case__,parameters.input.dist.values,parameters.input.name.values,parameters.input.source,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-04-20 03:35:58.750488,slurm_normal,,,,main_w3_handler0,3079507,15631328,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9749521.roundup,slurm,,,,corral-repl,5894939.0,fasta,,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""24""",,,,,,37421010,error,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_heatmap_sim/1.24.0,1.24.0,,2017-04-20 03:39:15.268523,88558,196.51803500000003
2017-04-13 09:09:07.909482,slurm_normal,33372902414.0,fastqsanger,,main_w4_handler1,3070221,15573219,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9696347.roundup,slurm,,32928398200.0,fastqsanger,corral-repl,,,,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""24""",1.0,"[{'src': 'hda', 'id': 29184018}]","[{'src': 'hda', 'id': 29184019}]",column,,37305142,error,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_heatmap_sim/1.24.0,1.24.0,,2017-04-13 09:12:12.807603,103955,184.898121
2017-03-29 19:21:17.686287,slurm_normal,,,,main_w3_handler1,3042010,15427316,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9559373.roundup,slurm,,,,corral-repl,16986003.0,txt,,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""24""",,,,,,36762747,error,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_heatmap_sim/1.24.0,1.24.0,,2017-03-29 19:25:17.551284,82349,239.86499700000002
