create_time,destination_id,exit_code,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.col1,parameters.col2,parameters.dbkey,parameters.input,parameters.input.values,parameters.title,parameters.xlab,parameters.ylab,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-07-16 02:29:36.091118,slurm_normal,,main_w1_handler1,2377699,9877898,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",552577205,interval,4168075.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""4""","""2""","""?""",20371918,,"""Scatterplot""","""V1""","""V2""",,24159979,error,toolshed.g2.bx.psu.edu/repos/devteam/scatterplot/scatterplot_rpy/1.0.0,1.0.0,,2015-07-16 02:39:46.341655,,610.250537
2015-03-20 13:31:37.212009,rodeo_normal,,main_w2_handler0,2243480,8996100,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1825367720,bedgraph,3255860.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""2""","""2""","""hg19""",18932551,,"""Scatterplot""","""V1""","""V2""",,21921901,error,toolshed.g2.bx.psu.edu/repos/devteam/scatterplot/scatterplot_rpy/1.0.0,1.0.0,,2015-03-20 13:34:37.422118,61201.0,180.21010900000002
2015-06-15 19:29:29.219058,slurm_normal,,main_w1_handler2,2343532,9656840,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1174580497,tabular,3967466.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""3""","""4""","""hg19""",20012018,,"""Scatterplot""","""0.5 yrs""","""4 yrs""",,23637113,error,toolshed.g2.bx.psu.edu/repos/devteam/scatterplot/scatterplot_rpy/1.0.0,1.0.0,,2015-06-15 19:40:33.731482,31176.0,664.512424
2015-03-30 11:48:04.464156,rodeo_normal,,main_w1_handler0,2253802,9084115,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",682732717,bed,3369976.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10Strains1.len""","""2""","""2""","""mm10Strains1""",19060130,,"""Scatterplot""","""V1""","""V2""",,22113714,error,toolshed.g2.bx.psu.edu/repos/devteam/scatterplot/scatterplot_rpy/1.0.0,1.0.0,,2015-03-30 11:58:06.927691,,602.4635350000001
2016-01-05 08:50:07.748436,slurm_normal,,main_w1_handler2,2551871,11376202,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",670633521,tabular,5648671.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""7""","""5""","""?""",22737672,,"""Scatterplot""","""V1""","""V2""",,27092041,error,toolshed.g2.bx.psu.edu/repos/devteam/scatterplot/scatterplot_rpy/1.0.0,1.0.0,,2016-01-05 08:57:11.647720,75936.0,423.899284
2015-03-20 13:24:58.528015,rodeo_normal,,main_w2_handler0,2243480,8996069,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1825368839,bedgraph,3255803.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""2""","""2""","""hg19""",18932092,,"""Scatterplot""","""V1""","""V2""",,21921901,error,toolshed.g2.bx.psu.edu/repos/devteam/scatterplot/scatterplot_rpy/1.0.0,1.0.0,,2015-03-20 13:29:24.272866,61201.0,265.74485100000004
2017-11-19 09:37:27.403391,slurm_normal_16gb,,main_w4_handler0,2949679,17506409,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",21981765813,tabular,11566947,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""2""","""4""","""?""",,"[{'src': 'hda', 'id': 32392702}]","""Scatterplot""","""base position""","""coverage""",,42060945,error,toolshed.g2.bx.psu.edu/repos/devteam/scatterplot/scatterplot_rpy/1.0.0,1.0.0,,2017-11-19 09:42:46.892973,97753.0,319.48958200000004
2017-11-20 01:22:44.337362,slurm_normal_16gb,,main_w3_handler0,2949679,17511982,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1929132967,tabular,11571771,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""2""","""4""","""?""",,"[{'src': 'hda', 'id': 32406510}]","""Scatterplot""","""baseposition""","""coverage""",,41383142,error,toolshed.g2.bx.psu.edu/repos/devteam/scatterplot/scatterplot_rpy/1.0.0,1.0.0,,2017-11-20 01:33:06.785452,97753.0,622.4480900000001
2018-03-01 04:52:48.907469,slurm_normal_16gb,,main_w4_handler0,3443989,18559431,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2351948549,bedgraph,12656136,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""2""","""3""","""hg19""",,"[{'src': 'hda', 'id': 34134420}]","""Scatterplot""","""V1""","""V2""",,44187712,error,toolshed.g2.bx.psu.edu/repos/devteam/scatterplot/scatterplot_rpy/1.0.0,1.0.0,,2018-03-01 05:00:29.728162,50081.0,460.820693
2015-03-20 04:28:28.822213,rodeo_normal,,main_w1_handler0,2192378,8994242,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8210432317,sam,3252232.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/Araly1.len""","""2""","""2""","""Araly1""",18896309,,"""Scatterplot""","""V1""","""V2""",,21916326,error,toolshed.g2.bx.psu.edu/repos/devteam/scatterplot/scatterplot_rpy/1.0.0,1.0.0,,2015-03-20 04:34:41.206165,59057.0,372.383952
