create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,matrixFile,matrixFile_filetype,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.advancedOpt.__current_case__,parameters.advancedOpt.averageType,parameters.advancedOpt.colors,parameters.advancedOpt.outFileNameData,parameters.advancedOpt.perGroup,parameters.advancedOpt.plotHeight,parameters.advancedOpt.plotTitle,parameters.advancedOpt.plotType,parameters.advancedOpt.plotWidth,parameters.advancedOpt.regionsLabel,parameters.advancedOpt.samplesLabel,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.used_multiple_regions.__current_case__,parameters.advancedOpt.used_multiple_regions.clustering.__current_case__,parameters.advancedOpt.used_multiple_regions.clustering.clustering_options,parameters.advancedOpt.used_multiple_regions.used_multiple_regions_options,parameters.advancedOpt.yMax,parameters.advancedOpt.yMin,parameters.chromInfo,parameters.dbkey,parameters.matrixFile.values,parameters.output.__current_case__,parameters.output.dpi,parameters.output.outFileFormat,parameters.output.saveSortedRegions,parameters.output.showOutputSettings,parameters.scaleRegions.__current_case__,parameters.scaleRegions.endLabel,parameters.scaleRegions.showScaleRegionsOpt,parameters.scaleRegions.startLabel,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-11-07 00:57:05.558367,slurm_normal,,main_w4_handler0,2763737,14267943,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8476499.roundup,slurm,,659607909,deeptools_compute_matrix_archive,corral-repl,,,1,mean,,false,true,5,,lines,11,,H1foo AE4,yes,1.0,,,yes,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5b5882494a7d90b80'}]",1,200,eps,false,yes,0,,no,,,33993975.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.3.6.0,2.3.6.0,,2016-11-07 01:08:41.133207,42951,695.57484
2016-11-06 10:04:10.470717,slurm_normal,,main_w3_handler0,2763737,14263306,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8472781.roundup,slurm,,659607909,deeptools_compute_matrix_archive,corral-repl,,,1,mean,,false,false,5,,lines,11,,H1foo AE4,yes,1.0,,,yes,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5b5882494a7d90b80'}]",1,200,eps,false,yes,0,,no,,,33993975.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.3.6.0,2.3.6.0,,2016-11-06 14:34:45.196397,42951,16234.725680000001
2016-11-01 01:55:41.101498,slurm_normal,,main_w4_handler1,2763737,14221701,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8431926.roundup,slurm,,806731347,deeptools_compute_matrix_archive,corral-repl,,,1,mean,,false,true,5,,lines,11,,,yes,1.0,,,yes,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5f7ac6abcf4b04fa4'}]",1,200,eps,false,yes,0,,no,,,33993975.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.3.6.0,2.3.6.0,,2016-11-01 02:02:38.519910,42951,417.41841200000005
2017-03-04 12:57:20.250440,slurm_normal,,main_w3_handler1,2946446,15206954,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9356922.roundup,slurm,,249836731,deeptools_compute_matrix_archive,corral-repl,,,1,mean,,false,true,5,,lines,11,,H3K27ac H3K27me3 UTX,yes,0.0,2.0,none,no,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 28020197}]",0,,,,no,0,,no,,,35190129.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.3.6.0,2.3.6.0,,2017-03-04 13:01:57.283026,97638,277.03258600000004
2017-01-03 09:40:58.516873,slurm_normal,,main_w3_handler1,2860547,14679480,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8849812.roundup,slurm,,40632282,deeptools_compute_matrix_archive,corral-repl,,,0,,,,,,,,,,,no,,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 27797085}]",0,,,,no,0,,no,,,35160027.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.3.6.0,2.3.6.0,,2017-01-03 09:47:13.566428,92519,375.049555
2017-01-23 15:20:39.225346,slurm_normal,,main_w4_handler0,2946446,14847766,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9007862.roundup,slurm,,249836731,deeptools_compute_matrix_archive,corral-repl,,,1,mean,,false,true,5,,lines,11,,H3K27ac H3K27me3 UTX,yes,0.0,2.0,none,no,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 28020197}]",0,,,,no,0,,no,,,35190129.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.3.6.0,2.3.6.0,,2017-01-23 15:25:22.707795,97638,283.48244900000003
2016-12-05 09:09:24.859825,slurm_normal,,main_w4_handler0,605821,14489151,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8688434.roundup,slurm,,289058994,deeptools_compute_matrix_archive,corral-repl,,,0,,,,,,,,,,,no,,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 27476808}]",0,,,,no,0,,no,,,34508217.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.3.6.0,2.3.6.0,,2016-12-07 23:29:21.047044,12956,224396.187219
2016-12-13 18:29:34.830511,slurm_normal,,main_w3_handler0,2897661,14567459,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8746523.roundup,slurm,,73651598,deeptools_compute_matrix_archive,corral-repl,,,1,mean,,false,false,5,,lines,11,,,yes,1.0,,,yes,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","[{'src': 'hda', 'id': 27545620}]",1,200,png,false,yes,1,TES,yes,TSS,,34147867.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.3.6.0,2.3.6.0,,2016-12-13 18:34:29.231237,88412,294.400726
2017-03-04 12:49:28.620452,slurm_normal,,main_w3_handler0,2946446,15206936,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9356908.roundup,slurm,,131189609,deeptools_compute_matrix_archive,corral-repl,,,1,mean,,false,true,5,,lines,11,,H3K27me3 H3K27ac UTX,yes,0.0,2.0,none,no,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 28614314}]",0,,,,no,0,,no,,,35190129.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.3.6.0,2.3.6.0,,2017-03-04 12:53:42.842175,97638,254.22172300000003
2017-03-04 10:25:14.809832,slurm_normal,,main_w3_handler1,2946446,15206492,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9356514.roundup,slurm,,131189609,deeptools_compute_matrix_archive,corral-repl,,,1,mean,,false,false,5,,lines,11,,H3K27me3 H3K27ac UTX,yes,1.0,,,yes,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 28614314}]",0,,,,no,0,,no,,,35190129.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.3.6.0,2.3.6.0,,2017-03-04 10:29:58.436754,97638,283.62692200000004
2016-11-01 01:56:08.839402,slurm_normal,,main_w4_handler1,2763737,14221703,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8431925.roundup,slurm,,347583855,deeptools_compute_matrix_archive,corral-repl,,,1,mean,,false,true,5,,lines,11,,,yes,1.0,,,yes,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5628f10dd50414fb7'}]",1,200,eps,false,yes,0,,no,,,33993975.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.3.6.0,2.3.6.0,,2016-11-01 02:01:24.220632,42951,315.38123
2017-01-23 07:13:38.151414,slurm_normal,,main_w3_handler1,2946446,14843857,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9004015.roundup,slurm,,249836731,deeptools_compute_matrix_archive,corral-repl,,,1,mean,,false,true,5,,lines,11,,,yes,1.0,,,yes,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 28020197}]",0,,,,no,0,,no,,,35190129.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.3.6.0,2.3.6.0,,2017-01-23 07:18:36.040796,97638,297.889382
2017-01-03 08:19:50.127828,slurm_normal,,main_w4_handler1,2860547,14679172,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8849672.roundup,slurm,,40632282,deeptools_compute_matrix_archive,corral-repl,,"""62acb1b6d18d11e6ad4c005056a52a46""",0,,,,,,,,,,,no,,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 27797085}]",0,,,,no,0,,no,,,,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.3.6.0,2.3.6.0,,2017-01-03 09:22:03.632084,92519,3733.504256
2017-01-23 07:37:14.437990,slurm_normal,,main_w3_handler1,2946446,14844026,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9004198.roundup,slurm,,249836731,deeptools_compute_matrix_archive,corral-repl,,,0,,,,,,,,,,,no,,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 28020197}]",0,,,,no,0,,no,,,35190129.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.3.6.0,2.3.6.0,,2017-01-23 07:41:48.836745,97638,274.398755
2017-03-04 10:32:20.131164,slurm_normal,,main_w4_handler1,2946446,15206509,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9356530.roundup,slurm,,131189609,deeptools_compute_matrix_archive,corral-repl,,,1,mean,,false,true,5,,lines,11,,H3K27me3 H3K27ac UTX,yes,0.0,2.0,none,no,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 28614314}]",0,,,,no,0,,no,,,35190129.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.3.6.0,2.3.6.0,,2017-03-04 10:36:37.533951,97638,257.402787
