guide_gff,guide_gff_filetype,input_bam,input_bam_filetype,parameters.guide.input_estimation,parameters.guide.special_outputs.clustering,parameters.guide.special_outputs.read_length,parameters.guide.special_outputs.special_outputs_select,parameters.option_set.abundance_estimation,runtime
,,1775318988,bam,,,,,,198.0
,,1773643094,bam,,,,,,198.0
,,1877517873,bam,,,,,,208.0
,,7741264064,bam,,,,,True,411.0
,,2217368278,bam,,,,,,284.0
158314123.0,gtf,10585331044,bam,False,,,ballgown,False,653.0
250294695.0,gtf,1538546739,bam,True,,,ballgown,,219.0
85583535.0,gtf,9215500838,bam,False,,,no,False,264.0
1644470.0,gff3,423755703,bam,False,,,no,False,56.0
,,1213875096,bam,,,,,,129.0
240547.0,gtf,951248824,bam,False,,,no,False,138.0
49394712.0,gtf,7063263,bam,False,False,36.0,deseq2,,12.0
49394712.0,gtf,5371701,bam,False,False,36.0,deseq2,,11.0
1644470.0,gff3,655547579,bam,False,,,no,False,87.0
240547.0,gtf,781396784,bam,False,,,no,False,106.0
49394712.0,gtf,7063263,bam,False,False,36.0,deseq2,,9.0
119612918.0,gtf,579741767,bam,True,,,ballgown,,80.0
49394712.0,gtf,8451519,bam,False,False,36.0,deseq2,,8.0
49394712.0,gtf,5207023,bam,False,False,36.0,deseq2,,9.0
49394712.0,gtf,4990014,bam,False,False,36.0,deseq2,,8.0
,,7063263,bam,,,,,,6.0
49394712.0,gtf,5232643,bam,False,False,36.0,deseq2,,9.0
49394712.0,gtf,7063263,bam,False,False,75.0,deseq2,,8.0
238695801.0,gtf,2101728647,bam,False,,,ballgown,,198.0
49394712.0,gtf,7063263,bam,False,False,72.0,deseq2,,9.0
49394712.0,gtf,7063263,bam,False,False,35.0,deseq2,,9.0
41798362.0,gtf,654836964,bam,False,,,ballgown,False,122.0
238695801.0,gtf,989654650,bam,False,,,ballgown,,147.0
238695801.0,gtf,2180875668,bam,False,,,ballgown,,200.0
41798362.0,gtf,787625053,bam,True,,,ballgown,True,144.0
238695801.0,gtf,1021432106,bam,False,,,ballgown,,189.0
238695801.0,gtf,987745136,bam,False,,,ballgown,,167.0
41798362.0,gtf,403818535,bam,True,,,ballgown,True,77.0
41798362.0,gtf,654836964,bam,True,,,ballgown,True,119.0
238695801.0,gtf,2386849950,bam,False,,,ballgown,,206.0
41798362.0,gtf,981213923,bam,False,,,ballgown,False,176.0
238695801.0,gtf,963528889,bam,False,,,ballgown,,141.0
238695801.0,gtf,1052137494,bam,False,,,ballgown,,152.0
,,7829052670,bam,,,,,True,376.0
90436407.0,gff3,9642262724,bam,False,,,no,False,759.0
238695801.0,gtf,2101730691,bam,False,,,ballgown,,197.0
238695801.0,gtf,2102093558,bam,False,,,ballgown,,189.0
238695801.0,gtf,949922249,bam,False,,,ballgown,,137.0
6195898.0,gtf,43287113,bam,False,,,ballgown,,9.0
661196300.0,gtf,3510770913,bam,False,False,75.0,deseq2,,412.0
,,3510770913,bam,,,,,,267.0
,,42311459,bam,,,,,False,10.0
661196300.0,gtf,3510770913,bam,False,False,75.0,deseq2,True,384.0
,,41585701,bam,,,,,False,10.0
,,40609023,bam,,,,,False,10.0
,,42286170,bam,,,,,False,11.0
,,36949305,bam,,,,,False,9.0
,,37799697,bam,,,,,False,9.0
,,38405926,bam,,,,,False,10.0
,,38385535,bam,,,,,False,9.0
,,77945601,bam,,,,,,11.0
,,1811522820,bam,,,,,,173.0
,,14571149605,bam,,,,,True,932.0
,,718873742,bam,,,,,,65.0
,,597659161,bam,,,,,,52.0
,,443749187,bam,,,,,,38.0
,,29318750,bam,,,,,,9.0
661196300.0,gtf,4031665669,bam,False,False,101.0,deseq2,True,326.0
661196300.0,gtf,4031665669,bam,True,False,101.0,deseq2,True,369.0
85583535.0,gtf,9171200304,bam,False,,,no,False,962.0
661196300.0,gtf,5933884210,bam,False,False,101.0,deseq2,True,466.0
238695801.0,gtf,3543146707,bam,False,,,ballgown,,296.0
238695801.0,gtf,3658754688,bam,False,,,ballgown,,310.0
85583535.0,gtf,8622191156,bam,False,,,no,False,873.0
,,5985372,bam,,,,,False,6.0
,,559862636,bam,,,,,,51.0
,,464848514,bam,,,,,,43.0
,,335209829,bam,,,,,,33.0
,,21285303,bam,,,,,,8.0
661196300.0,gtf,3718779348,bam,True,False,101.0,deseq2,True,318.0
661196300.0,gtf,2699740663,bam,True,False,101.0,deseq2,True,254.0
,,3838617382,bam,,,,,,292.0
661196300.0,gtf,4116133547,bam,True,False,101.0,deseq2,True,348.0
,,3501901394,bam,,,,,,237.0
,,2872379008,bam,,,,,,211.0
,,3430140349,bam,,,,,,231.0
,,14548808243,bam,,,,,True,921.0
,,3119291899,bam,,,,,,231.0
,,924413846,bam,,,,,False,112.0
,,1060750429,bam,,,,,False,126.0
,,1136554364,bam,,,,,False,131.0
,,1116145331,bam,,,,,False,126.0
,,1275587833,bam,,,,,False,139.0
,,1153183620,bam,,,,,False,135.0
,,1049483444,bam,,,,,False,116.0
,,1509833063,bam,,,,,False,167.0
,,1362987746,bam,,,,,False,159.0
,,1549297403,bam,,,,,False,164.0
,,1108305469,bam,,,,,False,128.0
,,3521307149,bam,,,,,,251.0
,,3758308277,bam,,,,,,269.0
,,3246463720,bam,,,,,,234.0
,,1245179364,bam,,,,,False,135.0
,,3532043288,bam,,,,,,248.0
,,4011905158,bam,,,,,,270.0
,,3323935022,bam,,,,,,232.0
,,3015640808,bam,,,,,,207.0
,,3470640868,bam,,,,,,248.0
,,3922538098,bam,,,,,,276.0
,,3624285546,bam,,,,,,254.0
,,3073271011,bam,,,,,,234.0
,,3607363644,bam,,,,,,258.0
,,3834023320,bam,,,,,,267.0
,,3600131437,bam,,,,,,260.0
,,832452405,bam,,,,,,77.0
,,822136770,bam,,,,,,75.0
,,834206749,bam,,,,,,80.0
,,640707818,bam,,,,,,62.0
,,901726578,bam,,,,,,80.0
,,880119919,bam,,,,,,82.0
1089290081.0,gtf,5287363330,bam,False,False,75.0,deseq2,,530.0
,,466370249,bam,,,,,,59.0
,,4141063990,bam,,,,,,438.0
,,16221598821,bam,,,,,True,711.0
,,426203717,bam,,,,,,64.0
,,3165053849,bam,,,,,,323.0
,,1136607249,bam,,,,,,126.0
,,1349983384,bam,,,,,,146.0
