create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.advancedOpt.__current_case__,parameters.advancedOpt.showAdvancedOpt,parameters.chromInfo,parameters.dbkey,parameters.mode.__current_case__,parameters.mode.afterRegionStartLength,parameters.mode.beforeRegionStartLength,parameters.mode.mode_select,parameters.mode.nanAfterEnd,parameters.mode.referencePoint,parameters.mode.regionBodyLength,parameters.mode.regionStartLength.__current_case__,parameters.mode.regionStartLength.afterRegionStartLength,parameters.mode.regionStartLength.beforeRegionStartLength,parameters.mode.regionStartLength.regionStartLength_select,parameters.mode.regionStartLength.unscaled3prime,parameters.mode.regionStartLength.unscaled5prime,parameters.output.__current_case__,parameters.output.saveMatrix,parameters.output.saveSortedRegions,parameters.output.showOutputSettings,parameters.regionsFiles,parameters.scoreFileName.values,regionsFiles_0|regionsFile,regionsFiles_0|regionsFile_filetype,regionsFiles_1|regionsFile,regionsFiles_1|regionsFile_filetype,regionsFiles_2|regionsFile,regionsFiles_2|regionsFile_filetype,regionsFiles_3|regionsFile,regionsFiles_3|regionsFile_filetype,regionsFiles_4|regionsFile,regionsFiles_4|regionsFile_filetype,regionsFiles_5|regionsFile,regionsFiles_5|regionsFile_filetype,runner_name,scoreFileName,scoreFileName1,scoreFileName10,scoreFileName10_filetype,scoreFileName11,scoreFileName11_filetype,scoreFileName12,scoreFileName12_filetype,scoreFileName13,scoreFileName13_filetype,scoreFileName14,scoreFileName14_filetype,scoreFileName15,scoreFileName15_filetype,scoreFileName16,scoreFileName16_filetype,scoreFileName1_filetype,scoreFileName2,scoreFileName2_filetype,scoreFileName3,scoreFileName3_filetype,scoreFileName4,scoreFileName4_filetype,scoreFileName5,scoreFileName5_filetype,scoreFileName6,scoreFileName6_filetype,scoreFileName7,scoreFileName7_filetype,scoreFileName8,scoreFileName8_filetype,scoreFileName9,scoreFileName9_filetype,scoreFileName_filetype,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-04-09 17:34:19.732364,slurm_multi_development,,main_w4_handler2,3065070,15535081,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9660944.roundup,slurm,,corral-repl,,1,yes,slurm_multi_development,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,3000,3000,reference-point,false,center,,,,,,,,0,,,no,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 29137738}]}}]","[{'src': 'hda', 'id': 29135319}, {'src': 'hda', 'id': 29135320}, {'src': 'hda', 'id': 29135321}, {'src': 'hda', 'id': 29135322}, {'src': 'hda', 'id': 29135323}, {'src': 'hda', 'id': 29135324}]",1548170,bed,,,,,,,,,,,,170870334,170870334,,,,,,,,,,,,,,,bigwig,165332711.0,bigwig,215459027.0,bigwig,237566298.0,bigwig,182240449.0,bigwig,214471745.0,bigwig,,,,,,,bigwig,37226441,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.5.0.0,2.5.0.0,,2017-04-09 18:45:57.119842,93861,4297.387478000001
2017-05-07 22:29:03.159196,slurm_multi,,main_w4_handler2,3091907,15774753,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9881643,slurm,,corral-repl,,0,no,,0.0,no,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,,,scale-regions,,,500,0.0,,,no,,,0,,,no,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 29509950}]}}]","[{'src': 'hda', 'id': 29509951}, {'src': 'hda', 'id': 29509952}, {'src': 'hda', 'id': 29509953}, {'src': 'hda', 'id': 29509955}]",76736177,bed,,,,,,,,,,,,142798007,142798007,,,,,,,,,,,,,,,bigwig,145573221.0,bigwig,156849561.0,bigwig,72064627.0,bigwig,,,,,,,,,,,bigwig,37654339,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.5.0.0,2.5.0.0,,2017-05-09 11:10:22.688177,104898,132079.528981
2017-06-27 06:19:18.019282,slurm_multi,,main_w3_handler2,3101871,16196058,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10272263,slurm,,corral-repl,,0,no,,0.0,no,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",0,,,scale-regions,,,500,0.0,,,no,,,0,,,no,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 30173108}]}}]","[{'src': 'hda', 'id': 30173130}]",14678371,bed,,,,,,,,,,,,1766872,1766872,,,,,,,,,,,,,,,bigwig,,,,,,,,,,,,,,,,,bigwig,37843867,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.5.0.0,2.5.0.0,,2017-06-28 18:19:36.671673,101910,129618.65239100001
2017-07-21 19:49:47.819433,slurm_multi,,main_w4_handler2,3190598,16391364,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10455423,slurm,,corral-repl,,0,no,,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",0,,,scale-regions,,,2000,1.0,500,500,yes,0,0,1,false,false,yes,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 30544992}]}}, {""__index__"": 1, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 30544998}]}}, {""__index__"": 2, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 30568280}]}}, {""__index__"": 3, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 30568275}]}}, {""__index__"": 4, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 30563321}]}}, {""__index__"": 5, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 30568271}]}}]","[{'src': 'hda', 'id': 30562800}, {'src': 'hda', 'id': 30562801}, {'src': 'hda', 'id': 30562802}, {'src': 'hda', 'id': 30562803}, {'src': 'hda', 'id': 30562804}, {'src': 'hda', 'id': 30562805}, {'src': 'hda', 'id': 30568391}]",304287,bed,98303.0,bed,45723790.0,bed,289575.0,bed,415719.0,bed,441920.0,bed,,183048139,183048139,,,,,,,,,,,,,,,bigwig,156941156.0,bigwig,198701341.0,bigwig,191395993.0,bigwig,179433110.0,bigwig,200874610.0,bigwig,10023731.0,bigwig,,,,,bigwig,39405700,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.5.0.0,2.5.0.0,,2017-07-23 07:51:24.785319,108898,129696.965886
2017-07-27 23:02:45.145741,slurm_multi,,main_w3_handler2,3111881,16438450,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10506306,slurm,,corral-repl,,0,no,,0.0,no,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",0,,,scale-regions,,,500,0.0,,,no,,,0,,,no,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 30641737}]}}]","[{'src': 'hda', 'id': 29608940}]",86828549,bed,,,,,,,,,,,,27773659,27773659,,,,,,,,,,,,,,,bigwig,,,,,,,,,,,,,,,,,bigwig,37982205,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.5.0.0,2.5.0.0,,2017-07-29 11:03:49.190784,105872,129664.045043
2017-08-20 18:47:51.840339,slurm_multi,,main_w3_handler2,3125029,16617717,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10692708,slurm,,corral-repl,,0,no,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,3000,3000,reference-point,false,center,,,,,,,,0,,,no,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 30928558}]}}]","[{'src': 'hda', 'id': 29797452}, {'src': 'hda', 'id': 30889706}]",1550209806,bed,,,,,,,,,,,,14193095,14193095,,,,,,,,,,,,,,,bigwig,238157529.0,bigwig,,,,,,,,,,,,,,,bigwig,38582736,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.5.0.0,2.5.0.0,,2017-08-22 21:47:16.445100,62429,183564.60476100002
2017-08-21 09:48:51.876946,slurm_multi,,main_w4_handler2,3125029,16621028,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10708529,slurm,,corral-repl,,0,no,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,3000,3000,reference-point,false,center,,,,,,,,0,,,no,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 30928562}]}}]","[{'src': 'hda', 'id': 30889706}]",839457406,bed,,,,,,,,,,,,238157529,238157529,,,,,,,,,,,,,,,bigwig,,,,,,,,,,,,,,,,,bigwig,38582736,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.5.0.0,2.5.0.0,,2017-08-24 09:47:53.097079,62429,259141.22013300002
2017-08-22 12:58:49.039977,slurm_multi,,main_w4_handler2,3125029,16631451,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10720084,slurm,,corral-repl,,0,no,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,3000,3000,reference-point,false,TSS,,,,,,,,0,,,no,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 30928562}]}}]","[{'src': 'hda', 'id': 29889222}]",839457406,bed,,,,,,,,,,,,318515431,318515431,,,,,,,,,,,,,,,bigwig,,,,,,,,,,,,,,,,,bigwig,40002328,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.5.0.0,2.5.0.0,,2017-08-25 21:48:10.553020,62429,290961.513043
2017-10-12 20:40:56.276093,slurm_multi,,main_w4_handler2,1639242,17090708,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11146734.roundup,slurm,,corral-repl,,0,no,,0.0,no,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",0,,,scale-regions,,,500,0.0,,,no,,,0,,,no,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 31669174}]}}]","[{'src': 'hda', 'id': 23944450}]",114844594,bed,,,,,,,,,,,,696135917,696135917,,,,,,,,,,,,,,,bigwig,,,,,,,,,,,,,,,,,bigwig,40076091,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.5.0.0,2.5.0.0,,2017-10-14 12:18:22.407508,31997,142646.131415
2018-03-05 19:16:01.652311,slurm_multi,,main_w4_handler2,3267690,18614305,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",12710037,slurm,,corral-repl,,0,no,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""",0,,,scale-regions,,,1000,1.0,500,500,yes,0,0,1,false,false,yes,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": 34101050}]}}]","[{'src': 'hda', 'id': 31433927}, {'src': 'hda', 'id': 31433928}, {'src': 'hda', 'id': 31433948}]",67204389,bed,,,,,,,,,,,,30787066,30787066,,,,,,,,,,,,,,,bigwig,33514432.0,bigwig,37073307.0,bigwig,,,,,,,,,,,,,bigwig,44205055,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.5.0.0,2.5.0.0,,2018-03-07 07:16:38.993841,108898,129637.34153
