chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,inputSequences,inputSequences_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.adjustdirection,parameters.chromInfo,parameters.cond_flavour.__current_case__,parameters.cond_flavour.flavourType,parameters.dbkey,parameters.inputSequences,parameters.inputSequences.values,parameters.outputFormat,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-12-21 16:31:46.138484,slurm_normal,,main_w1_handler0,2462533,11287701,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",8372741,fasta,5566814.roundup,slurm,,corral-repl,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",0,mafft-fftns,"""?""",22598491,,"""fasta""",,26878027,error,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2015-12-23 04:32:28.230841,70579.0,129642.092357
,,2016-01-05 03:23:45.445408,slurm_normal,,main_w2_handler0,2546706,11375473,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",17615269,fasta,5647908.roundup,slurm,,corral-repl,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",1,mafft --auto,"""?""",22736889,,"""fasta""",,26963580,error,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-01-06 15:24:34.372245,,129648.926837
,,2016-01-13 04:55:33.656191,slurm_normal,,main_w1_handler1,2547598,11487450,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",121822883,fasta,5751228.roundup,slurm,,corral-repl,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",0,mafft-fftns,"""?""",22877155,,"""fasta""",,26986069,error,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-01-14 16:56:08.288363,75773.0,129634.63217200001
,,2016-01-13 05:40:28.215339,slurm_normal,,main_w2_handler0,2547598,11487520,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",60946149,fasta,5751457.roundup,slurm,,corral-repl,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",0,mafft-fftns,"""?""",22877251,,"""fasta""",,26986069,error,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-01-14 17:41:11.756937,75773.0,129643.54159800001
,,2016-01-18 20:25:30.850616,slurm_normal,,main_w2_handler1,2553382,11538725,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",5197808,fasta,5857301.roundup,slurm,,corral-repl,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",0,mafft-fftns,"""?""",22719085,,"""fasta""",,27143507,error,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-01-26 08:28:27.854674,,648177.004058
,,2016-01-18 20:25:27.823360,slurm_normal,,main_w1_handler2,2553382,11538718,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",5252660,fasta,5805874.roundup,slurm,,corral-repl,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",0,mafft-fftns,"""?""",22719077,,"""fasta""",,27143507,error,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-01-20 08:26:06.248801,,129638.42544100001
,,2016-01-18 20:25:29.898578,slurm_normal,,main_w2_handler1,2553382,11538722,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",5195240,fasta,5822587.roundup,slurm,,corral-repl,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",0,mafft-fftns,"""?""",22719082,,"""fasta""",,27143507,error,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-01-21 20:26:20.287957,,259250.38937900003
,,2016-01-18 20:25:28.826245,slurm_normal,,main_w2_handler0,2553382,11538719,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",5248690,fasta,5822588.roundup,slurm,,corral-repl,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",0,mafft-fftns,"""?""",22719078,,"""fasta""",,27143507,error,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-01-21 20:26:18.172537,,259249.346292
,,2016-01-18 20:25:27.425234,slurm_normal,,main_w1_handler0,2553382,11538717,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",5250746,fasta,5822589.roundup,slurm,,corral-repl,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",0,mafft-fftns,"""?""",22719076,,"""fasta""",,27143507,error,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-01-21 20:26:19.068001,,259251.642767
,,2016-01-18 20:25:29.192824,slurm_normal,,main_w1_handler2,2553382,11538720,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",5249321,fasta,5822590.roundup,slurm,,corral-repl,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",0,mafft-fftns,"""?""",22719079,,"""fasta""",,27143507,error,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-01-21 20:26:49.927318,,259280.734494
