create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_file,input_file_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input_file.values,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-06-17 16:19:27.414607,slurm_normal,,main_w4_handler1,3160039,16122377,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2482328,fastqsanger,10203767.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 30064345}]",,38745489,error,toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.69,0.69,,2017-06-19 04:20:11.284891,107776.0,129643.870284
2017-12-13 22:11:32.698069,slurm_normal,,main_w4_handler0,3364758,17801130,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2482328,fastqsanger,11884543,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32922027}]",,42644093,error,toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.69,0.69,,2017-12-16 22:06:59.820901,,258927.12283200002
2017-12-13 22:06:05.296150,slurm_normal,,main_w3_handler1,3364758,17801113,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2482328,fastqsanger,11870600,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32922051}]",,42644093,error,toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.69,0.69,,2017-12-15 10:06:23.322182,,129618.02603200001
2017-11-14 22:57:23.565316,slurm_normal,,main_w4_handler1,3325389,17461142,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2482328,fastqsanger,11519213,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32321374}]",,42000323,error,toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.69,0.69,,2017-11-16 10:58:07.187403,,129643.62208700001
2017-11-14 23:55:51.395855,slurm_normal,,main_w4_handler0,3325428,17461613,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2482328,fastqsanger,11519739,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32322144}]",,42002458,error,toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.69,0.69,,2017-11-16 11:56:04.408027,,129613.012172
2017-11-14 23:58:13.660263,slurm_normal,,main_w3_handler0,3325305,17461627,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2482328,fastqsanger,11519764,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32322182}]",,41996725,error,toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.69,0.69,,2017-11-16 11:59:09.455780,116262.0,129655.795517
2017-11-28 08:43:53.578868,slurm_normal,,main_w3_handler1,3339542,17615219,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",137286488,sam,11675984,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32576899}]",,42260928,error,toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.69,0.69,,2017-11-29 20:44:19.796403,38700.0,129626.217535
2017-11-29 19:27:37.988542,slurm_normal,,main_w3_handler1,3342773,17641696,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",207453286,fastqsanger,11701477,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 32597266}]",,42310488,error,toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.69,0.69,,2017-12-01 07:27:52.371601,117438.0,129614.38305900001
2018-01-16 08:59:50.622828,slurm_normal,,main_w3_handler1,3393783,18045908,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",73002796,fastqsanger,12123238,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33327954}]",,43216876,error,toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.69,0.69,,2018-01-17 21:00:09.768130,,129619.145302
2017-11-29 00:52:58.145776,slurm_normal,,main_w4_handler1,3344035,17628303,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2482328,fastqsanger,11688918,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32601717}]",,42309683,error,toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.69,0.69,,2017-11-30 12:53:27.667463,117486.0,129629.52168700001
