create_time,destination_id,exit_code,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.cond,parameters.dbkey,parameters.input.values,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-10-12 17:17:46.155505,slurm_normal,,main_w4_handler1,3284933,17089291,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",707991553,tabular,11145346.roundup,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""3""","""?""","[{'src': 'hda', 'id': 31667248}]",,41245153,error,toolshed.g2.bx.psu.edu/repos/devteam/lda_analysis/lda_analy1/1.0.1,1.0.1,,2017-10-14 05:24:39.656882,,130013.50137700001
2017-11-03 11:11:07.176584,slurm_normal,,main_w4_handler0,3306908,17315712,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",48878730,tabular,11376004,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""3""","""?""","[{'src': 'hda', 'id': 32047720}]",,41669533,error,toolshed.g2.bx.psu.edu/repos/devteam/lda_analysis/lda_analy1/1.0.1,1.0.1,,2017-11-04 23:43:53.613843,114883.0,131566.437259
