create_time,destination_id,exit_code,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.A,parameters.D.__current_case__,parameters.D.input,parameters.D.seq_dictionary,parameters.F,parameters.G,parameters.N,parameters.S,parameters.b,parameters.c,parameters.chromInfo,parameters.dbkey,parameters.e,parameters.g,parameters.i.__current_case__,parameters.i.alt_indel_snp_ratio,parameters.input,parameters.input.values,parameters.p.__current_case__,parameters.p.variant_filter,parameters.t.__current_case__,parameters.t.mutation_rate,parameters.u,parameters.v,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-05-06 03:53:20.282307,slurm_normal,,main_w2_handler1,2223875,9405952,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3319428199,bcf,3736696.roundup,slurm,,corral-repl,,"""false""",1,,false,"""false""","""false""","""false""","""false""","""false""","""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","""true""",1,false,19409945,,1,false,1,false,"""false""","""true""",,22061286,error,toolshed.g2.bx.psu.edu/repos/gregory-minevich/bcftools_view/bcftools_view/0.0.1,0.0.1,,2015-05-07 15:53:53.744807,60395,129633.46250000001
2015-04-24 00:54:36.550587,slurm_normal,,main_w1_handler1,2215476,9316625,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",4708348223,bcf,3646503.roundup,slurm,,corral-repl,,"""false""",1,,false,"""false""","""false""","""false""","""false""","""false""","""true""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""","""true""",1,false,19442097,,1,false,1,false,"""false""","""false""",,22653050,error,toolshed.g2.bx.psu.edu/repos/gregory-minevich/bcftools_view/bcftools_view/0.0.1,0.0.1,,2015-04-25 12:55:10.319378,60007,129633.76879100001
2015-04-22 02:18:21.409196,slurm_normal,,main_w2_handler1,2223875,9295264,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3319428199,bcf,3609939.roundup,slurm,,corral-repl,,"""false""",1,,false,"""false""","""false""","""false""","""false""","""false""","""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","""true""",1,false,19409945,,1,false,1,false,"""false""","""true""",,22061286,error,toolshed.g2.bx.psu.edu/repos/gregory-minevich/bcftools_view/bcftools_view/0.0.1,0.0.1,,2015-04-23 14:19:08.785366,60395,129647.37617
2015-04-26 01:57:32.818251,slurm_normal,,main_w2_handler0,2210340,9332380,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",41926077709,bcf,3674329.roundup,slurm,,corral-repl,,"""false""",1,,false,"""false""","""false""","""false""","""false""","""false""","""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","""true""",1,false,19376013,,1,false,1,false,"""false""","""true""",,22712808,error,toolshed.g2.bx.psu.edu/repos/gregory-minevich/bcftools_view/bcftools_view/0.0.1,0.0.1,,2015-04-29 03:29:26.226811,59804,264713.40856
2015-04-26 02:05:50.411955,slurm_normal,,main_w2_handler0,2196193,9332388,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",843061082,tabular,3674351.roundup,slurm,,corral-repl,,"""false""",0,18765788.0,true,"""false""","""false""","""false""","""false""","""false""","""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""true""","""true""",1,false,19377662,,1,false,1,false,"""false""","""true""",,22714252,error,toolshed.g2.bx.psu.edu/repos/gregory-minevich/bcftools_view/bcftools_view/0.0.1,0.0.1,,2015-04-29 03:31:22.470879,37892,264332.058924
2016-09-13 06:20:01.407292,slurm_normal,,main_w4_handler0,2767995,13838806,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",42267431,bcf,8061355.roundup,slurm,,corral-repl,,"""false""",1,,false,"""false""","""false""","""true""","""false""","""false""","""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","""true""",1,false,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b582d84db91f9f6350'}]",1,false,1,false,"""false""","""true""",,31518319,error,toolshed.g2.bx.psu.edu/repos/gregory-minevich/bcftools_view/bcftools_view/0.0.1,0.0.1,,2016-09-14 18:20:46.079602,5731,129644.67231000001
2016-09-13 06:26:25.035332,slurm_normal,,main_w4_handler1,2767995,13838820,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",42267431,bcf,8061368.roundup,slurm,,corral-repl,,"""false""",1,,false,"""false""","""false""","""true""","""false""","""true""","""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","""true""",1,false,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b582d84db91f9f6350'}]",1,false,1,false,"""false""","""true""",,31518319,error,toolshed.g2.bx.psu.edu/repos/gregory-minevich/bcftools_view/bcftools_view/0.0.1,0.0.1,,2016-09-14 18:26:46.714568,5731,129621.67923600001
2014-02-20 01:22:42.553118,slurm_single,,main_w2_handler1,1812129,6554838,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2847892350,bcf,584313,slurm,,corral-repl,,"""false""",1,,false,"""false""","""false""","""true""","""false""","""false""","""true""","""/galaxy/data/chrom/mm10.len""","""mm10""","""false""","""true""",1,false,14711410,,1,false,1,false,"""false""","""false""",,12736611,error,toolshed.g2.bx.psu.edu/repos/gregory-minevich/bcftools_view/bcftools_view/0.0.1,0.0.1,,2014-02-22 03:47:13.911622,31372,181471.358504
2014-02-20 01:22:41.134979,slurm_single,,main_w2_handler0,1812129,6554836,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2926938577,bcf,584708,slurm,,corral-repl,,"""false""",1,,false,"""false""","""false""","""true""","""false""","""false""","""true""","""/galaxy/data/chrom/mm10.len""","""mm10""","""false""","""true""",1,false,14711407,,1,false,1,false,"""false""","""false""",,12736611,error,toolshed.g2.bx.psu.edu/repos/gregory-minevich/bcftools_view/bcftools_view/0.0.1,0.0.1,,2014-02-22 04:26:29.264708,31372,183828.129729
2014-09-10 23:46:11.429584,roundup_single,,main_w1_handler0,2041840,7695220,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2913373207,bcf,1682090,slurm,,corral-repl,,"""false""",1,,false,"""false""","""false""","""false""","""false""","""false""","""true""","""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","""false""","""true""",1,false,16712737,,1,false,1,false,"""false""","""false""",,16819378,error,toolshed.g2.bx.psu.edu/repos/gregory-minevich/bcftools_view/bcftools_view/0.0.1,0.0.1,,2014-09-12 23:46:49.435333,52782,172838.005749
