create_time,destination_id,exit_code,fasta,fasta_filetype,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.align,parameters.calc,parameters.chromInfo,parameters.countends,parameters.cutoff,parameters.dbkey,parameters.fasta.values,parameters.output,parameters.scoring.__current_case__,parameters.scoring.setby,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-01-05 14:37:25.675702,slurm_normal,,18543162,fasta,main_w3_handler1,3382905,17955043,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",12031322,slurm,,corral-repl,,"""needleman""","""eachgap""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""false""","""0.04""","""?""","[{'src': 'hda', 'id': 33188949}]","""""",0,default,,43001932,error,toolshed.g2.bx.psu.edu/repos/iuc/mothur_pairwise_seqs/mothur_pairwise_seqs/1.36.1.0,1.36.1.0,,2018-01-07 02:37:53.139655,,129627.46395300001
2018-01-08 12:05:35.098288,slurm_normal,,220063784,fasta,main_w3_handler1,3384941,17971898,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",12048465,slurm,,corral-repl,,"""needleman""","""""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""true""","""0.0""","""?""","[{'src': 'hda', 'id': 33215130}]","""""",0,default,,43044656,error,toolshed.g2.bx.psu.edu/repos/iuc/mothur_pairwise_seqs/mothur_pairwise_seqs/1.36.1.0,1.36.1.0,,2018-01-10 00:06:05.408776,119497.0,129630.310488
2017-11-03 01:34:09.459950,slurm_normal,,37559551,fasta,main_w4_handler1,3308709,17311039,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11370630,slurm,,corral-repl,,"""needleman""","""""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""true""","""0.0""","""?""","[{'src': 'hda', 'id': 32040993}]","""""",0,default,,41703683,error,toolshed.g2.bx.psu.edu/repos/iuc/mothur_pairwise_seqs/mothur_pairwise_seqs/1.36.1.0,1.36.1.0,,2017-11-04 13:34:53.947092,115033.0,129644.48714200001
2017-11-21 09:32:37.749383,slurm_normal,,14643128,fasta,main_w4_handler0,2835448,17532457,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11591675,slurm,,corral-repl,,"""needleman""","""""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""true""","""0.0""","""?""","[{'src': 'hda', 'id': 32443471}]","""""",0,default,,42143389,error,toolshed.g2.bx.psu.edu/repos/iuc/mothur_pairwise_seqs/mothur_pairwise_seqs/1.36.1.0,1.36.1.0,,2017-11-22 21:33:12.065323,75964.0,129634.31594000001
2017-12-04 13:52:02.445581,slurm_normal,,5454170,fasta,main_w3_handler1,3327546,17690209,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11754692,slurm,,corral-repl,,"""needleman""","""""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""true""","""0.0""","""?""","[{'src': 'hda', 'id': 32669962}]","""""",0,default,,42151032,error,toolshed.g2.bx.psu.edu/repos/iuc/mothur_pairwise_seqs/mothur_pairwise_seqs/1.36.1.0,1.36.1.0,,2017-12-06 01:52:23.645516,116837.0,129621.19993500001
2018-01-25 16:49:19.047615,slurm_normal,,483173257,fasta,main_w3_handler1,3405377,18155819,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",12237079,slurm,,corral-repl,,"""needleman""","""""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""false""","""0.05""","""?""","[{'src': 'hda', 'id': 33498684}]","""""",0,default,,43440935,error,toolshed.g2.bx.psu.edu/repos/iuc/mothur_pairwise_seqs/mothur_pairwise_seqs/1.36.1.0,1.36.1.0,,2018-01-27 04:50:28.632894,,129669.585279
2018-02-10 10:09:22.826089,slurm_normal,,12423209,fasta,main_w3_handler0,3384941,18336421,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",12420844,slurm,,corral-repl,,"""needleman""","""""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""true""","""0.03""","""?""","[{'src': 'hda', 'id': 33785166}]","""""",0,default,,43510964,error,toolshed.g2.bx.psu.edu/repos/iuc/mothur_pairwise_seqs/mothur_pairwise_seqs/1.36.1.0,1.36.1.0,,2018-02-11 22:10:04.366581,119497.0,129641.54049200001
2018-02-10 10:09:02.833424,slurm_normal,,12410175,fasta,main_w4_handler1,3384941,18336420,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",12420843,slurm,,corral-repl,,"""needleman""","""""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""true""","""0.03""","""?""","[{'src': 'hda', 'id': 33785164}]","""""",0,default,,43510964,error,toolshed.g2.bx.psu.edu/repos/iuc/mothur_pairwise_seqs/mothur_pairwise_seqs/1.36.1.0,1.36.1.0,,2018-02-11 22:09:32.547131,119497.0,129629.713707
2018-02-10 10:09:40.473771,slurm_normal,,12438514,fasta,main_w3_handler1,3384941,18336422,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",12420845,slurm,,corral-repl,,"""needleman""","""""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""true""","""0.03""","""?""","[{'src': 'hda', 'id': 33785179}]","""""",0,default,,43510964,error,toolshed.g2.bx.psu.edu/repos/iuc/mothur_pairwise_seqs/mothur_pairwise_seqs/1.36.1.0,1.36.1.0,,2018-02-11 22:10:03.688597,119497.0,129623.21482600001
2018-02-10 10:08:39.610642,slurm_normal,,12406873,fasta,main_w4_handler0,3384941,18336419,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",12420842,slurm,,corral-repl,,"""needleman""","""""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""true""","""0.03""","""?""","[{'src': 'hda', 'id': 33785162}]","""""",0,default,,43510964,error,toolshed.g2.bx.psu.edu/repos/iuc/mothur_pairwise_seqs/mothur_pairwise_seqs/1.36.1.0,1.36.1.0,,2018-02-11 22:09:02.529985,119497.0,129622.919343
