bias_correction|ref_file,bias_correction|ref_file_filetype,create_time,destination_id,exit_code,global_model,global_model_filetype,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,mask_file,mask_file_filetype,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.advanced_settings.__current_case__,parameters.advanced_settings.inner_dist_std_dev,parameters.advanced_settings.inner_mean_dist,parameters.advanced_settings.junc_alpha,parameters.advanced_settings.library_type,parameters.advanced_settings.mask_file,parameters.advanced_settings.max_bundle_frags,parameters.advanced_settings.max_bundle_length,parameters.advanced_settings.max_mle_iterations,parameters.advanced_settings.min_intron_length,parameters.advanced_settings.overhang_tolerance,parameters.advanced_settings.small_anchor_fraction,parameters.advanced_settings.trim_three_avgcov_thresh,parameters.advanced_settings.trim_three_dropoff_frac,parameters.advanced_settings.use_advanced_settings,parameters.bias_correction.__current_case__,parameters.bias_correction.do_bias_correction,parameters.bias_correction.seq_source.__current_case__,parameters.bias_correction.seq_source.index,parameters.bias_correction.seq_source.index_source,parameters.bias_correction.seq_source.ref_file,parameters.bias_correction.seq_source.ref_file.values,parameters.chromInfo,parameters.dbkey,parameters.global_model,parameters.global_model.values,parameters.input,parameters.input.values,parameters.input|__identifier__,parameters.length_correction,parameters.max_intron_len,parameters.min_isoform_fraction,parameters.multiread_correct,parameters.pre_mrna_fraction,parameters.reference_annotation.__current_case__,parameters.reference_annotation.compatible_hits_norm,parameters.reference_annotation.intron_overhang_tolerance,parameters.reference_annotation.no_faux_reads,parameters.reference_annotation.reference_annotation_file,parameters.reference_annotation.reference_annotation_file.values,parameters.reference_annotation.reference_annotation_guide_file,parameters.reference_annotation.reference_annotation_guide_file.values,parameters.reference_annotation.three_overhang_tolerance,parameters.reference_annotation.use_ref,ref_file,ref_file_filetype,reference_annotation_file,reference_annotation_file_filetype,reference_annotation_guide_file,reference_annotation_guide_file_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-07-17 03:05:59.023567,slurm_multi_dynamic_walltime,,,,main_w2_handler2,2354001,9889496,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10381241498,bam,4179035,slurm,,,,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,,No,1,No,,,,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",,,20371822,,,"""""","""300000""","""0.1""","""No""","""0.15""",0,,,,,,,,,No,,,,,,,,23796164.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/2.2.1.0,2.2.1.0,,2015-07-18 15:07:07.962540,43732,129668.93897300001
,,2015-07-17 03:09:29.698213,slurm_multi_dynamic_walltime,,,,main_w2_handler2,2354001,9889503,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10902102279,bam,4179042,slurm,,,,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,,No,1,No,,,,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",,,20373370,,,"""""","""300000""","""0.1""","""No""","""0.15""",0,,,,,,,,,No,,,,,,,,23796164.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/2.2.1.0,2.2.1.0,,2015-07-18 15:10:37.594951,43732,129667.89673800001
,,2015-10-23 08:38:58.181128,slurm_multi_dynamic_walltime,,,,main_w2_handler2,2478459,10696871,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",148651833,bam,4966731,slurm,,,,corral-repl,,0,no,,,,,,,,,,,,,,,,,,0,Yes,0.0,hg38,cached,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,,21638492,,,"""""","""300000""","""0.1""","""Yes""","""0.15""",1,,,,21638347.0,,,,,Use reference annotation,,,4718373.0,gtf,,,,25595312.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/2.2.1.0,2.2.1.0,,2015-10-25 07:14:53.434241,70875,167755.253113
,,2015-09-18 19:10:56.996478,slurm_multi_dynamic_walltime,,,,main_w2_handler2,2444007,10356752,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1843236188,bam,4639129,slurm,,,,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,,No,1,No,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,21168468,,,"""""","""300000""","""0.1""","""No""","""0.15""",0,,,,,,,,,No,,,,,,,,25190917.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/2.2.1.0,2.2.1.0,,2015-09-20 07:11:56.298912,69259,129659.30243400001
,,2015-09-16 02:31:06.925413,slurm_multi_dynamic_walltime,,,,main_w2_handler2,2435143,10329222,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3312777876,bam,4627855,slurm,,,,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,,No,1,No,,,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,,21111310,,,"""""","""300000""","""0.1""","""No""","""0.15""",0,,,,,,,,,No,,,,,,,,25119242.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/2.2.1.0,2.2.1.0,,2015-09-19 02:30:54.128544,68397,259187.20313100002
,,2015-09-21 12:26:22.981855,slurm_multi_dynamic_walltime,,,,main_w2_handler2,2446069,10372439,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",7522924129,bam,4653510,slurm,,1904684.0,gtf,corral-repl,,0,no,,,1.0,20,45,0.001,auto,21192969.0,1000000,3500000,5000,50,8,0.09,10,0.1,Yes,0,Yes,1.0,,history,21192965.0,,"""/galaxy-repl/localdata/chrom/petMar2.len""","""petMar2""",,,21192925,,,"""""","""300000""","""0.1""","""No""","""0.0""",2,,50,,,,21192964.0,,600,Use reference annotation guide,903524324.0,fasta,,,29132423.0,gtf,,25199661.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/2.2.1.0,2.2.1.0,,2015-09-23 00:27:15.875911,69377,129652.894056
,,2015-08-27 22:07:12.491078,slurm_multi_dynamic_walltime,,,,main_w2_handler2,2274581,10213485,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1800618132,bam,4484358,slurm,,,,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,,No,0,Yes,0.0,hg19,cached,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,,20927560,,,"""""","""300000""","""0.1""","""Yes""","""0.15""",2,,50,,,,20930762.0,,600,Use reference annotation guide,,,,,1111970946.0,gtf,,24876123.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/2.2.1.0,2.2.1.0,,2015-08-29 13:24:40.814206,62575,141448.32312800002
,,2015-08-27 22:07:19.354968,slurm_multi_dynamic_walltime,,,,main_w2_handler2,2274581,10213486,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1203700174,bam,4486157,slurm,,,,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,,No,0,Yes,0.0,hg19,cached,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,,20927567,,,"""""","""300000""","""0.1""","""Yes""","""0.15""",2,,50,,,,20930762.0,,600,Use reference annotation guide,,,,,1111970946.0,gtf,,24876123.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/2.2.1.0,2.2.1.0,,2015-08-29 23:52:41.271950,62575,179121.91698200002
,,2015-08-27 22:09:17.749881,slurm_multi_dynamic_walltime,,,,main_w2_handler2,2274581,10213500,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",733035588,bam,4486162,slurm,,,,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,,No,0,Yes,0.0,hg19,cached,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,,20927551,,,"""""","""300000""","""0.1""","""Yes""","""0.15""",2,,50,,,,20930762.0,,600,Use reference annotation guide,,,,,1111970946.0,gtf,,24876123.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/2.2.1.0,2.2.1.0,,2015-08-29 23:53:39.143097,62575,179061.393216
,,2015-08-28 19:26:00.234826,slurm_multi_dynamic_walltime,,,,main_w2_handler2,2422132,10218875,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2191615517,bam,4488831,slurm,,,,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,,No,0,Yes,0.0,hg19,cached,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,,20936094,,,"""""","""300000""","""0.1""","""No""","""0.15""",1,--compatible-hits-norm,,,20938971.0,,,,,Use reference annotation,,,1111970946.0,gtf,,,,24898785.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/2.2.1.0,2.2.1.0,,2015-08-30 07:26:41.804435,68299,129641.56960900001
