create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.maf_source_type.__current_case__,parameters.maf_source_type.mafType,parameters.maf_source_type.maf_source,parameters.summary,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-05-29 20:27:53.377630,slurm_normal,,main_w1_handler0,2322091,9564696,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",8904861,interval,3878594.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19858052,,1,46_WAY_MULTIZ_hg19,cached,"""true""",,23309480,error,maf_stats1,1.0.1,,2015-05-31 12:56:21.538237,64201,145708.160607
2015-07-09 17:32:35.735836,slurm_normal,,main_w1_handler2,2355787,9822591,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",115137051,interval,4122267.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20283003,,1,100_WAY_MULTIZ_v2_hg19,cached,"""true""",,23289372,error,maf_stats1,1.0.1,,2015-07-11 05:37:07.727060,64128,129871.99122400001
2015-08-27 01:19:01.474035,slurm_normal,,main_w1_handler1,2322091,10207764,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3632728,interval,4477509.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20907310,,1,46_WAY_MULTIZ_hg19,cached,"""true""",,24854592,error,maf_stats1,1.0.1,,2015-08-28 13:19:36.686372,64201,129635.212337
2015-08-27 01:17:54.274423,slurm_normal,,main_w2_handler1,2322091,10207757,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3632728,interval,4477505.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20907310,,1,46_WAY_MULTIZ_hg19,cached,"""false""",,24854592,error,maf_stats1,1.0.1,,2015-08-28 13:18:36.521505,64201,129642.247082
2016-01-09 21:36:29.099144,slurm_normal,,main_w1_handler1,2560101,11434558,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",17,bed,5700784.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",22803592,,1,100_WAY_MULTIZ_v2_hg19,cached,"""false""",,27319395,error,maf_stats1,1.0.1,,2016-01-11 09:37:22.442098,109,129653.342954
2016-01-09 15:43:29.162121,slurm_normal,,main_w1_handler0,2560101,11433383,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",17,bed,5697783.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",22803591,,1,100_WAY_MULTIZ_v2_hg19,cached,"""false""",,27300623,error,maf_stats1,1.0.1,,2016-01-11 03:44:22.349164,109,129653.18704300001
2016-01-09 21:37:51.926341,slurm_normal,,main_w2_handler1,2560101,11434563,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",17,bed,5715727.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",22803594,,1,100_WAY_MULTIZ_v2_hg19,cached,"""false""",,27319395,error,maf_stats1,1.0.1,,2016-01-12 15:45:00.135687,109,238028.20934600002
2016-01-09 21:36:59.796833,slurm_normal,,main_w2_handler0,2560101,11434561,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",17,bed,5700786.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",22803593,,1,100_WAY_MULTIZ_v2_hg19,cached,"""false""",,27319395,error,maf_stats1,1.0.1,,2016-01-11 09:37:24.326032,109,129624.52919900001
2016-01-13 23:22:02.005076,slurm_normal,,main_w1_handler2,2560101,11497033,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",17,bed,5763006.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",22803621,,1,100_WAY_MULTIZ_v2_hg19,cached,"""false""",,27319395,error,maf_stats1,1.0.1,,2016-01-15 11:22:42.429802,109,129640.42472600001
2016-06-17 19:32:05.958256,slurm_normal,,main_w1_handler0,1309833,13195349,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",62126557,bed,7379983.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c192bd586ae569c8'}]",1,100_WAY_MULTIZ_v2_hg19,cached,"""false""",,30276002,error,maf_stats1,1.0.1,,2016-06-19 07:32:46.214207,31182,129640.25595100001
