corData,corData_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.corData.values,parameters.dbkey,parameters.outFileFormat,parameters.outFileNameData,parameters.plotTitle,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
71613868,deeptools_coverage_matrix,2016-07-01 14:02:04.504645,slurm_normal,,main_w1_handler0,2755197,13305948,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",7508393.roundup,slurm,,corral-repl,,"""6125bd003f9411e696d9005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","[{'src': 'hda', 'id': 'bbd44e69cb8906b57f24eeecb3843153'}]","""hg19""","""png""","""true""","""""",,31200238,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.2.3.0,2.2.3.0,,2016-07-03 03:10:20.972354,29338,133696.46770900002
97682279,deeptools_coverage_matrix,2016-07-05 08:27:55.800032,slurm_normal,,main_w2_handler0,2757756,13332517,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",7541144.roundup,slurm,,corral-repl,,"""5a5dced8428a11e6b5eb005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","[{'src': 'hda', 'id': 'bbd44e69cb8906b58cced543bb30e7bb'}]","""hg19""","""png""","""true""","""""",,31200238,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.2.3.0,2.2.3.0,,2016-07-06 23:58:53.093690,29338,142257.293658
102157231,deeptools_coverage_matrix,2016-07-30 13:23:10.116960,slurm_normal,,main_w2_handler1,2780023,13529419,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",7744801.roundup,slurm,,corral-repl,,"""bfe702c4565811e6ab96005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","[{'src': 'hda', 'id': 'bbd44e69cb8906b560115c23de5d681b'}]","""hg19""","""png""","""true""","""""",,31819982,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.2.3.0,2.2.3.0,,2016-08-01 01:57:17.438908,29338,131647.321948
