create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,ownFile,ownFile_filetype,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.params.__current_case__,parameters.params.anchor_length,parameters.params.bowtie2_settings.__current_case__,parameters.params.bowtie2_settings.b2_settings,parameters.params.bowtie2_settings.preset.__current_case__,parameters.params.bowtie2_settings.preset.b2_preset,parameters.params.bowtie2_settings.preset.b2_preset_select,parameters.params.bowtie_n,parameters.params.coverage_search.__current_case__,parameters.params.coverage_search.max_coverage_intron,parameters.params.coverage_search.min_coverage_intron,parameters.params.coverage_search.use_search,parameters.params.fusion_search.__current_case__,parameters.params.fusion_search.anchor_len,parameters.params.fusion_search.do_search,parameters.params.fusion_search.ignore_chromosomes,parameters.params.fusion_search.min_dist,parameters.params.fusion_search.multipairs,parameters.params.fusion_search.multireads,parameters.params.fusion_search.read_mismatches,parameters.params.indel_search.__current_case__,parameters.params.indel_search.allow_indel_search,parameters.params.indel_search.max_deletion_length,parameters.params.indel_search.max_insertion_length,parameters.params.library_type,parameters.params.max_intron_length,parameters.params.max_multihits,parameters.params.max_segment_intron,parameters.params.microexon_search,parameters.params.min_intron_length,parameters.params.min_segment_intron,parameters.params.output_unmapped,parameters.params.own_junctions.__current_case__,parameters.params.own_junctions.gene_model_ann.__current_case__,parameters.params.own_junctions.gene_model_ann.gene_annotation_model.values,parameters.params.own_junctions.gene_model_ann.use_annotations,parameters.params.own_junctions.no_novel_juncs,parameters.params.own_junctions.raw_juncs.__current_case__,parameters.params.own_junctions.raw_juncs.use_juncs,parameters.params.own_junctions.use_junctions,parameters.params.read_edit_dist,parameters.params.read_mismatches,parameters.params.read_realign_edit_dist,parameters.params.seg_length,parameters.params.seg_mismatches,parameters.params.settingsType,parameters.params.splice_mismatches,parameters.readGroup.__current_case__,parameters.readGroup.specReadGroup,parameters.refGenomeSource.__current_case__,parameters.refGenomeSource.genomeSource,parameters.refGenomeSource.index,parameters.refGenomeSource.ownFile.values,parameters.singlePaired.__current_case__,parameters.singlePaired.input.values,parameters.singlePaired.input1.values,parameters.singlePaired.input2.values,parameters.singlePaired.mate_inner_distance,parameters.singlePaired.mate_std_dev,parameters.singlePaired.report_discordant_pairs,parameters.singlePaired.sPaired,params|own_junctions|gene_annotation_model,params|own_junctions|gene_annotation_model_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-09-08 16:44:00.312759,slurm_multi_dynamic_walltime,,main_w3_handler2,2812291,13808767,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",40121312328,fastqsanger,40121312328.0,fastqsanger,8029712,slurm,,corral-repl,,,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preSet,,1,no,0,indexed,mm10,,1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5850808a40061b964'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b554ce2d0de8b74bba'}]",0,20,Yes,paired,,,,31760132.0,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/2.1.0,2.1.0,,2016-09-10 04:55:01.534739,8423,130261.22198
2016-09-08 16:44:01.535907,slurm_multi_dynamic_walltime,,main_w4_handler2,2812291,13808769,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",35020875336,fastqsanger,35020875336.0,fastqsanger,8029711,slurm,,corral-repl,,,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preSet,,1,no,0,indexed,mm10,,1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5703cb5a1cc672900'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5eb26ab4559c54852'}]",0,20,Yes,paired,,,,31760132.0,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/2.1.0,2.1.0,,2016-09-10 04:53:31.807361,8423,130170.271454
2016-09-09 20:09:46.016313,slurm_multi_dynamic_walltime,,main_w4_handler2,2815611,13818274,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",5929911766,fastqsanger,5929911766.0,fastqsanger,8040297,slurm,,corral-repl,,,,0,no,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preSet,,1,no,0,indexed,papHam1,,1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5307993228489941b'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b59cb5f644ef3db179'}]",300,20,Yes,paired,,,,32848937.0,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/2.1.0,2.1.0,,2016-09-11 09:21:07.954762,89788,133881.938449
2016-09-08 22:15:06.650445,slurm_multi_dynamic_walltime,,main_w3_handler2,2814475,13811786,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",14856286000,fastqsanger,14856286000.0,fastqsanger,8039206,slurm,,corral-repl,,,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preSet,,1,no,0,indexed,hg38female,,1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b0e95f62ce19c222'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5b0e95f62ce19c222'}]",300,20,Yes,paired,,,,32854783.0,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/2.1.0,2.1.0,,2016-09-11 07:23:08.369504,89785,205681.71905900002
2016-09-08 15:43:15.574855,slurm_multi_dynamic_walltime,,main_w4_handler2,2813435,13808083,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",37504786667,fastqsanger,37504786667.0,fastqsanger,8028976,slurm,,corral-repl,885826025.0,fasta,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,8,0.0,No,,,,No,0.0,,,auto,0.0,,No,,,,,,1.0,Yes,3,3,fr-unstranded,500000,20,500000,No,70,50,false,1.0,,,,,,,No,2,2,1000,25,2,full,0,1,no,1,history,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5de4cd92e739a2f1a'}]",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57994d57ffbf530a2'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b505f44105bd49037d'}]",300,20,Yes,paired,,,,32841805.0,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/2.1.0,2.1.0,,2016-09-10 03:44:00.153592,61634,129644.578737
2016-06-29 03:54:48.161086,slurm_multi_dynamic_walltime,,main_w1_handler2,2750340,13283923,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",24657551506,fastqsanger,24657551506.0,fastqsanger,7479546,slurm,,corral-repl,,,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,8,0.0,No,,,,No,0.0,,,auto,0.0,,No,,,,,,1.0,Yes,3,3,fr-unstranded,500000,20,500000,No,70,50,false,1.0,,,,,,,No,2,2,1000,25,2,full,0,1,no,0,indexed,hg38,,1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b504b4ccfc636305e2'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b588a06d4ced13219b'}]",300,20,Yes,paired,,,,31157185.0,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/2.1.0,2.1.0,,2016-06-30 21:05:06.260919,79028,148218.09983300001
2016-06-29 15:36:14.305564,slurm_multi_development,,main_w1_handler2,2753282,13288205,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",6216716221,fastqsanger,6216716221.0,fastqsanger,7485425.roundup,slurm,,corral-repl,50664876.0,fasta,,1,yes,pulsar_stampede_development,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,8,0.0,No,,,,No,0.0,,,auto,0.0,,No,,,,,,1.0,Yes,3,3,fr-unstranded,500000,20,500000,No,20,50,false,1.0,,,,,,,No,2,2,1000,25,2,full,0,1,no,1,history,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a8c57b0c80b5efb1'}]",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b525398a097bc7abb9'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b56ac093dd1b1a5a7b'}]",300,20,Yes,paired,,,,30731085.0,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/2.1.0,2.1.0,,2016-06-29 19:42:48.368064,5254,14794.062500000002
2016-09-12 21:04:45.379630,slurm_multi_dynamic_walltime,,main_w4_handler2,2813435,13836026,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",37504786667,fastqsanger,37504786667.0,fastqsanger,8058274,slurm,,corral-repl,885826025.0,fasta,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preSet,,1,no,1,history,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5de4cd92e739a2f1a'}]",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57994d57ffbf530a2'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b505f44105bd49037d'}]",300,20,No,paired,,,,32924406.0,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/2.1.0,2.1.0,,2016-09-14 10:10:45.649238,61634,133560.269608
2016-09-12 21:58:56.887891,slurm_multi_development,,main_w3_handler2,2818424,13836644,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",8689898162,fastqsanger,8689898162.0,fastqsanger,8058874.roundup,slurm,,corral-repl,,,,1,yes,slurm_multi_development,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,8,0.0,No,,,,No,0.0,,,auto,0.0,,No,,,,,,1.0,Yes,3,3,fr-unstranded,500000,20,500000,No,70,50,true,1.0,,,,,,,No,2,2,1000,25,2,full,0,1,no,0,indexed,hg38,,1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51c0e24e4941959d3'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b51f30ad89c6f9449d'}]",300,20,Yes,paired,,,,32443707.0,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/2.1.0,2.1.0,,2016-09-12 22:29:47.519626,5254,1850.6317350000002
2016-10-14 18:25:26.266443,slurm_multi_development,,main_w3_handler2,2810978,14084348,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1255807042,fastqsanger,1255807042.0,fastqsanger,8301079.roundup,slurm,,corral-repl,,,,1,yes,slurm_multi_development,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preSet,,1,no,0,indexed,mm9,,1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a2f00a5c7d58fb4e'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5467e8a1e372834eb'}]",200,20,No,paired,,,,32957043.0,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/2.1.0,2.1.0,,2016-10-14 18:55:38.146137,90180,1811.8796940000002
