create_time,destination_id,exit_code,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input,parameters.interpret_features,parameters.out_format,parameters.seq_source.__current_case__,parameters.seq_source.index_source,parameters.seq_source.ref_file,ref_file,ref_file_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-03-25 16:47:50.717730,rodeo_normal,,main_w2_handler1,2248771,9035524,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",525102674,interval,3321000.roundup,slurm,,corral-repl,,"""9f829792d30e11e4a6aa005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",18994041,"""yes""","""interval""",1,history,18994027,3402998541,fasta,,22017613,error,Extract genomic DNA 1,2.2.3,,2015-03-27 05:02:55.175140,5613,130504.45741
2015-04-09 16:31:34.710081,slurm_normal,,main_w2_handler0,2248771,9181512,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",525102674,interval,3461892.roundup,slurm,,corral-repl,,"""d13589deded511e49556005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",19208931,"""yes""","""interval""",1,history,19208911,3402998541,fasta,,22017613,error,Extract genomic DNA 1,2.2.3,,2015-04-11 04:51:30.567435,5613,130795.857354
2014-05-28 22:32:27.879520,slurm_single,,main_w1_handler1,1889488,7045472,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",118662615,interval,1061026,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",15665625,"""yes""","""interval""",1,history,15665611,327450506,fasta,,14623538,error,Extract genomic DNA 1,2.2.3,,2014-05-30 22:48:44.364620,5613,173776.48510000002
