chromInfo,chromInfo_filetype,contaminants,contaminants_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_file,input_file_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.contaminants,parameters.contaminants.values,parameters.dbkey,parameters.input_file,parameters.input_file.values,parameters.out_prefix,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,,,2015-03-26 04:05:33.881502,rodeo_normal,,main_w1_handler0,2214121,9042297,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",392683424,fastq,3327885.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""",,,"""?""",19003009,,"""FastQC""",,22029141,error,toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.52,0.52,,2015-03-27 16:05:57.981746,40151.0,129624.100244
,,,,2015-03-26 20:25:41.875818,rodeo_normal,,main_w2_handler0,2214121,9052947,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",392683424,fastq,3338273.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""",,,"""?""",19003009,,"""FastQC""",,20419873,error,toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.52,0.52,,2015-03-28 08:26:27.838632,40151.0,129645.96281400001
,,,,2016-02-07 19:58:11.597897,slurm_normal,,main_w1_handler1,2586038,11739315,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1212417,fastq,5995882.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""",,,"""?""",23226086,,"""FastQC_h""",,28185408,error,toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.52,0.52,,2016-02-09 07:58:47.246939,77889.0,129635.649042
,,,,2016-02-13 21:30:03.139438,slurm_normal,,main_w1_handler2,2597895,11818164,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",4020305921,fastq,6067677.roundup,slurm,,corral-repl,,"""f12190b4d29811e5a558005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""",,,"""?""",23321740,,"""FastQC""",,28239602,error,toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.52,0.52,,2016-02-15 09:30:47.399292,78301.0,129644.259854
,,,,2016-02-12 14:48:44.727710,slurm_normal,,main_w1_handler1,2597071,11810664,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",13565953,fastq,6057419.roundup,slurm,,corral-repl,,"""b6d01decd19711e5af24005056a51846""","""/galaxy-repl/localdata/chrom/?.len""",,,"""?""",23304685,,"""FastQC""",,28239602,error,toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.52,0.52,,2016-02-14 02:49:39.515616,78301.0,129654.78790600001
,,,,2016-02-12 16:06:15.498150,slurm_normal,,main_w2_handler1,2597896,11811315,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2630565889,fastq,6058555.roundup,slurm,,corral-repl,,"""8ad2941cd1a211e58dbe005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""",,,"""?""",23321735,,"""FastQC""",,28239602,error,toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.52,0.52,,2016-02-14 04:07:12.762922,78301.0,129657.26477200001
,,,,2016-05-30 12:03:39.721753,slurm_normal,,main_w1_handler0,2722003,13023333,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1593839617,fastq,7205541.roundup,slurm,,corral-repl,,"""8b2bc1a2265e11e6a8a9005056a52a46""","""/galaxy-repl/localdata/chrom/ce10.len""",,,"""ce10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52da4d5e251523d74'}]","""FastQC""",,30493174,error,toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.52,0.52,,2016-06-01 00:04:34.561194,85225.0,129654.839441
,,,,2016-04-23 11:38:19.630382,slurm_normal,,main_w2_handler0,2681892,12581316,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",4738940527,fastq,6783189.roundup,slurm,,corral-repl,,"""e074f036094711e6a62b005056a51846""","""/galaxy-repl/localdata/chrom/?.len""",,,"""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b50ed2e36093dbb4bd'}]","""FastQC""",,29759342,error,toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.52,0.52,,2016-04-24 23:38:47.835435,79082.0,129628.20505300001
,,19646.0,tabular,2016-05-31 14:21:47.363751,slurm_normal,,main_w1_handler0,2723043,13030112,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3637754730,fastq,7209415.roundup,slurm,,corral-repl,,"""013cdac0273b11e69a31005056a52a46""","""/galaxy-repl/localdata/chrom/ce10.len""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5633751259ae5d267'}]","""ce10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b533f141bdc012ce51'}]","""FastQC""",,30507674,error,toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.52,0.52,,2016-06-02 02:39:13.651024,85225.0,130646.28727300001
,,19646.0,tabular,2016-06-02 08:02:29.819552,slurm_normal,,main_w2_handler0,2725212,13047425,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3637754730,fastq,7232985.roundup,slurm,,corral-repl,,"""594e157c289811e6bfca005056a52a46""","""/galaxy-repl/localdata/chrom/ce10.len""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5633751259ae5d267'}]","""ce10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b533f141bdc012ce51'}]","""FastQC""",,30507674,error,toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.52,0.52,,2016-06-03 20:03:31.490668,85225.0,129661.67111600001
